event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_152793|C7orf41|chr7|+	chr7:30197053-30202392	30198030	0.44	0.79	NA	0.47	0.33	0.34	0.62	0.58	NA	0.47	0.46	0.31	0.74	0.75	0.61	NA	0.73	NA	0.62	0.35	NA	0.79	0.69	NA	NA	NA	0.75	0.77	0.68	NA	0.56	0.41	0.46	0.55	0.69	NA	0.51	0.50	0.14	0.66	0.91	0.45	0.69	NA	0.61	NA	NA	0.26	0.80	0.62	0.91	NA	0.78	0.67	0.38	0.64	0.21	0.81	0.61	0.58	NA	0.73	0.78	NA	0.59	0.48	0.91	0.84	0.42	0.83	0.69	NA
NM_014941|MORC2|chr22|-	chr22:31321062-31322858	31322654	0.25	0.26	0.24	0.28	0.23	0.21	0.32	0.34	0.23	0.15	NA	0.14	0.23	0.29	0.34	0.15	0.27	0.17	0.20	0.36	0.15	0.31	0.36	0.19	0.12	0.14	0.29	0.44	0.26	0.09	0.25	0.24	0.20	0.15	0.17	0.20	0.28	0.22	0.15	0.30	0.31	0.13	0.25	0.14	0.32	0.16	0.14	0.18	0.32	0.30	0.37	0.25	0.30	0.15	0.18	0.14	0.05	0.28	0.36	0.29	0.26	0.28	0.39	0.17	0.36	0.13	0.36	0.47	0.39	0.15	0.34	0.17
NM_001184723|TM4SF18|chr3|-	chr3:149036289-149039279	149038880	0.44	0.79	0.31	0.26	0.26	0.38	0.74	0.63	0.39	0.52	0.43	0.26	0.52	0.75	0.35	0.38	0.63	0.39	0.55	0.35	0.25	0.59	0.52	0.51	0.45	0.37	0.44	0.28	0.53	0.44	0.68	0.28	0.48	0.32	0.39	NA	0.59	0.40	0.18	0.73	0.63	0.34	0.62	0.41	0.66	0.48	0.66	0.58	0.61	0.66	0.41	0.64	0.56	0.57	0.37	0.29	0.23	0.43	0.53	0.48	0.57	0.51	0.69	0.40	0.38	0.48	NA	0.47	0.50	0.72	0.52	0.29
NM_002154|HSPA4|chr5|+	chr5:132439924-132442113	132440096	0.32	0.48	0.50	0.22	0.26	0.15	0.41	0.36	0.35	0.30	0.24	0.34	0.38	0.47	0.41	0.12	0.38	0.33	0.37	0.26	0.11	0.33	0.31	0.32	0.27	0.25	0.37	0.72	0.30	0.17	0.28	0.23	0.15	0.24	0.33	0.42	0.27	0.27	0.15	0.29	0.50	0.23	0.36	0.21	0.36	0.28	0.28	0.18	0.29	0.28	0.41	0.24	0.42	0.28	0.23	0.46	0.15	0.42	0.30	0.26	0.19	0.30	0.38	0.19	0.30	0.20	0.32	0.44	0.24	0.53	0.33	0.28
NM_001135652|EIF2AK2|chr2|-	chr2:37333385-37334538	37334388	0.66	0.58	0.61	0.67	0.64	0.74	0.65	0.52	0.54	0.75	NA	0.56	0.50	0.72	0.58	0.70	0.61	0.59	0.68	0.60	0.73	0.58	0.51	0.67	0.55	0.54	0.54	0.45	0.73	0.72	0.65	0.50	0.59	0.66	0.56	0.57	0.67	0.64	0.75	0.47	0.67	0.64	0.69	0.47	0.57	0.59	0.47	0.55	0.60	0.59	0.59	0.63	0.64	0.58	0.72	0.79	0.79	0.65	0.68	0.52	0.65	0.47	0.56	0.73	0.65	0.52	NA	0.64	0.50	0.59	0.66	0.80
NM_001164182|ENTPD1|chr10|+	chr10:97625933-97636956	97627634	0.18	0.13	0.53	0.27	0.16	0.22	0.16	0.30	0.80	0.13	0.12	0.44	0.14	0.35	0.19	0.08	0.16	0.23	0.16	0.12	0.06	0.56	0.24	0.11	0.08	0.36	0.32	0.30	0.56	0.06	0.28	0.20	0.17	0.14	0.14	0.10	0.29	0.13	0.20	0.09	0.31	0.16	0.11	0.12	0.43	0.21	0.10	0.10	0.62	0.27	0.48	0.10	0.21	0.14	0.26	0.80	0.24	0.19	0.19	0.19	0.10	0.18	0.41	0.13	0.18	0.24	0.43	NA	0.16	0.47	0.13	0.09
NM_022754|SFXN1|chr5|+	chr5:174953640-174956757	174955505	0.45	0.42	0.61	0.69	0.52	0.89	0.49	0.45	0.40	0.80	0.47	0.53	0.46	0.46	0.38	0.61	0.47	0.42	0.44	0.50	0.59	0.44	0.36	0.41	0.75	0.64	0.44	0.66	0.59	1.00	0.56	0.41	0.69	0.71	0.48	0.38	0.46	0.45	1.00	0.87	0.40	0.68	0.42	0.44	0.47	0.49	0.39	0.37	0.42	0.35	0.59	0.39	0.50	0.72	0.55	0.80	1.00	0.45	0.37	0.55	1.00	0.38	0.43	0.61	0.56	0.48	0.46	0.38	0.34	0.59	0.53	0.86
NM_022830|TUT1|chr11|-	chr11:62341461-62343716	62342556	0.46	0.37	0.24	0.53	0.37	0.32	0.39	0.25	0.30	0.44	0.48	0.33	0.54	0.23	0.34	0.66	0.46	0.55	0.62	0.61	0.65	0.55	0.32	NA	0.49	0.32	0.42	NA	0.29	0.39	0.47	0.31	0.64	0.45	0.55	NA	0.30	0.57	NA	0.59	0.33	0.39	0.54	0.64	0.22	0.60	0.51	0.32	0.23	0.43	0.35	NA	0.63	0.57	0.20	0.47	0.36	0.39	0.35	0.59	NA	0.22	0.48	0.50	0.50	0.54	0.65	0.41	0.53	0.27	0.36	0.59
NM_016612|SLC25A37|chr8|+	chr8:23428847-23433855	23429586	NA	0.64	0.53	0.67	0.73	0.52	NA	NA	NA	NA	NA	0.41	0.70	0.49	0.67	0.64	0.68	0.65	0.38	NA	0.53	0.75	NA	0.42	0.75	0.83	0.66	NA	0.42	0.63	0.47	NA	0.45	0.74	0.69	0.81	0.46	0.69	0.55	0.48	0.56	0.60	0.44	0.46	0.59	0.63	0.40	NA	0.93	NA	0.67	NA	0.75	0.67	0.50	0.86	0.46	0.64	0.56	0.64	0.59	0.61	0.70	0.54	0.44	0.48	0.70	0.65	NA	NA	0.57	0.69
NM_033416|IMP4|chr2|+	chr2:131103928-131105377	131104167	0.39	0.55	0.38	0.30	0.36	0.18	0.34	0.42	0.45	0.35	0.41	0.22	0.45	0.49	0.37	0.22	0.44	0.36	0.33	0.33	0.17	0.58	0.38	0.41	0.34	0.41	0.53	NA	0.40	0.28	0.43	0.37	0.31	0.31	0.43	0.45	0.36	0.35	0.17	0.39	0.54	0.21	0.40	0.37	0.50	0.39	0.39	0.38	0.47	0.34	0.52	0.40	0.54	0.34	0.30	0.44	0.21	0.40	0.37	0.51	0.25	0.61	0.52	0.25	0.44	0.56	0.46	0.45	0.43	0.53	0.41	0.33
NR_033361|TMCC1|chr3|-	chr3:129366615-129370638	129369525	0.33	0.45	0.43	0.35	0.38	0.32	0.37	0.33	0.37	0.29	0.28	0.27	0.34	0.37	0.41	0.26	0.29	0.40	0.29	0.22	0.17	0.39	0.22	0.25	0.30	0.37	0.34	0.97	0.13	0.25	0.24	0.28	0.26	0.33	0.37	0.69	0.26	0.23	0.20	0.29	0.37	0.33	0.30	0.24	0.31	0.35	0.20	0.22	0.20	0.35	0.34	0.21	0.43	0.42	0.21	0.39	0.27	0.33	0.33	0.26	0.27	0.26	0.30	0.21	0.24	0.23	0.52	0.49	0.24	0.76	0.34	0.35
NM_001040445|ASB1|chr2|+	chr2:239355024-239360908	239355339	0.51	0.69	0.65	0.31	0.15	NA	0.40	0.59	NA	0.23	NA	NA	0.53	0.61	0.38	0.13	0.65	NA	0.55	0.21	0.19	0.65	0.53	NA	0.46	NA	0.39	NA	NA	0.10	0.51	0.48	0.16	0.35	0.54	0.26	0.34	0.35	0.09	0.43	0.64	0.30	0.62	NA	0.37	0.50	0.50	0.41	0.53	0.47	0.66	NA	NA	0.40	0.35	0.30	0.10	0.51	0.57	0.49	0.21	0.41	0.61	NA	0.53	0.36	0.61	0.67	NA	0.68	0.58	0.21
NM_003875|GMPS|chr3|+	chr3:155655379-155661777	155655529	0.46	0.59	0.38	0.23	0.36	0.13	0.44	0.44	0.41	0.24	0.31	0.29	0.38	0.42	0.35	0.12	0.48	0.39	NA	0.31	0.10	NA	0.48	NA	0.16	0.28	0.48	0.49	NA	0.16	0.36	0.28	0.25	0.23	0.40	0.54	NA	0.38	0.10	0.32	0.44	0.22	NA	0.23	NA	0.33	NA	0.33	NA	0.35	0.42	0.32	0.45	0.30	0.17	0.34	0.12	0.36	0.42	0.29	0.21	0.49	NA	0.15	0.37	NA	0.25	0.42	0.41	0.52	0.37	0.18
NM_014934|DZIP1|chr13|-	chr13:96232527-96234567	96234264	0.26	0.37	0.32	0.23	0.28	0.20	0.30	0.28	0.21	0.22	0.33	0.32	0.19	0.22	0.16	0.18	0.22	0.21	0.27	0.19	0.18	0.32	0.20	0.29	0.24	0.22	0.32	0.64	NA	0.21	0.30	0.16	0.27	0.28	0.25	0.22	0.23	0.28	0.34	0.30	0.31	0.23	0.19	0.21	0.30	0.26	0.26	0.26	0.26	0.29	0.35	NA	0.31	0.17	0.26	0.30	0.25	0.35	0.24	0.31	0.25	0.32	0.25	NA	0.30	0.31	NA	0.23	0.19	NA	0.24	0.21
