event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_007238|PXMP4|chr20|-	chr20:32290981-32295775	32295398	NA	0.24	0.17	0.30	0.44	0.55	NA	0.37	0.37	0.27	0.37	0.30	0.32	0.34	0.30	0.44	0.31	0.25	NA	0.43	0.41	0.22	0.43	NA	0.43	0.25	NA	0.30	0.33	0.25	NA	0.27	NA	0.47	0.40	NA	0.34	0.28	0.34	0.39	0.30	0.36	NA
NM_006454|MXD4|chr4|-	chr4:2249175-2252428	2251977	0.38	0.45	0.05	0.82	0.66	0.79	0.34	0.69	0.81	0.60	0.67	0.87	0.41	0.36	0.42	0.34	0.57	0.48	0.56	0.88	0.59	0.58	0.91	0.60	0.74	0.43	0.72	0.45	0.39	0.65	0.84	0.64	0.48	0.56	0.58	0.55	0.94	0.39	0.78	0.48	0.51	0.73	0.50
NR_033721|DNAJC19|chr3|-	chr3:180701503-180702498	180702348	0.36	0.16	0.25	0.50	0.73	0.63	0.50	0.41	0.68	0.47	0.74	0.54	0.27	0.45	0.46	0.57	0.27	0.60	0.42	0.61	0.46	0.42	0.42	0.35	0.81	0.41	0.54	0.50	0.65	0.44	0.52	0.47	0.49	0.73	0.29	0.33	0.45	0.39	0.44	0.28	0.58	NA	0.32
NM_001134232|TMEM106B|chr7|+	chr7:12271462-12276894	12272490	0.26	0.31	NA	0.59	0.63	0.68	0.34	0.38	0.39	0.46	0.57	0.56	0.32	0.44	0.43	0.35	0.35	0.38	0.27	0.62	0.40	0.51	0.53	0.43	0.59	0.34	0.57	0.43	0.57	0.41	0.54	0.21	0.40	0.48	0.36	0.45	0.37	0.43	0.39	0.42	0.55	0.52	0.27
NM_020728|ESYT2|chr7|-	chr7:158523675-158526943	158526570	0.39	0.38	0.31	0.50	0.79	0.75	0.51	0.68	0.57	0.53	0.56	0.62	0.41	0.64	0.48	0.33	0.40	0.46	0.49	0.70	0.48	0.60	0.66	0.69	0.73	0.54	0.64	0.48	0.42	0.35	0.51	0.61	0.63	0.66	0.41	0.57	0.50	0.48	0.50	0.49	0.59	0.58	0.46
NM_001253771|SYNCRIP|chr6|-	chr6:86317983-86322641	86321093	0.26	0.34	0.10	0.17	0.49	0.42	0.28	0.26	0.16	0.29	0.15	0.33	0.39	0.20	0.43	0.25	0.46	0.19	0.18	0.37	0.28	0.17	0.21	0.32	0.43	0.35	0.34	0.40	0.25	0.15	0.21	0.32	0.52	0.37	0.25	0.27	0.23	0.29	0.16	0.37	0.23	0.33	0.27
NM_001164446|C6orf132|chr6|-	chr6:42059868-42071616	42068992	0.25	0.19	0.28	0.33	0.40	0.29	0.32	0.22	0.16	0.14	0.67	0.34	0.22	0.25	0.26	0.14	0.31	0.17	0.25	0.16	0.18	0.39	0.25	0.43	0.14	0.26	0.19	0.59	0.14	0.28	0.31	0.24	0.14	0.30	0.53	0.16	0.20	0.24	0.51	0.27	0.18	0.19	0.28
NM_025179|PLXNA2|chr1|-	chr1:208195607-208200683	208200281	0.20	0.36	0.02	0.37	0.27	0.40	0.32	0.26	0.40	0.20	0.37	0.20	0.22	0.44	0.20	0.06	0.62	0.15	0.32	0.25	NA	NA	0.06	0.54	0.15	0.25	0.25	0.58	0.20	0.12	0.26	0.24	0.09	0.59	0.35	0.15	0.31	0.27	0.32	0.15	0.48	0.22	0.40
NM_203464|AK4|chr1|+	chr1:65691745-65697838	65692669	0.33	0.30	NA	0.52	0.73	0.55	0.30	0.63	0.45	0.33	0.46	0.52	NA	0.48	0.32	0.34	0.28	0.43	0.42	0.60	0.36	0.41	0.37	0.42	0.48	0.30	0.65	0.33	0.35	0.37	0.56	0.43	0.39	0.54	0.44	0.38	0.48	0.49	0.40	0.45	0.45	0.43	0.40
NM_001040445|ASB1|chr2|+	chr2:239355024-239360897	239355339	0.10	0.07	0.02	0.32	0.41	0.34	0.19	0.30	0.08	0.19	NA	0.31	0.13	NA	0.18	0.10	0.09	0.20	0.08	0.23	0.08	0.18	0.29	0.26	0.33	0.28	NA	0.16	0.33	0.13	0.54	0.10	0.16	0.33	0.16	0.27	0.16	0.24	0.24	0.19	0.14	0.34	0.16
NM_024731|KLHL36|chr16|+	chr16:84695183-84701287	84695820	0.24	0.25	0.03	0.65	0.73	0.57	0.41	0.51	0.21	0.53	0.51	0.64	0.37	0.41	0.39	0.23	0.26	0.27	0.17	0.29	0.13	0.44	0.53	0.45	0.57	0.43	0.51	0.42	0.60	0.35	0.62	0.25	0.27	0.48	0.50	0.30	0.51	0.32	0.43	0.45	0.28	0.73	0.38
