event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_001145370|PTPN3|chr9|-	chr9:112137963-112141913	112140568	0.20	0.28	0.21	0.32	0.25	NA	NA	0.39	0.14	0.06	0.21	NA	0.23	0.15	0.27	0.18	0.30	0.27	0.28	NA	0.36	0.23	0.12	0.25	0.31	0.23	0.32	NA	NA	NA	0.14	0.14	0.13	0.17	0.31	0.31	0.28	0.23	0.28	0.31	0.22	0.34	0.19	0.41	0.32	0.19	0.24	NA	0.21	NA	0.30	NA	0.24	0.28	0.20	0.42	0.22	0.27	NA	0.21	0.29	0.25	0.36	0.21	0.19	0.21	0.21	0.22	0.14	0.20	0.26	0.28	0.23	0.18	0.43	0.33	0.19	0.45	0.15	0.42	0.28	0.42	0.23	NA	NA	NA	NA	0.37	0.23	NA	0.16	NA	0.52	0.25	0.20	0.23	0.20	0.21	0.22	NA	0.23	0.24	0.30	0.35	0.32
NM_001009880|KIAA0930|chr22|-	chr22:45587068-45593097	45591726	0.30	0.30	0.49	0.17	0.25	0.13	0.30	0.23	0.30	0.22	0.36	0.34	0.13	0.12	0.24	0.18	0.23	0.30	0.40	0.18	0.27	0.21	0.45	0.13	0.34	0.50	0.27	0.29	NA	0.43	0.15	0.25	0.25	0.23	0.24	0.30	0.37	0.48	0.49	0.35	0.20	0.22	0.34	0.40	0.21	0.39	0.19	0.26	0.25	NA	0.62	NA	0.26	0.29	0.28	0.31	0.31	0.40	0.19	0.23	0.78	0.21	0.30	0.55	0.32	0.26	0.19	0.16	0.40	0.17	0.17	0.57	0.34	0.35	0.48	0.29	0.22	NA	0.40	0.40	0.34	0.29	0.23	0.26	NA	0.26	0.18	0.42	0.23	0.21	0.15	0.25	0.57	0.40	0.40	0.25	0.26	0.26	0.40	0.24	0.21	0.36	0.35	0.44	0.27
NM_005669|REEP5|chr5|-	chr5:112212039-112214532	112214382	0.23	0.45	0.54	0.27	0.35	0.14	0.33	0.25	0.15	0.14	0.41	0.36	0.36	0.32	0.39	0.19	0.50	0.32	0.27	0.21	0.21	0.17	0.15	0.31	0.18	0.19	0.41	0.55	0.37	0.41	0.14	0.20	0.29	0.40	0.11	0.46	0.28	0.50	0.39	0.51	0.24	0.25	0.11	0.50	0.22	0.20	0.14	0.27	0.17	0.77	0.54	0.21	0.31	0.38	0.15	0.34	0.27	0.30	0.15	0.15	0.40	0.15	0.28	0.40	0.24	0.30	0.30	0.25	0.15	0.12	0.13	0.40	0.31	0.35	0.23	0.30	0.42	0.41	0.37	0.36	0.46	0.30	0.41	0.19	0.67	0.12	0.21	0.62	0.43	0.14	0.31	0.52	0.34	0.60	0.18	0.27	0.33	0.51	0.55	0.20	0.31	0.47	0.34	0.44	0.36
NM_001167856|SBNO1|chr12|-	chr12:123773642-123780597	123779258	0.15	0.21	0.24	0.21	0.12	0.10	0.16	0.14	0.14	0.06	0.13	0.20	0.11	0.04	0.22	0.08	0.16	0.24	0.10	0.07	0.19	0.13	0.16	0.09	0.13	0.18	0.21	0.19	NA	0.35	0.15	0.20	0.16	0.14	0.17	0.29	0.13	0.27	0.31	0.36	0.13	0.18	0.15	0.49	0.13	0.14	0.05	0.23	0.20	0.33	0.11	0.53	0.22	0.19	0.16	0.20	0.17	0.17	0.07	0.16	0.19	0.18	0.32	0.13	0.14	0.16	0.14	0.14	0.10	0.12	0.09	0.24	0.21	0.17	0.18	0.20	0.19	0.35	0.09	0.36	0.25	0.32	0.09	0.43	0.41	0.43	0.09	0.11	0.21	0.22	0.09	0.25	0.52	0.17	0.25	0.22	0.19	0.16	0.24	0.22	0.09	0.22	0.17	0.27	0.30
NR_033417|GTF2H2B|chr5|+	chr5:69743060-69746178	69743276	0.15	0.20	0.32	0.38	0.33	0.10	0.46	0.17	0.10	0.13	0.09	0.17	0.29	0.18	0.19	0.21	0.16	0.22	0.23	0.08	0.20	0.16	0.18	0.32	0.22	0.21	0.32	0.41	NA	0.43	0.10	0.17	0.23	0.28	0.13	0.24	0.24	0.18	0.20	0.43	0.09	0.22	0.14	0.49	0.17	0.09	0.11	0.23	0.10	0.29	0.26	NA	0.18	0.32	0.22	0.42	0.23	0.18	0.08	0.11	0.28	0.18	0.30	0.20	0.23	0.14	0.24	0.17	0.06	0.16	0.13	0.34	0.21	0.14	0.36	0.25	0.33	0.48	0.17	0.22	0.31	0.33	0.14	0.26	0.40	0.29	0.18	0.16	0.32	0.20	0.14	0.33	0.24	0.44	0.29	0.21	0.30	0.26	0.29	0.18	0.12	0.22	0.16	0.33	0.38
NM_001609|ACADSB|chr10|+	chr10:124813210-124817817	124813889	0.38	0.67	0.56	0.58	0.57	0.46	0.64	0.35	0.42	0.22	0.54	0.70	0.58	0.43	0.58	0.57	0.57	0.51	0.43	0.54	0.66	0.32	0.36	0.52	0.28	0.48	0.47	0.64	0.71	0.76	0.48	NA	0.60	0.54	NA	0.71	0.39	0.43	0.66	0.68	0.54	0.55	0.30	0.84	0.40	0.55	0.40	0.40	0.46	NA	0.56	0.64	0.53	0.57	NA	0.59	0.61	0.51	0.57	0.47	0.76	NA	0.69	0.69	0.42	0.42	NA	0.49	0.49	NA	0.58	0.70	0.65	0.58	NA	0.61	0.73	NA	0.52	0.78	0.60	0.55	0.46	NA	NA	NA	0.57	0.58	0.62	0.36	0.46	0.69	NA	0.67	0.58	0.58	0.54	0.69	0.41	NA	0.41	0.71	0.71	0.60	0.70
NM_021940|SMAP1|chr6|+	chr6:71569902-71571710	71570847	0.51	0.65	0.79	0.56	0.68	0.39	0.64	0.45	0.22	0.29	0.46	0.73	0.50	0.36	0.45	0.50	0.57	0.53	0.33	0.48	0.81	0.41	0.32	0.79	0.61	0.53	0.41	0.58	NA	0.72	0.46	0.32	0.63	0.53	0.50	0.60	0.49	0.56	0.49	0.56	0.54	0.58	0.41	0.77	0.54	0.60	0.61	NA	0.46	NA	0.69	NA	0.39	0.45	0.41	0.82	0.48	0.49	0.79	0.42	0.48	0.43	0.65	0.63	0.46	0.56	0.50	0.40	0.54	0.26	0.39	0.51	0.63	0.50	0.69	0.50	NA	0.87	0.62	0.67	0.45	0.62	0.52	0.35	NA	0.33	0.56	0.56	0.65	0.38	0.58	0.58	0.64	0.86	0.48	0.61	0.59	0.63	0.45	0.88	0.60	0.59	0.60	0.48	0.41
NM_000259|MYO5A|chr15|-	chr15:52599467-52606045	52605471	0.32	0.64	0.48	0.37	0.32	0.30	0.48	0.40	0.30	0.24	0.19	0.33	0.31	0.33	0.45	0.27	0.42	0.58	0.31	0.16	0.42	0.50	0.26	0.33	0.23	0.26	0.41	0.68	NA	0.65	0.24	0.29	0.35	NA	0.14	0.38	NA	0.43	0.50	0.53	0.24	0.42	0.39	0.58	0.25	0.21	0.28	0.31	0.27	NA	0.35	NA	0.42	0.45	0.37	0.46	0.42	0.49	0.12	0.22	0.52	0.47	0.52	0.30	0.38	0.39	0.35	0.29	0.14	0.18	0.28	0.50	0.35	0.29	0.35	0.29	NA	0.27	0.36	0.67	0.57	0.43	0.28	0.38	0.54	0.55	0.24	0.37	0.31	0.38	0.29	0.58	NA	0.45	0.38	0.41	0.47	0.39	0.59	0.09	0.33	0.44	0.45	0.57	0.54
NM_001722|POLR3D|chr8|+	chr8:22107908-22112950	22108647	0.22	NA	0.29	0.16	0.23	0.13	0.25	0.31	0.32	0.19	0.27	0.22	0.16	0.11	0.23	0.17	0.13	0.19	0.21	0.13	0.16	0.20	0.25	0.15	0.21	NA	NA	NA	NA	0.43	0.20	0.12	0.21	0.20	0.16	0.30	0.24	0.23	0.27	0.43	0.18	0.22	0.30	0.31	0.13	0.19	0.10	NA	0.20	NA	NA	NA	0.27	0.22	0.20	0.20	0.21	0.24	0.14	0.10	NA	0.23	0.24	0.26	0.26	0.17	0.18	0.17	0.23	0.15	0.13	0.38	0.19	0.20	0.26	0.18	0.24	0.29	0.23	NA	0.34	NA	0.16	NA	NA	0.19	0.10	0.24	0.15	0.20	0.16	0.16	0.24	0.27	0.36	0.21	0.14	0.34	0.30	0.20	0.12	0.29	0.22	0.38	0.26
NM_014678|PPP6R2|chr22|+	chr22:50882627-50884771	50883489	NA	0.32	0.41	0.60	0.16	NA	NA	NA	NA	0.55	0.52	0.88	NA	NA	NA	0.51	0.65	0.84	0.48	NA	0.58	NA	NA	NA	NA	0.25	NA	0.19	NA	NA	0.46	NA	NA	0.61	0.56	0.36	NA	0.63	0.37	0.28	NA	0.82	0.76	0.81	0.31	0.54	NA	NA	NA	NA	NA	NA	0.26	0.53	0.90	NA	NA	NA	0.23	NA	NA	0.70	0.89	NA	NA	NA	0.36	0.41	0.49	NA	NA	0.27	0.24	0.35	NA	NA	NA	0.16	0.20	0.63	0.42	0.49	0.15	1.00	NA	1.00	NA	NA	0.43	NA	NA	0.48	0.68	0.67	0.25	NA	NA	0.50	0.63	0.68	NA	0.12	0.32	0.29	0.30
NM_002936|RNASEH1|chr2|-	chr2:3588998-3593461	3593247	0.27	0.47	0.61	0.37	0.43	0.18	0.52	0.24	0.21	0.18	0.33	0.42	0.40	0.32	0.36	0.26	0.38	0.39	0.43	0.17	0.47	0.32	0.27	0.44	0.31	0.33	0.48	0.57	NA	0.59	0.25	0.23	0.32	0.35	0.13	0.62	0.42	0.53	0.56	0.56	0.32	0.40	0.27	0.53	0.29	0.30	0.27	0.34	0.26	NA	0.76	NA	0.48	0.45	0.31	0.43	0.49	0.54	0.24	0.16	0.69	0.37	0.43	0.46	0.38	0.48	0.54	0.38	0.23	0.18	0.34	0.54	0.51	0.30	0.46	0.44	0.49	0.53	0.39	0.66	0.65	0.47	0.37	0.33	NA	0.32	0.32	0.45	0.34	0.34	0.27	0.53	0.55	0.70	0.61	0.37	0.49	0.53	0.47	0.18	0.38	0.67	0.36	0.62	0.39
NM_003818|CDS2|chr20|+	chr20:5170747-5178519	5171953	0.19	0.24	0.32	0.28	0.16	0.16	0.27	0.21	0.19	0.13	0.16	0.15	0.17	0.08	0.28	0.14	0.19	0.32	0.17	0.08	0.31	0.12	0.17	0.13	0.13	0.14	0.29	0.14	0.58	0.53	0.25	0.20	0.15	0.27	0.15	0.27	0.30	0.23	0.39	0.47	0.19	0.26	0.23	0.33	0.10	0.16	0.14	0.38	0.23	0.68	0.12	0.58	0.37	0.27	0.28	0.40	0.29	0.34	0.06	0.13	0.29	0.37	0.30	0.23	0.18	0.24	0.22	0.13	0.10	0.09	0.09	0.32	0.37	0.25	0.24	0.25	0.21	0.18	0.22	0.37	0.34	0.32	0.10	0.39	0.54	0.27	0.16	0.15	0.17	0.19	0.06	0.19	0.34	0.19	0.23	0.26	0.27	0.22	0.30	0.06	0.13	0.33	0.31	0.37	0.36
NM_001142386|PDK3|chrX|+	chrX:24557250-24560056	24557881	0.27	0.44	0.79	0.17	0.12	0.12	0.36	0.43	0.13	0.12	NA	0.14	0.16	0.17	0.26	0.07	NA	NA	NA	0.05	0.14	0.28	0.09	NA	0.11	0.06	0.32	0.43	NA	0.33	0.08	0.08	NA	0.33	0.07	0.19	0.44	0.41	0.50	0.51	0.12	0.16	0.16	0.44	0.11	0.12	NA	NA	0.22	NA	0.12	0.78	0.58	0.32	0.22	NA	0.44	0.38	0.02	NA	0.48	0.24	NA	0.20	0.18	0.27	0.22	0.18	0.04	0.06	0.07	0.43	0.52	0.10	0.14	0.16	NA	0.10	0.27	NA	0.47	0.20	0.10	0.65	NA	0.17	0.14	0.16	0.11	0.25	NA	NA	NA	0.26	0.16	NA	0.27	NA	0.43	0.09	0.14	0.54	0.35	0.48	0.42
NM_001145354|MKLN1|chr7|+	chr7:131172365-131181532	131172665	0.38	0.44	0.38	0.32	0.28	0.26	0.28	0.40	0.32	0.22	0.20	0.31	0.37	0.30	0.41	0.18	0.45	0.29	0.47	0.08	0.24	0.27	0.30	0.20	0.19	0.20	0.40	0.39	0.27	0.48	0.15	0.18	0.28	0.45	0.15	0.36	0.44	0.56	0.52	0.42	0.19	0.33	0.40	0.46	0.29	0.23	0.10	0.58	0.24	1.00	0.30	0.25	0.33	0.37	0.26	0.24	0.40	0.33	0.09	0.15	0.51	0.35	0.32	0.36	0.25	0.35	0.37	0.24	0.15	0.18	0.20	0.52	0.30	0.30	0.32	0.31	0.33	0.18	0.37	0.40	0.44	0.26	0.33	0.49	1.00	0.24	0.31	0.45	0.19	0.27	0.18	0.38	0.31	0.56	0.36	0.28	0.25	0.45	0.56	0.10	0.35	0.53	0.51	0.44	0.53
NM_018839|NSFL1C|chr20|-	chr20:1422563-1424556	1424276	0.32	0.28	0.39	0.26	0.34	0.19	0.29	0.25	0.16	0.17	0.37	0.33	0.32	0.30	0.32	0.25	0.32	0.33	0.34	0.23	0.33	0.23	0.25	0.27	0.30	0.37	0.39	0.34	NA	0.48	0.22	0.36	0.32	0.28	0.18	0.40	0.39	0.49	0.35	0.41	0.33	0.33	0.23	0.48	0.29	0.25	0.26	0.28	0.30	NA	0.29	0.85	0.37	0.34	0.17	0.38	0.35	0.35	0.28	0.22	0.48	0.27	0.37	0.39	0.29	0.38	0.48	0.21	0.29	0.26	0.34	0.46	0.45	0.24	0.31	0.33	0.29	0.48	0.51	0.31	0.38	0.36	0.37	0.23	NA	0.23	0.48	0.48	0.26	0.24	0.24	0.40	0.34	0.37	0.23	0.37	0.28	0.28	0.35	0.24	0.26	0.41	0.29	0.42	0.38
NM_006275|SRSF6|chr20|+	chr20:42089342-42092370	42089897	0.25	0.28	0.35	0.39	0.31	0.25	0.33	0.42	0.21	0.19	0.35	0.36	0.19	0.40	0.49	0.36	0.39	0.31	0.40	0.31	0.28	0.30	0.23	0.26	0.44	0.33	0.27	0.52	0.27	0.43	0.18	0.35	0.34	0.40	0.27	0.39	0.45	0.37	0.42	0.46	0.30	0.23	0.25	0.47	0.28	0.19	0.21	0.29	0.27	0.67	0.64	0.14	0.33	0.30	0.28	0.51	0.27	0.37	0.27	0.27	0.49	0.30	0.31	0.38	0.26	0.39	0.44	0.30	0.22	0.28	0.36	0.52	0.37	0.30	0.38	0.37	0.47	0.71	0.43	0.31	0.39	0.53	0.46	0.31	0.99	0.25	0.54	0.43	0.28	0.19	0.23	0.44	0.53	0.49	0.33	0.31	0.33	0.35	0.32	0.45	0.30	0.62	0.37	0.45	0.44
NM_003875|GMPS|chr3|+	chr3:155655379-155661779	155655529	0.31	0.56	0.47	0.30	0.29	0.23	0.37	0.27	0.26	0.23	0.16	0.39	0.41	0.29	0.38	0.12	0.41	0.39	0.39	0.12	0.28	0.27	0.28	0.27	0.20	0.33	0.39	0.42	NA	0.47	0.19	0.08	0.22	0.33	0.06	0.36	0.37	0.50	0.50	0.48	0.18	0.32	0.34	0.34	0.28	0.25	0.21	NA	0.23	NA	0.32	NA	0.39	0.35	0.17	0.21	0.39	0.41	0.13	0.12	0.57	0.39	0.35	0.27	0.43	0.26	0.30	0.16	0.13	0.21	0.26	0.56	0.37	0.34	0.24	0.42	0.35	0.12	0.58	0.42	0.39	0.17	0.31	0.32	NA	0.09	0.16	0.44	0.35	0.25	0.25	0.29	0.25	0.47	0.21	0.28	0.28	0.49	0.52	0.06	0.38	0.45	0.40	0.50	0.27
NM_001033503|SAR1B|chr5|-	chr5:133936839-133942756	133942328	0.28	0.29	0.45	0.18	0.22	0.18	0.33	0.20	0.14	0.12	0.15	0.13	0.24	0.23	0.32	0.23	0.23	0.20	0.21	0.10	0.26	0.20	0.17	0.21	0.16	0.19	0.23	0.50	NA	0.29	0.16	0.15	0.30	0.23	0.16	0.36	0.22	0.24	0.33	0.44	0.20	0.18	0.17	0.31	0.24	0.16	0.09	0.30	0.19	0.56	0.25	0.43	0.27	0.29	0.14	0.32	0.25	0.18	0.12	0.17	0.32	0.15	0.18	0.19	0.22	0.24	0.19	0.18	0.11	0.13	0.20	0.40	0.27	0.22	0.21	0.22	0.29	0.24	0.24	0.38	0.38	0.35	0.31	0.35	0.49	0.22	0.12	0.22	0.27	0.13	0.18	0.40	0.39	0.52	0.24	0.26	0.30	0.31	0.30	0.12	0.21	0.47	0.28	0.30	0.37
NM_024734|CLMN|chr14|-	chr14:95648274-95658069	95657890	0.27	0.34	0.67	0.32	0.15	0.16	0.39	0.29	0.18	0.21	0.15	0.35	0.30	0.15	0.24	0.15	0.42	0.29	NA	0.11	0.23	0.14	NA	0.17	0.25	0.24	0.37	0.33	NA	0.46	0.17	NA	0.21	0.23	0.16	0.40	0.32	0.48	0.44	0.52	0.14	0.23	0.19	0.50	0.14	0.18	0.11	NA	0.22	NA	0.28	1.00	0.36	0.35	0.28	0.19	0.36	0.29	0.07	0.12	NA	0.30	0.47	0.33	0.34	0.24	0.39	0.26	0.13	0.14	0.13	0.53	0.27	0.40	0.18	0.22	0.34	0.23	0.22	0.38	0.34	0.27	0.20	NA	NA	0.51	0.14	0.44	0.25	0.30	0.25	NA	0.38	0.31	0.33	0.33	0.16	0.44	0.55	0.15	0.17	0.26	0.50	0.47	0.44
NM_175066|DDX51|chr12|-	chr12:132620109-132623843	132622471	0.29	0.30	NA	NA	NA	NA	NA	NA	NA	NA	0.41	0.40	0.39	0.26	0.40	NA	NA	NA	0.46	0.27	NA	0.15	0.27	0.37	0.33	0.27	0.27	0.44	NA	NA	NA	0.47	0.47	0.39	0.12	0.42	0.46	NA	0.34	0.47	0.28	NA	NA	0.33	0.27	NA	0.19	NA	NA	NA	NA	NA	0.25	0.35	NA	NA	NA	NA	0.27	0.17	NA	NA	NA	NA	NA	NA	0.44	NA	0.25	0.25	NA	0.48	NA	NA	NA	0.34	NA	NA	NA	0.39	0.43	0.30	0.36	NA	NA	NA	NA	0.43	0.30	0.38	0.41	0.45	0.56	0.40	NA	0.42	0.31	0.59	0.51	0.67	NA	NA	NA	0.49	NA
NM_021156|TMX4|chr20|-	chr20:7957998-7963268	7962095	0.25	0.40	0.31	0.15	0.36	0.33	0.33	0.31	0.29	0.27	0.30	0.27	0.23	0.34	0.44	0.28	0.38	0.34	0.46	NA	0.23	0.27	0.24	0.35	0.20	0.17	0.35	0.40	NA	0.54	0.28	0.37	0.40	0.37	NA	0.48	0.64	0.41	0.49	0.47	0.35	0.34	0.40	0.36	0.23	0.27	0.20	0.42	0.35	NA	0.96	NA	0.27	0.37	0.30	0.27	0.51	0.28	0.29	0.20	0.77	0.38	0.29	0.46	0.46	0.34	0.20	0.44	0.19	0.27	0.30	0.63	0.32	0.32	0.42	0.48	0.36	0.31	0.54	0.27	0.62	0.35	0.24	0.38	NA	0.26	0.16	0.62	0.25	0.15	0.34	0.32	0.49	0.29	0.57	0.37	0.39	0.39	0.43	0.22	0.41	0.73	0.42	0.47	0.38
NM_024293|FAM134A|chr2|+	chr2:220046734-220050167	220048210	0.19	0.16	0.30	0.16	0.31	0.15	0.15	0.17	0.16	0.12	0.39	0.13	0.17	0.17	0.19	0.17	0.12	0.16	0.18	0.24	0.24	0.17	0.24	0.15	0.17	0.18	0.09	0.19	NA	0.33	0.16	0.11	0.22	0.19	0.20	0.21	0.20	0.15	0.26	0.24	0.22	0.17	0.18	0.25	0.22	0.21	0.19	0.31	0.25	NA	0.66	0.36	0.18	0.18	0.20	0.13	0.25	0.19	0.31	0.19	0.33	0.20	0.17	0.37	0.32	0.25	0.13	0.20	0.35	0.15	0.17	0.43	0.21	0.26	0.38	0.28	0.21	0.65	0.54	0.17	0.24	0.16	0.21	0.12	NA	0.09	0.22	0.36	0.16	0.23	0.24	0.19	0.17	0.25	0.21	0.25	0.24	0.20	0.13	0.32	0.28	0.27	0.35	0.28	0.17
NM_003062|SLIT3|chr5|-	chr5:168088761-168093694	168093336	NA	0.19	NA	0.16	0.23	0.19	0.31	0.16	0.39	0.19	0.11	0.17	0.25	0.33	0.20	0.13	0.19	0.23	0.26	0.14	0.21	0.20	0.36	0.32	0.14	0.21	NA	NA	NA	0.56	0.21	0.17	0.13	0.27	NA	0.29	0.30	0.30	0.41	0.35	0.17	0.30	0.38	0.32	0.21	0.11	0.15	NA	0.22	NA	0.51	NA	NA	0.28	0.17	0.26	0.32	0.30	0.16	NA	NA	0.37	0.17	0.42	0.26	0.32	NA	NA	0.12	NA	0.29	0.64	0.26	0.20	0.24	0.32	0.31	0.14	0.33	0.27	0.32	0.21	0.22	NA	NA	0.18	0.31	0.31	0.17	0.22	0.20	0.16	NA	0.29	0.16	0.20	0.26	0.22	0.29	0.08	0.23	0.34	0.30	0.43	0.26
NM_006827|TMED10|chr14|-	chr14:75598143-75601709	75601112	0.33	0.41	0.61	0.52	0.39	0.22	0.33	0.31	0.28	0.27	0.32	0.37	0.38	0.31	0.46	0.31	0.52	0.41	0.33	0.15	0.22	0.37	0.29	0.36	0.36	0.35	0.38	0.49	0.42	0.46	0.24	0.36	0.38	0.45	0.24	0.42	0.53	0.57	0.51	0.45	0.35	0.38	0.22	0.62	0.45	0.31	0.30	0.34	0.30	0.88	0.47	0.32	0.33	0.47	0.34	0.32	0.41	0.32	0.19	0.34	0.45	0.33	0.25	0.51	0.29	0.46	0.34	0.39	0.25	0.30	0.26	0.49	0.45	0.38	0.30	0.44	0.41	0.31	0.42	0.31	0.46	0.36	0.32	0.28	0.91	0.27	0.50	0.44	0.32	0.28	0.34	0.56	0.57	0.49	0.46	0.35	0.39	0.44	0.50	0.16	0.44	0.52	0.49	0.46	0.33
NM_012081|ELL2|chr5|-	chr5:95220694-95224691	95223185	0.22	0.38	0.27	NA	0.38	0.36	0.30	0.48	0.16	0.16	0.50	0.36	0.21	0.17	0.38	0.29	0.31	0.29	0.31	NA	0.35	0.13	0.23	0.34	0.34	0.23	0.36	NA	NA	0.44	NA	0.23	0.41	0.32	0.18	0.55	NA	NA	0.32	0.62	0.40	0.33	0.15	0.67	0.26	0.28	0.22	0.36	0.22	NA	0.43	NA	0.49	0.40	0.20	0.76	0.28	0.22	NA	0.19	0.25	0.22	0.54	0.28	0.18	0.24	0.30	0.18	0.25	0.18	0.32	0.33	0.56	0.22	0.36	0.34	0.40	0.86	0.35	NA	0.39	NA	0.35	NA	NA	NA	NA	0.34	0.48	0.22	0.39	0.47	NA	0.24	0.36	0.51	0.31	0.49	0.34	0.36	0.16	0.35	0.28	0.36	0.61
