event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NR_028459|ATXN3|chr14|-	chr14:92524832-92530758	92529965	NA	0.34	NA	0.33	0.25	0.38	NA	0.22	NA	NA	0.22	0.17	0.40	0.57	0.27	NA	NA	0.62	0.28	NA	NA	NA	0.37	NA	0.26	0.41	0.50	0.23	0.31	0.53	NA	0.36	0.17	0.24	NA	0.36	NA	0.22	0.24	NA	0.45	0.42	0.41	0.33	0.16	0.52	0.28	0.22	NA	0.29	0.34
NM_018999|FAM190B|chr10|+	chr10:86273204-86278282	86274132	0.46	0.49	0.32	0.50	0.39	0.37	0.51	0.39	0.63	0.46	0.31	0.32	0.37	0.64	0.36	0.55	0.40	0.48	0.40	0.49	0.29	0.34	0.39	0.39	0.42	0.39	0.61	0.30	0.43	0.50	0.52	0.32	0.37	0.44	0.37	0.34	0.37	0.43	0.29	0.45	NA	0.40	0.32	0.46	0.40	0.35	0.36	0.27	0.35	0.45	0.60
NM_014050|MRPL42|chr12|+	chr12:93894951-93897513	93896315	0.16	0.11	0.20	0.14	0.08	0.14	0.10	0.12	0.21	0.14	0.14	0.11	0.16	0.30	0.13	0.15	0.14	0.22	0.07	0.15	0.24	0.14	0.13	0.19	0.08	0.27	0.19	0.13	0.11	0.14	0.25	0.12	0.14	0.13	0.17	0.18	0.22	0.16	0.09	0.19	0.13	0.15	0.07	0.15	0.09	0.17	0.12	0.11	0.13	0.11	0.10
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978410	28975950	0.56	0.51	0.58	0.68	0.39	0.65	0.65	0.62	0.79	0.67	0.77	0.46	0.61	0.78	0.48	0.60	0.58	0.63	0.31	0.71	0.46	0.42	0.35	0.37	0.50	0.66	0.49	0.22	0.59	0.48	0.62	0.38	0.38	0.41	0.60	0.72	0.71	0.59	0.48	0.76	0.70	0.60	0.43	0.57	0.44	0.63	0.60	0.45	0.37	0.54	0.54
NM_006191|PA2G4|chr12|+	chr12:56506606-56507666	56506861	0.27	0.22	0.27	0.34	0.35	0.31	0.30	0.28	0.42	0.21	0.28	0.19	0.27	0.45	0.25	0.25	0.23	0.30	0.28	0.35	0.27	0.20	0.22	0.24	0.20	0.46	0.23	0.19	0.29	0.32	0.31	0.22	0.23	0.24	0.28	0.22	0.32	0.40	0.22	0.33	0.26	0.28	0.20	0.21	0.32	0.40	0.34	0.15	0.23	0.19	0.36
NM_015132|SNX13|chr7|-	chr7:17830392-17833916	17833113	0.31	0.30	0.18	0.45	0.32	0.32	0.34	0.33	0.56	0.28	0.47	0.20	0.39	0.54	0.33	0.32	0.23	0.34	0.29	0.45	0.18	0.21	0.28	0.24	0.31	0.43	0.37	0.15	0.29	0.38	0.39	0.24	0.29	0.31	0.36	0.42	0.40	0.26	0.24	0.37	0.52	0.32	0.22	0.28	0.33	0.29	0.31	0.29	0.26	0.37	0.37
NM_006888|CALM1|chr14|+	chr14:90871032-90874601	90871886	0.24	0.36	0.22	0.22	0.12	0.29	0.24	0.24	0.30	0.19	0.10	0.14	0.23	0.38	0.31	0.29	0.35	0.27	0.18	0.21	0.32	0.35	0.40	0.29	0.23	0.39	0.24	0.22	0.28	0.18	0.30	0.26	0.27	0.13	0.26	0.13	0.24	0.33	0.28	0.30	0.15	0.21	0.22	0.19	0.18	0.27	0.20	0.18	0.30	0.34	0.23
NM_175066|DDX51|chr12|-	chr12:132621136-132623843	132623501	0.33	0.41	0.32	0.29	0.33	0.43	0.41	0.38	0.60	0.28	NA	0.22	0.41	0.58	NA	0.37	0.34	0.47	NA	0.30	0.48	0.34	0.45	0.42	NA	0.67	NA	0.26	0.43	0.32	0.49	0.28	0.38	0.28	0.43	0.34	0.40	0.47	NA	0.57	0.35	0.39	0.32	0.42	0.22	0.47	0.38	0.22	0.37	0.30	0.40
NM_006306|SMC1A|chrX|-	chrX:53401080-53407107	53404956	0.11	0.10	0.13	0.09	0.09	0.07	0.05	0.03	0.16	0.10	0.15	0.09	0.15	0.25	0.11	0.11	0.08	0.10	0.07	0.27	0.06	0.07	0.06	0.07	0.05	0.18	0.09	0.07	0.08	0.14	0.17	0.04	0.13	0.12	0.11	0.13	0.14	0.12	0.05	0.12	0.08	0.08	0.08	0.08	0.09	0.11	0.08	0.08	0.05	0.05	0.05
NM_139062|CSNK1D|chr17|-	chr17:80200370-80202707	80202409	0.47	0.47	0.56	0.51	0.60	0.46	0.47	0.60	0.60	0.48	0.42	0.29	0.62	0.76	0.53	0.58	0.62	0.60	0.41	0.53	0.78	0.50	0.77	0.56	0.49	0.86	0.48	0.61	0.64	0.37	0.73	0.50	0.53	0.41	0.49	0.48	0.63	0.68	0.60	0.60	0.48	0.41	0.44	0.49	0.47	0.73	0.61	0.49	0.59	0.41	0.43
NM_002815|PSMD11|chr17|+	chr17:30807770-30809910	30807966	0.51	0.37	0.48	0.53	0.38	0.45	0.39	0.52	0.49	0.37	0.39	0.42	0.61	0.64	0.35	0.35	0.46	0.60	0.32	0.49	0.54	0.38	0.44	0.55	0.33	0.47	0.37	0.32	0.35	0.47	0.64	0.38	0.35	0.35	0.58	0.35	0.64	0.47	0.46	0.48	0.46	0.49	0.32	0.35	0.47	0.63	0.42	0.38	0.46	0.39	0.40
NM_007275|TUSC2|chr3|-	chr3:50362341-50363617	50363463	0.47	0.59	0.37	0.58	0.39	0.48	0.55	0.42	0.51	0.32	0.57	0.30	0.45	0.65	0.41	0.51	0.57	0.65	0.47	0.40	0.61	0.44	0.49	0.49	0.63	0.59	0.62	0.46	0.61	0.54	0.66	0.47	0.43	0.33	0.41	0.51	0.45	0.50	0.42	0.73	0.41	0.54	0.35	0.39	0.25	0.48	0.38	0.35	0.49	0.49	0.45
NM_017994|C7orf42|chr7|+	chr7:66420488-66423535	66421040	0.52	0.43	0.40	0.41	0.29	0.32	0.32	0.44	0.62	0.38	0.47	0.21	0.52	0.69	0.25	0.41	0.36	0.47	0.28	0.53	0.29	0.30	0.34	0.37	0.34	0.47	0.38	0.26	0.34	0.37	0.51	0.24	0.28	0.47	0.48	0.32	0.51	0.42	0.34	0.45	0.53	0.39	0.34	0.25	0.34	0.58	0.54	0.36	0.47	0.35	0.40
NM_174871|PSMD12|chr17|-	chr17:65334036-65337168	65336883	0.19	0.18	0.18	0.17	0.13	0.26	0.18	0.13	0.27	0.18	0.11	0.12	0.23	0.33	0.15	0.26	0.21	0.29	0.16	0.16	0.18	0.18	0.23	0.21	0.17	0.29	0.19	0.11	0.16	0.15	0.30	0.22	0.15	0.17	0.25	0.13	0.25	0.16	0.13	0.25	0.27	0.19	0.13	0.23	0.15	0.26	0.13	0.13	0.22	0.24	0.13
NM_033540|MFN1|chr3|+	chr3:179109768-179112717	179110708	0.34	0.24	0.35	0.30	0.22	0.39	0.28	0.21	0.38	0.35	0.28	0.35	0.45	0.45	0.25	0.38	0.32	0.48	0.19	0.41	0.44	0.34	0.23	0.35	0.21	0.33	0.36	0.21	0.29	0.21	0.36	0.25	0.28	0.33	0.38	0.30	0.39	0.31	0.35	0.39	0.33	0.34	0.29	0.31	0.23	0.38	0.23	0.34	0.40	0.31	0.20
NM_018842|BAIAP2L1|chr7|-	chr7:97920967-97922908	97922655	0.46	0.34	0.29	0.43	0.42	0.38	0.28	0.40	0.50	0.37	0.28	0.30	0.46	0.67	0.53	0.41	0.37	0.51	0.23	0.31	0.44	0.29	0.24	0.31	0.26	0.42	0.35	0.25	0.43	0.34	0.43	0.33	0.29	0.25	0.42	0.30	0.54	0.38	0.35	0.41	0.49	0.33	0.27	0.35	0.40	0.38	0.31	0.26	0.32	0.25	0.42
NM_001161407|NDFIP2|chr13|+	chr13:80126650-80130186	80127940	0.10	0.21	0.21	0.21	0.14	0.16	0.16	0.12	0.20	0.19	0.36	0.12	0.21	0.32	0.12	0.22	0.16	0.22	0.16	0.19	0.24	0.12	0.16	0.19	0.14	0.21	0.26	0.11	0.14	0.20	0.29	0.12	0.15	0.18	0.23	0.23	0.26	0.12	0.09	0.23	0.30	0.21	NA	0.16	0.10	0.21	0.15	0.21	0.19	0.16	0.23
NM_001080415|U2SURP|chr3|+	chr3:142775153-142779308	142775625	0.13	0.24	0.24	0.25	0.17	0.18	0.27	0.12	0.26	0.23	0.12	0.14	0.28	0.31	0.31	0.33	0.17	0.30	0.16	0.29	0.19	0.16	0.17	0.19	0.17	0.25	0.23	0.09	0.20	0.24	0.17	0.18	0.15	0.18	0.27	0.24	0.18	0.20	0.21	0.27	0.23	0.23	0.17	0.29	0.12	0.18	0.15	0.16	0.14	0.24	0.23
NM_153029|N4BP1|chr16|-	chr16:48572628-48577172	48576652	0.44	0.35	0.38	0.28	0.32	0.33	0.21	0.38	0.40	0.34	0.16	0.18	0.36	0.45	0.29	0.34	0.28	0.45	0.17	0.43	0.22	0.27	0.26	0.29	0.40	0.39	0.35	0.31	0.31	0.21	0.34	0.20	0.29	0.22	0.35	0.21	0.26	0.32	0.27	0.30	0.45	0.24	0.20	0.24	0.27	0.32	0.16	0.22	0.34	0.23	0.24
NM_030821|PLA2G12A|chr4|-	chr4:110631108-110635651	110635198	0.32	0.41	0.31	0.37	0.19	0.36	0.31	0.38	0.39	0.28	0.22	0.30	0.37	0.54	0.30	0.36	0.33	0.36	0.21	0.59	0.34	0.26	0.47	0.41	0.34	0.42	0.50	0.36	0.34	0.37	0.38	0.23	0.34	0.26	0.37	0.33	0.38	0.43	0.25	0.53	0.40	0.34	0.30	0.41	0.30	0.40	0.21	0.25	0.40	0.40	0.35
NM_001145547|RBM17|chr10|+	chr10:6157415-6158737	6157630	0.12	0.13	0.12	0.14	0.10	0.13	0.12	0.10	0.18	0.12	0.12	0.07	0.12	0.30	0.14	0.17	0.17	0.21	0.12	0.12	0.14	0.10	0.13	0.11	0.13	0.23	0.12	0.05	0.13	0.13	0.19	0.10	0.08	0.09	0.17	0.10	0.17	0.17	0.07	0.15	0.16	0.12	0.06	0.16	0.12	0.14	0.08	0.08	0.07	0.13	0.11
NM_001412|EIF1AX|chrX|-	chrX:20142629-20146429	20145354	0.51	0.51	0.68	0.53	0.39	0.68	0.44	0.39	0.56	0.53	0.52	0.61	0.42	0.86	0.50	0.58	0.38	0.61	0.27	0.61	0.77	0.73	0.47	0.51	0.44	0.72	0.48	0.31	0.56	0.49	0.61	0.47	0.36	0.43	0.63	0.71	0.52	0.60	0.45	0.60	0.65	0.54	0.30	0.56	0.30	0.53	0.42	0.64	0.33	0.58	0.50
NM_144571|CNOT6L|chr4|-	chr4:78634517-78641797	78639210	0.47	0.61	NA	0.68	NA	0.62	NA	0.41	0.64	0.79	NA	NA	0.49	NA	0.60	0.51	0.60	0.54	0.46	NA	NA	0.62	NA	0.61	0.48	NA	0.47	0.48	0.63	0.58	0.64	NA	0.60	0.57	0.62	NA	0.55	0.68	0.60	0.51	0.75	NA	0.37	0.71	0.63	0.60	0.46	NA	0.42	0.58	NA
NM_005766|FARP1|chr13|+	chr13:99100489-99102021	99100653	0.61	0.49	0.48	0.52	0.32	0.55	0.49	0.36	0.66	0.44	0.53	0.37	0.66	0.66	0.54	0.51	0.50	0.64	0.41	0.36	0.40	0.36	0.44	0.41	0.44	0.60	0.41	0.41	0.46	0.52	0.63	0.46	0.44	0.50	0.51	0.56	0.76	0.49	0.50	0.49	0.48	0.41	0.40	0.37	0.45	0.63	0.38	0.34	0.61	0.46	0.41
NM_001145646|APH1B|chr15|+	chr15:63597812-63601328	63598064	0.36	NA	0.15	0.29	0.34	NA	NA	0.56	NA	0.23	0.11	0.14	0.45	0.53	NA	0.37	NA	0.40	0.24	NA	0.40	0.35	0.33	NA	0.40	0.75	NA	0.36	0.65	0.40	0.34	NA	NA	NA	0.31	NA	NA	0.74	NA	0.32	NA	NA	NA	NA	0.10	NA	NA	0.13	NA	NA	NA
NM_001127197|ELF4|chrX|-	chrX:129197922-129201500	129198951	0.33	0.32	0.41	0.52	0.86	0.40	0.37	0.19	0.49	0.41	NA	0.38	0.32	0.53	0.21	0.31	0.40	0.47	0.20	0.56	0.30	0.39	0.25	0.28	0.38	0.27	0.32	0.14	0.41	0.24	0.36	0.33	0.37	0.44	0.35	0.40	0.27	0.22	0.35	0.36	0.58	0.29	0.23	0.48	0.55	0.30	0.42	0.53	0.24	0.27	0.28
NM_000232|SGCB|chr4|-	chr4:52886850-52890326	52890073	0.36	0.56	0.30	0.49	0.42	0.53	0.60	0.49	0.56	0.43	0.47	0.31	0.37	0.68	0.40	0.43	0.39	0.53	0.48	0.47	0.44	0.27	0.37	0.43	0.46	0.61	0.65	0.36	NA	0.40	0.51	0.40	0.50	0.42	0.38	0.54	0.41	0.45	0.32	0.50	0.51	0.34	0.48	0.56	0.26	0.40	NA	0.33	0.40	0.52	0.50
NM_014630|ZNF592|chr15|+	chr15:85345093-85349583	85346392	0.31	0.27	0.16	0.25	0.24	0.24	0.34	0.27	0.46	0.21	0.33	0.18	0.28	0.37	0.25	0.35	0.30	0.36	0.33	0.18	0.13	0.15	0.22	0.34	0.54	0.31	0.45	0.22	0.32	0.26	0.37	0.19	0.25	0.30	0.25	0.25	0.40	0.29	0.20	0.24	0.31	0.32	0.24	0.41	0.17	0.30	0.18	0.16	0.35	0.23	0.36
NM_001195000|MR1|chr1|+	chr1:181024360-181031072	181025458	0.39	0.30	0.30	0.34	0.22	0.40	0.19	0.43	0.52	0.26	0.27	NA	0.38	0.56	0.24	0.38	0.40	0.59	0.29	0.47	0.23	0.33	0.27	0.28	0.47	0.34	0.42	0.39	NA	0.33	0.42	0.29	0.24	0.33	0.37	0.18	0.49	0.28	0.27	0.50	0.47	0.37	0.13	0.30	0.22	0.46	0.34	0.20	0.40	0.31	0.20
NM_015704|PPPDE2|chr22|-	chr22:41994782-41997194	41996943	0.27	0.20	0.27	0.23	0.18	0.21	0.20	0.37	0.39	0.15	0.07	0.12	0.41	0.35	0.22	0.27	0.17	0.29	0.18	0.37	0.22	0.27	0.31	0.21	0.27	0.48	0.21	0.31	0.34	0.23	0.36	0.20	0.18	0.24	0.27	0.13	0.42	0.38	0.25	0.35	0.19	0.16	0.09	0.15	0.13	0.39	0.25	0.09	0.25	0.23	0.25
NM_003162|STRN|chr2|-	chr2:37068367-37076768	37070990	NA	0.09	NA	0.13	0.07	0.06	0.04	0.07	0.12	NA	NA	0.05	0.12	NA	0.12	0.10	NA	0.04	0.04	0.10	0.08	0.06	0.04	0.07	0.03	0.14	0.10	0.11	0.05	0.04	NA	0.02	0.05	NA	NA	0.08	0.11	0.11	0.06	NA	NA	0.08	0.05	0.05	0.06	0.23	0.06	0.08	0.06	0.07	0.05
NM_003601|SMARCA5|chr4|+	chr4:144474271-144475518	144474504	0.26	0.32	0.21	0.45	0.31	0.31	0.39	0.38	0.41	0.36	0.35	0.21	0.34	0.44	0.29	0.32	0.26	0.38	0.27	0.40	0.24	0.25	0.28	0.33	0.32	0.28	0.36	0.25	0.27	0.35	0.32	0.31	0.28	0.35	0.34	0.28	0.33	0.26	0.23	0.41	0.44	0.28	0.28	0.43	0.42	0.32	0.25	0.27	0.33	0.36	0.29
NM_001195098|ANKRD28|chr3|-	chr3:15708727-15712063	15710227	0.34	0.26	0.34	0.43	0.29	NA	0.24	0.20	0.35	0.44	NA	0.36	0.27	0.55	0.17	0.32	0.30	0.41	0.20	0.39	0.36	0.29	0.27	0.24	0.20	0.21	0.21	0.14	0.23	NA	0.39	NA	0.21	0.37	0.26	0.41	0.39	0.21	0.22	0.32	0.48	0.37	0.25	0.16	0.41	0.39	0.34	NA	0.22	0.18	0.30
NM_001098728|GTF2H2C|chr5|+	chr5:68887905-68891033	68888124	0.29	0.31	0.24	0.25	0.11	0.22	0.18	0.32	0.18	0.18	0.12	0.12	0.30	0.23	0.34	0.28	0.20	0.22	0.14	0.15	0.33	0.13	0.20	0.31	0.17	0.20	0.29	0.15	0.19	0.28	0.24	0.21	0.24	0.14	0.38	0.14	0.22	0.24	0.14	0.43	0.23	0.23	0.16	0.26	0.16	0.19	0.09	0.17	0.27	0.23	0.13
NM_152734|C6orf89|chr6|+	chr6:36891122-36896751	36892289	0.47	0.61	0.39	0.44	0.36	0.48	0.38	0.64	0.66	0.52	0.32	0.28	0.51	0.76	0.37	0.51	0.42	0.57	0.24	0.49	0.51	0.40	0.36	0.40	0.40	0.79	0.46	0.30	0.59	0.48	0.61	0.29	0.46	0.32	0.48	0.51	0.64	0.53	0.32	0.50	0.54	0.54	0.44	0.35	0.19	0.58	0.39	0.25	0.43	0.37	0.41
