event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_001171506|MCFD2|chr2|-	chr2:47128986-47132733	47132446	0.39	0.92	0.64	0.95	0.13	0.61	0.22	0.42	0.95	0.62	0.61	0.73	0.89	0.24	0.84	0.91	0.83	0.80	NA	0.49	0.21	0.53	0.66
NM_015344|LEPROTL1|chr8|+	chr8:29963261-29965575	29963478	0.56	0.49	0.32	0.38	0.12	0.44	0.26	0.23	0.47	0.41	0.43	0.47	0.20	0.16	0.46	0.39	0.41	0.45	0.44	0.19	0.22	0.24	0.40
NM_001777|CD47|chr3|-	chr3:107762202-107766139	107765961	0.10	0.37	0.10	0.14	0.04	0.10	0.07	0.08	0.17	0.15	0.14	0.17	0.11	0.02	0.09	0.13	0.18	0.22	0.12	0.10	0.03	0.04	0.15
NR_037926|SENP3-EIF4A1|chr17|+	chr17:7481659-7482325	7481889	0.29	0.37	0.47	0.41	0.30	0.47	0.31	0.23	0.49	0.30	0.77	0.50	0.26	0.37	0.50	0.55	0.71	0.44	0.64	0.10	0.31	0.50	0.44
NM_002056|GFPT1|chr2|-	chr2:69546926-69553365	69552439	0.33	NA	0.54	0.46	0.36	0.32	0.32	0.32	0.54	0.40	0.53	0.37	0.47	0.25	0.31	0.37	0.33	0.53	0.41	NA	0.20	0.27	0.32
NM_006660|CLPX|chr15|-	chr15:65440555-65443251	65442954	0.35	0.55	0.28	0.44	0.12	0.39	NA	NA	0.56	0.31	0.26	0.32	0.25	0.21	0.32	0.24	0.31	0.47	0.40	NA	0.30	0.28	0.65
NM_000671|ADH5|chr4|-	chr4:99992157-99993592	99993370	0.37	0.52	0.19	0.34	0.14	0.24	0.18	0.18	0.28	0.27	0.45	0.42	0.21	0.16	0.31	0.33	0.32	0.34	0.39	0.25	0.17	0.20	0.33
NM_001048210|CLCC1|chr1|-	chr1:109474496-109475123	109474973	0.75	0.79	0.39	0.74	0.53	NA	0.57	0.54	0.78	0.47	0.72	0.56	NA	0.88	0.67	0.68	0.60	0.50	0.66	0.40	0.64	0.57	0.82
NM_001282|AP2B1|chr17|+	chr17:34050643-34053433	34051047	0.43	0.95	0.86	0.82	0.47	0.46	0.57	0.50	0.90	0.88	0.94	0.87	0.83	0.35	0.76	0.89	0.92	0.85	0.91	0.60	0.52	0.46	0.75
NM_021156|TMX4|chr20|-	chr20:7958001-7963268	7962092	NA	NA	0.26	0.31	0.17	0.25	0.21	0.16	NA	0.29	0.17	0.13	NA	NA	0.20	0.22	0.21	0.15	NA	0.09	0.21	0.21	0.55
NM_002111|HTT|chr4|+	chr4:3241572-3245687	3242324	0.17	0.37	0.29	0.27	0.09	0.10	0.24	0.12	0.24	0.25	0.19	0.40	0.08	0.11	0.20	0.17	0.16	0.20	0.14	0.12	0.10	0.21	0.11
NM_016131|RAB10|chr2|+	chr2:26357806-26360398	26358043	0.60	0.76	0.57	0.65	0.41	0.51	0.44	0.57	0.73	0.46	0.69	0.66	0.51	0.27	0.71	0.56	0.61	0.89	0.71	0.42	0.36	0.40	0.69
NM_004514|FOXK2|chr17|+	chr17:80559178-80563594	80560240	0.34	0.43	0.59	0.26	0.47	0.56	0.66	0.50	0.54	0.39	0.44	0.38	0.33	0.48	0.59	0.33	0.33	0.53	0.28	0.33	0.53	0.49	0.58
NM_001448|GPC4|chrX|-	chrX:132434154-132437097	132436519	0.37	NA	0.52	0.36	0.26	0.74	0.45	0.31	0.49	0.36	0.44	0.64	NA	NA	0.72	0.48	0.50	0.57	NA	0.22	0.44	NA	0.62
NM_080881|DBN1|chr5|-	chr5:176883609-176884504	176884080	0.66	0.44	0.59	0.47	0.76	1.00	0.85	0.53	0.51	0.52	0.60	0.58	0.35	1.00	0.78	0.60	0.56	0.44	0.72	0.10	0.91	0.74	0.84
NM_001110792|MECP2|chrX|-	chrX:153287102-153296901	153295757	0.09	0.30	0.19	0.37	NA	NA	NA	NA	NA	0.23	0.26	0.34	0.35	0.05	0.22	0.22	NA	NA	NA	NA	0.09	0.14	NA
NM_021159|RAP1GDS1|chr4|+	chr4:99363140-99365006	99363768	0.16	0.35	0.29	0.18	0.24	0.28	NA	0.28	0.25	0.22	0.19	0.33	0.22	0.28	0.47	0.27	0.35	0.36	NA	0.08	0.46	0.26	0.24
NM_001457|FLNB|chr3|+	chr3:58156301-58157982	58156460	0.69	0.95	0.66	0.72	0.19	0.44	0.67	0.49	0.86	0.72	0.75	0.69	0.42	0.24	0.65	0.70	0.72	0.78	0.94	0.25	0.50	0.48	0.79
NM_001255976|PMEPA1|chr20|-	chr20:56223427-56227654	56227081	NA	NA	0.71	0.51	NA	0.51	0.68	0.38	0.74	NA	0.62	0.51	0.29	0.46	0.93	0.60	0.54	0.58	0.44	0.22	0.48	0.70	NA
NM_194261|UBE2I|chr16|+	chr16:1374730-1377009	1375281	0.06	0.10	0.05	0.12	0.10	0.11	0.14	0.24	0.12	0.03	0.10	0.06	0.13	0.10	0.11	0.08	0.08	0.22	0.10	0.09	0.11	0.12	0.08
NM_139207|NAP1L1|chr12|-	chr12:76439974-76441498	76441348	0.11	0.47	0.23	0.32	0.08	0.32	0.19	0.11	0.49	0.34	0.61	0.30	0.35	0.14	0.33	0.48	0.52	0.30	0.37	0.07	0.28	0.08	0.35
NM_000574|CD55|chr1|+	chr1:207532890-207534184	207533656	NA	NA	0.08	NA	NA	0.28	0.53	0.07	0.14	NA	0.17	0.16	0.07	0.39	0.32	0.16	0.19	NA	0.31	0.01	0.44	0.23	0.19
NM_006908|RAC1|chr7|+	chr7:6441946-6443609	6442099	0.63	0.64	0.44	0.59	0.29	0.56	0.38	0.45	0.77	0.62	0.69	0.73	0.39	0.37	0.73	0.66	0.72	0.66	0.80	0.30	0.47	0.55	0.67
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025840	29023854	0.48	0.39	0.49	0.13	0.90	0.84	0.98	0.80	0.31	0.22	0.58	0.62	0.40	NA	0.62	0.30	0.41	0.49	0.29	0.29	0.93	0.54	0.44
NM_004863|SPTLC2|chr14|-	chr14:77972313-77978746	77978398	0.10	0.69	0.41	0.43	0.03	0.06	NA	0.09	0.56	0.30	0.39	0.52	0.47	0.01	0.41	0.56	0.50	0.60	0.34	0.17	0.04	0.12	0.33
NM_001895|CSNK2A1|chr20|-	chr20:461403-464720	463424	0.47	0.68	0.73	0.38	NA	0.76	NA	0.68	0.48	0.48	0.66	0.75	0.42	0.68	0.75	0.53	0.61	0.87	0.42	0.40	0.67	0.45	0.53
NM_174909|TMEM167A|chr5|-	chr5:82348638-82352973	82352495	0.34	0.56	0.51	0.49	0.45	0.24	0.33	0.42	0.61	0.43	0.51	0.44	0.56	0.13	0.44	0.58	0.43	0.70	0.40	NA	0.39	0.22	0.37
NM_014232|VAMP2|chr17|-	chr17:8062490-8064189	8063748	0.42	0.87	0.91	0.78	0.21	0.51	0.26	0.35	0.78	0.84	0.93	1.00	0.75	0.29	0.73	0.89	0.91	1.00	0.52	0.28	0.26	1.00	0.70
NM_001204880|UBE2D1|chr10|+	chr10:60128479-60130459	60129300	NA	0.25	0.18	0.14	NA	0.21	NA	NA	0.19	0.08	0.19	0.16	0.20	0.29	0.25	0.16	0.17	0.28	NA	NA	0.21	0.17	0.15
NM_017592|MED29|chr19|+	chr19:39888096-39891215	39888307	0.47	0.64	0.55	0.65	0.32	0.66	0.42	0.26	0.59	0.55	0.76	0.77	0.35	0.23	0.71	0.87	0.82	0.61	0.85	0.24	0.48	0.46	0.66
NM_002883|RANGAP1|chr22|-	chr22:41641577-41642676	41642050	1.00	0.83	1.00	0.89	1.00	1.00	1.00	1.00	0.74	1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.00	0.98	1.00	1.00	1.00	1.00	0.98
NM_018222|PARVA|chr11|+	chr11:12549395-12552541	12549771	0.25	0.49	0.48	0.43	0.21	0.35	0.24	0.24	0.41	0.43	0.53	0.65	0.23	0.22	0.56	0.43	0.52	0.40	0.38	0.12	0.27	0.34	0.42
NM_001184790|PARD3|chr10|-	chr10:34398482-34400490	34400067	0.71	0.60	NA	NA	0.22	NA	NA	0.52	0.62	0.41	0.68	NA	0.34	0.25	NA	0.61	NA	NA	0.56	NA	0.23	0.46	NA
NM_198889|ANKRD17|chr4|-	chr4:73940422-73942007	73941467	0.28	0.30	0.35	0.19	0.29	0.61	0.32	0.19	0.39	0.29	0.41	0.33	0.19	0.44	0.37	0.30	0.42	0.39	0.30	0.07	0.39	0.35	0.38
NM_003403|YY1|chr14|+	chr14:100743754-100749124	100744877	0.08	0.62	0.24	0.16	0.19	0.17	0.24	0.30	0.23	0.10	0.11	0.23	0.40	0.14	0.20	0.22	0.17	0.39	0.23	0.32	0.09	0.17	0.16
NM_001128620|PAK1|chr11|-	chr11:77032624-77034405	77034126	0.61	0.58	0.58	0.41	0.51	0.35	0.70	0.76	0.51	0.57	0.56	0.41	0.45	0.59	0.46	0.39	0.50	0.71	0.54	0.37	0.67	0.34	0.54
NM_152316|C11orf46|chr11|+	chr11:30358113-30360017	30358312	NA	0.68	0.58	0.40	0.31	NA	NA	NA	0.71	0.47	0.65	0.66	0.44	0.50	0.71	0.52	0.59	0.57	0.50	0.19	0.64	0.41	0.63
NM_207111|RNF216|chr7|-	chr7:5659663-5662810	5662388	0.25	0.56	0.57	0.50	0.29	NA	0.45	0.39	0.45	0.60	0.61	NA	0.30	0.33	NA	0.64	0.63	0.50	0.59	0.22	0.45	0.57	0.36
NR_024537|GSTM3|chr1|-	chr1:110279222-110279791	110279634	0.11	0.19	0.25	0.11	0.11	0.10	0.10	0.13	0.10	0.14	0.17	0.13	0.08	0.14	0.14	0.13	0.12	NA	0.09	0.15	0.13	0.11	0.12
NM_014991|WDFY3|chr4|-	chr4:85590686-85594144	85593487	0.54	NA	NA	0.39	0.30	0.34	NA	NA	NA	NA	0.63	0.56	0.33	0.24	0.45	0.38	0.50	0.61	NA	NA	0.32	0.29	0.66
NM_080391|PTP4A2|chr1|-	chr1:32373811-32374561	32374305	0.09	0.53	0.17	0.18	0.06	0.11	0.10	0.07	0.29	0.20	0.35	0.25	0.17	0.04	0.23	0.38	0.38	0.32	0.51	0.05	0.08	0.10	0.23
NM_006827|TMED10|chr14|-	chr14:75598149-75601709	75601019	0.10	0.38	0.32	0.37	0.05	0.26	0.11	0.10	0.37	0.25	0.20	0.30	0.22	0.06	0.38	0.36	0.29	0.42	0.23	0.26	0.09	0.21	0.29
NM_006321|ARIH2|chr3|+	chr3:49020631-49023467	49020857	0.27	0.79	0.66	0.41	0.51	0.37	0.76	0.65	0.65	0.42	0.52	0.62	0.55	0.43	0.58	0.50	0.49	0.75	0.42	0.29	0.51	0.47	0.62
NM_018697|LANCL2|chr7|+	chr7:55498918-55501741	55499163	0.49	NA	0.49	NA	0.24	0.17	0.28	0.29	NA	0.64	0.65	0.61	0.41	0.21	0.55	0.56	0.39	0.69	0.43	NA	0.26	0.21	0.43
NM_016531|KLF3|chr4|+	chr4:38698702-38702685	38699092	0.14	0.70	0.57	0.53	NA	NA	0.26	0.26	0.65	0.70	0.64	0.51	0.37	0.11	0.84	0.71	0.78	0.64	0.52	0.20	0.22	0.50	0.48
NM_001539|DNAJA1|chr9|+	chr9:33038682-33039896	33038960	0.38	0.37	0.42	0.30	0.26	0.58	0.28	0.30	0.29	0.27	0.31	0.29	0.21	0.31	0.34	0.29	0.30	0.38	0.40	0.16	0.37	0.29	0.37
