event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_002687|PNN|chr14|+	chr14:39649706-39652621	39651100	0.41	0.38	0.38	0.39	0.48	0.67	0.68	0.42	0.73	0.46	0.45	0.26	0.37	1.00	0.48	0.28	0.37	0.52	0.78	0.09	NA	0.70	0.94
NM_024102|WDR77|chr1|-	chr1:111982840-111984011	111983629	0.51	0.50	0.69	0.41	0.61	0.75	0.89	0.54	0.55	0.66	0.62	0.53	0.43	0.71	0.72	0.60	0.66	0.58	0.53	0.33	0.72	0.37	0.54
NM_030571|NDFIP1|chr5|+	chr5:141531295-141533987	141532314	0.26	0.32	0.22	0.15	0.11	0.12	0.16	0.31	0.24	0.24	0.19	0.26	0.16	0.16	0.15	0.16	0.18	0.26	0.15	NA	0.18	0.21	0.28
NM_016275|SELT|chr3|+	chr3:150345445-150348220	150346116	0.13	0.23	0.12	0.10	0.10	0.21	0.23	0.19	0.20	0.19	0.11	0.21	0.10	0.09	0.21	0.18	0.15	0.31	0.13	0.09	0.12	0.16	0.19
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978421	28975943	0.48	0.63	NA	0.38	0.72	NA	NA	NA	0.46	0.46	0.55	0.80	0.48	NA	0.67	0.58	0.70	0.79	0.40	NA	NA	0.22	0.44
NM_001076684|UBTF|chr17|-	chr17:42282401-42284735	42284542	0.28	0.43	0.38	0.38	0.48	0.76	0.54	0.30	0.38	0.27	0.46	0.33	0.24	0.42	0.61	0.36	0.42	0.47	0.44	0.12	0.43	0.38	0.61
NM_006191|PA2G4|chr12|+	chr12:56506606-56507685	56506875	0.21	0.44	0.33	0.26	0.09	0.14	0.15	0.15	0.33	0.25	0.44	0.25	0.22	0.19	0.26	0.29	0.27	0.26	0.41	0.10	0.18	0.17	0.26
NM_058243|BRD4|chr19|-	chr19:15346355-15349256	15347686	0.07	0.76	0.18	0.14	0.08	0.24	0.21	0.19	0.22	0.12	0.26	0.24	0.12	NA	0.15	0.14	0.18	0.27	0.27	0.14	0.18	0.13	0.26
NM_006888|CALM1|chr14|+	chr14:90871032-90874613	90871894	0.07	0.30	0.18	0.29	0.08	0.11	0.09	0.19	0.25	0.15	0.26	0.17	0.15	0.05	0.21	0.26	0.29	0.35	0.15	0.23	0.06	0.17	0.09
NM_001122681|SH3BP2|chr4|+	chr4:2835423-2842777	2835969	0.06	NA	0.13	0.31	0.06	0.09	0.07	0.07	0.36	0.21	0.15	0.23	0.18	0.05	0.16	0.15	0.18	0.16	0.25	0.04	0.06	0.12	0.16
NM_001100595|SKA2|chr17|-	chr17:57187310-57189706	57189468	0.40	0.77	0.49	0.72	0.43	0.50	0.33	NA	0.68	0.42	0.60	0.43	0.59	0.21	0.43	0.48	0.33	0.69	NA	NA	0.43	0.29	0.65
NM_004830|MED23|chr6|-	chr6:131907873-131908986	131908774	0.81	0.48	0.53	0.54	0.54	NA	0.94	0.30	0.60	0.64	0.86	0.72	NA	1.00	0.98	0.64	NA	0.56	NA	NA	NA	0.89	0.65
NM_176812|CHMP4B|chr20|+	chr20:32441301-32442160	32441459	0.51	0.48	0.37	0.43	0.46	0.53	0.55	0.39	0.43	0.31	0.28	0.34	0.39	0.39	0.31	0.26	0.32	0.45	0.54	0.38	0.40	0.31	0.78
NM_006675|TSPAN9|chr12|+	chr12:3392210-3395744	3392623	0.27	0.87	NA	0.65	NA	NA	NA	0.67	NA	NA	0.79	NA	0.51	0.30	NA	0.88	0.80	0.77	0.47	0.49	NA	0.57	0.66
NM_139062|CSNK1D|chr17|-	chr17:80200531-80202707	80202400	0.53	0.67	0.93	0.61	0.63	0.46	0.74	0.76	0.72	0.75	0.81	0.80	0.51	0.46	0.79	0.74	0.66	0.90	0.70	0.77	0.38	0.70	0.54
NM_003470|USP7|chr16|-	chr16:8985963-8987961	8986715	0.07	0.11	0.08	0.05	0.16	0.11	0.14	0.16	0.08	0.08	0.14	0.12	0.07	0.20	0.15	0.09	0.13	0.14	0.08	0.08	0.11	0.13	0.12
NM_002815|PSMD11|chr17|+	chr17:30807770-30809854	30807966	0.69	0.90	0.75	0.69	0.49	0.49	0.56	0.64	0.78	0.39	0.75	0.43	0.63	0.25	0.42	0.64	0.54	0.75	0.83	NA	0.52	0.27	0.72
NM_018091|ELP3|chr8|+	chr8:28047165-28048678	28047590	0.52	0.79	0.42	0.43	0.19	0.44	0.41	0.43	0.60	0.58	0.54	0.50	0.40	0.37	0.45	0.51	0.51	0.52	0.85	0.48	0.33	0.40	0.55
NM_145333|MAP3K7|chr6|-	chr6:91223289-91226400	91225525	0.28	0.44	0.47	0.17	NA	NA	NA	NA	0.34	0.30	0.32	0.33	NA	0.49	0.37	0.30	0.36	NA	0.26	NA	NA	0.22	0.31
NM_007275|TUSC2|chr3|-	chr3:50362335-50363617	50363467	0.38	0.76	0.50	0.54	0.16	0.37	0.31	0.35	0.54	0.40	0.55	0.62	0.33	0.28	0.59	0.56	0.51	0.56	0.44	0.24	0.43	0.40	0.51
NM_022731|NUCKS1|chr1|-	chr1:205682279-205687607	205687269	0.34	0.81	0.39	0.77	0.15	0.19	0.07	0.28	0.83	0.30	0.32	0.48	0.57	0.06	0.41	0.50	0.47	0.77	0.63	0.54	0.13	0.21	0.71
NM_017994|C7orf42|chr7|+	chr7:66420488-66423555	66421045	0.25	0.72	0.47	0.30	0.15	0.29	0.25	0.37	0.34	0.30	0.45	0.53	0.29	0.20	0.51	0.49	0.47	0.49	0.47	0.26	0.31	0.49	0.35
NM_015446|AHCTF1|chr1|-	chr1:247002413-247004300	247004089	NA	0.43	0.28	0.33	0.28	0.38	0.36	0.26	0.37	0.26	0.30	0.32	0.25	0.33	0.31	0.25	0.33	0.43	0.28	NA	0.25	0.32	0.42
NM_152902|TIPRL|chr1|+	chr1:168169140-168171354	168169339	0.09	0.77	0.39	0.32	0.13	0.29	0.33	0.20	0.40	0.30	0.33	0.31	0.23	0.09	0.22	0.39	0.23	0.44	0.22	0.20	0.18	0.19	0.33
NM_000629|IFNAR1|chr21|+	chr21:34727621-34734283	34728304	0.25	0.66	0.32	0.64	0.16	0.26	0.20	0.29	0.53	0.38	0.21	0.21	0.28	0.09	0.45	0.42	0.33	0.49	0.37	NA	0.22	0.17	0.27
NM_007158|CSDE1|chr1|-	chr1:115259532-115260837	115260673	0.85	0.73	0.62	0.61	0.69	0.93	0.92	0.51	0.71	0.66	0.65	0.61	0.41	0.82	0.84	0.65	0.64	0.82	0.98	0.21	0.78	0.56	0.89
NM_002721|PPP6C|chr9|-	chr9:127908910-127912200	127911436	0.16	0.33	0.14	0.20	0.14	0.13	0.19	0.16	0.20	0.21	0.19	0.25	0.22	0.18	0.19	0.17	0.20	0.32	0.14	0.12	0.10	0.15	0.15
NM_005262|GFER|chr16|+	chr16:2035866-2037715	2036083	0.18	0.48	0.36	0.40	0.10	0.25	0.08	0.21	0.54	0.56	0.84	0.52	0.31	0.22	0.31	0.39	0.35	0.33	0.49	0.31	0.11	0.37	0.43
NM_001080415|U2SURP|chr3|+	chr3:142775153-142779314	142775630	0.12	0.28	0.21	0.25	0.13	0.16	0.20	0.19	0.26	0.15	0.12	0.22	0.24	0.09	0.22	0.19	0.25	0.28	0.19	NA	0.16	0.10	0.18
NM_153029|N4BP1|chr16|-	chr16:48572631-48577172	48576649	NA	NA	0.15	0.39	NA	0.15	NA	NA	0.48	0.22	0.19	0.28	0.25	0.11	0.34	0.35	0.28	NA	0.31	NA	0.17	0.28	0.20
NM_033544|RCCD1|chr15|+	chr15:91504847-91506315	91505503	NA	0.28	0.33	0.13	0.24	NA	0.21	0.13	0.23	NA	0.24	NA	0.11	0.25	NA	0.17	0.20	0.23	NA	0.10	0.25	NA	NA
NM_030821|PLA2G12A|chr4|-	chr4:110631126-110635651	110635194	0.22	NA	0.22	0.28	0.21	NA	0.23	0.23	0.48	0.19	0.26	0.38	0.40	0.12	0.24	0.37	0.30	0.51	0.24	0.18	0.18	0.23	0.35
NM_001006617|MAPKAP1|chr9|-	chr9:128199681-128201291	128200816	0.24	0.88	0.56	0.48	0.22	0.33	0.55	0.60	0.69	0.30	0.42	0.43	0.32	0.23	0.37	0.41	0.42	0.52	0.45	0.64	0.40	0.28	0.68
NM_017489|TERF1|chr8|+	chr8:73958195-73959984	73958628	NA	0.66	0.45	0.67	0.41	NA	NA	0.48	0.66	0.35	0.43	0.49	NA	0.33	0.54	0.44	0.48	NA	0.51	NA	0.48	0.44	0.88
NM_001145547|RBM17|chr10|+	chr10:6157415-6158771	6157635	0.24	0.40	0.24	0.21	0.07	0.09	0.29	0.13	0.19	0.11	0.15	0.13	0.10	0.10	0.15	0.16	0.16	0.21	0.15	0.08	0.10	0.07	0.22
NM_021928|SPCS3|chr4|+	chr4:177249348-177253542	177249498	0.49	0.63	0.53	0.53	0.28	0.67	0.43	0.35	0.62	0.49	0.73	0.67	0.38	0.36	0.72	0.71	0.68	0.57	0.67	0.15	0.40	0.36	0.61
NM_005766|FARP1|chr13|+	chr13:99100489-99102022	99100639	0.72	0.58	0.36	0.39	0.50	0.45	0.44	0.43	0.55	0.36	0.61	0.52	0.44	0.32	0.48	0.49	0.61	0.43	0.34	0.19	0.45	0.32	0.38
NM_001033583|ACOT9|chrX|-	chrX:23719654-23722099	23721837	0.07	0.28	0.09	0.14	0.02	0.03	0.04	0.03	0.17	0.11	0.10	0.13	0.08	0.02	0.06	0.10	0.11	0.09	NA	0.05	0.02	0.04	0.06
NM_006802|SF3A3|chr1|-	chr1:38422644-38423935	38423700	0.34	0.71	0.50	0.50	0.63	0.61	0.67	0.60	0.68	0.47	0.51	0.37	0.42	0.27	0.45	0.43	0.45	0.70	0.39	0.47	0.70	0.24	0.55
NM_000232|SGCB|chr4|-	chr4:52886871-52890326	52890075	0.30	0.41	0.22	0.43	0.14	0.44	0.39	0.20	0.54	0.27	0.25	0.49	0.24	0.20	0.52	0.39	0.45	0.53	0.31	0.16	0.28	0.24	0.34
NM_015704|PPPDE2|chr22|-	chr22:41995044-41997194	41996952	0.13	0.58	0.30	0.31	0.04	0.05	0.05	0.10	0.22	0.35	0.23	0.19	0.24	0.04	0.12	0.34	0.19	0.23	0.21	NA	0.04	0.10	0.20
NM_001196|BID|chr22|-	chr22:18215649-18218357	18218191	0.29	0.28	0.17	0.18	NA	0.22	NA	0.23	0.23	0.24	0.29	NA	0.11	0.26	0.34	0.25	0.23	NA	0.34	0.11	0.22	0.13	0.23
NM_003601|SMARCA5|chr4|+	chr4:144474271-144475530	144474505	0.26	0.40	0.25	0.23	0.21	0.27	0.29	0.15	0.38	0.22	0.31	0.29	0.14	0.27	0.36	0.33	0.36	0.40	0.41	0.08	0.28	0.26	0.37
NM_001126|ADSS|chr1|-	chr1:244571799-244572940	244572294	0.89	0.44	0.46	0.43	0.95	0.83	1.00	0.55	0.46	0.46	0.52	0.42	NA	1.00	0.65	0.49	0.49	0.53	0.48	NA	1.00	0.56	0.72
NM_001098728|GTF2H2C|chr5|+	chr5:68887905-68891019	68888129	NA	0.58	0.15	0.17	0.09	0.09	0.10	NA	0.39	0.17	0.21	0.20	NA	0.04	0.08	0.18	0.20	0.18	NA	NA	0.07	0.05	0.11
NM_001142650|HNRPLL|chr2|-	chr2:38789122-38791379	38791225	0.25	0.24	0.11	0.13	0.09	0.13	0.13	0.10	0.23	0.28	0.22	0.16	0.07	0.14	0.21	0.17	0.21	0.24	0.15	NA	0.13	0.11	0.15
NM_152734|C6orf89|chr6|+	chr6:36891122-36896758	36892289	0.25	0.87	NA	0.45	0.18	NA	NA	0.28	0.48	0.42	0.45	0.58	0.42	0.21	0.44	0.60	0.53	0.61	0.33	0.40	NA	0.27	0.40
NM_032870|PNISR|chr6|-	chr6:99846225-99849506	99848419	0.40	NA	0.30	0.32	0.45	NA	0.67	0.35	0.39	0.27	0.35	0.27	NA	0.75	0.43	0.31	0.31	0.58	0.43	NA	0.58	0.30	0.62
NM_001171506|MCFD2|chr2|-	chr2:47128986-47132733	47132446	0.39	0.92	0.64	0.95	0.13	0.61	0.22	0.42	0.95	0.62	0.61	0.73	0.89	0.24	0.84	0.91	0.83	0.80	NA	0.49	0.21	0.53	0.66
NM_016474|C3orf19|chr3|+	chr3:14712402-14714454	14712638	0.42	0.58	0.56	NA	0.27	0.26	0.42	0.41	NA	0.30	0.51	0.51	NA	0.35	0.67	0.54	NA	0.54	NA	0.58	0.42	NA	0.41
NM_015344|LEPROTL1|chr8|+	chr8:29963261-29965575	29963478	0.56	0.49	0.32	0.38	0.12	0.44	0.26	0.23	0.47	0.41	0.43	0.47	0.20	0.16	0.46	0.39	0.41	0.45	0.44	0.19	0.22	0.24	0.40
NM_001777|CD47|chr3|-	chr3:107762202-107766139	107765961	0.10	0.37	0.10	0.14	0.04	0.10	0.07	0.08	0.17	0.15	0.14	0.17	0.11	0.02	0.09	0.13	0.18	0.22	0.12	0.10	0.03	0.04	0.15
NM_015969|MRPS17|chr7|+	chr7:56022601-56024193	56022900	0.32	0.29	0.26	0.33	0.19	0.25	0.21	0.20	0.28	0.23	0.27	0.22	0.20	0.25	0.24	0.28	0.16	0.19	0.38	0.25	0.16	0.16	0.25
NM_004383|CSK|chr15|+	chr15:75094671-75095539	75094987	1.00	0.77	0.73	0.77	0.91	1.00	1.00	0.89	0.85	0.60	0.95	0.83	0.71	1.00	0.96	0.87	0.87	0.96	0.93	0.58	1.00	0.89	0.99
NR_037926|SENP3-EIF4A1|chr17|+	chr17:7481659-7482325	7481889	0.29	0.37	0.47	0.41	0.30	0.47	0.31	0.23	0.49	0.30	0.77	0.50	0.26	0.37	0.50	0.55	0.71	0.44	0.64	0.10	0.31	0.50	0.44
NM_002056|GFPT1|chr2|-	chr2:69546926-69553365	69552439	0.33	NA	0.54	0.46	0.36	0.32	0.32	0.32	0.54	0.40	0.53	0.37	0.47	0.25	0.31	0.37	0.33	0.53	0.41	NA	0.20	0.27	0.32
NM_006660|CLPX|chr15|-	chr15:65440555-65443251	65442954	0.35	0.55	0.28	0.44	0.12	0.39	NA	NA	0.56	0.31	0.26	0.32	0.25	0.21	0.32	0.24	0.31	0.47	0.40	NA	0.30	0.28	0.65
NM_000671|ADH5|chr4|-	chr4:99992157-99993592	99993370	0.37	0.52	0.19	0.34	0.14	0.24	0.18	0.18	0.28	0.27	0.45	0.42	0.21	0.16	0.31	0.33	0.32	0.34	0.39	0.25	0.17	0.20	0.33
NM_001048210|CLCC1|chr1|-	chr1:109474496-109475123	109474973	0.75	0.79	0.39	0.74	0.53	NA	0.57	0.54	0.78	0.47	0.72	0.56	NA	0.88	0.67	0.68	0.60	0.50	0.66	0.40	0.64	0.57	0.82
NM_001282|AP2B1|chr17|+	chr17:34050643-34053433	34051047	0.43	0.95	0.86	0.82	0.47	0.46	0.57	0.50	0.90	0.88	0.94	0.87	0.83	0.35	0.76	0.89	0.92	0.85	0.91	0.60	0.52	0.46	0.75
NM_015295|SMCHD1|chr18|+	chr18:2802525-2805022	2803166	NA	0.60	0.56	0.38	NA	NA	NA	NA	NA	NA	0.40	0.42	NA	0.59	0.52	0.47	0.46	0.50	0.64	NA	0.55	0.52	NA
NM_021156|TMX4|chr20|-	chr20:7958001-7963268	7962092	NA	NA	0.26	0.31	0.17	0.25	0.21	0.16	NA	0.29	0.17	0.13	NA	NA	0.20	0.22	0.21	0.15	NA	0.09	0.21	0.21	0.55
NM_138496|CYHR1|chr8|-	chr8:145674947-145676153	145675388	NA	0.20	NA	0.18	0.69	NA	NA	0.52	0.20	0.25	0.33	0.40	0.15	0.86	0.40	0.34	0.30	0.36	NA	0.22	0.51	0.36	0.25
NM_002111|HTT|chr4|+	chr4:3241572-3245687	3242324	0.17	0.37	0.29	0.27	0.09	0.10	0.24	0.12	0.24	0.25	0.19	0.40	0.08	0.11	0.20	0.17	0.16	0.20	0.14	0.12	0.10	0.21	0.11
NM_016131|RAB10|chr2|+	chr2:26357806-26360398	26358043	0.60	0.76	0.57	0.65	0.41	0.51	0.44	0.57	0.73	0.46	0.69	0.66	0.51	0.27	0.71	0.56	0.61	0.89	0.71	0.42	0.36	0.40	0.69
NM_138991|BACE2|chr21|+	chr21:42647297-42651493	42648465	0.02	NA	0.04	0.13	0.02	0.02	0.04	0.01	NA	0.08	0.02	0.02	0.02	0.01	0.09	0.08	0.07	0.04	0.04	0.03	0.03	0.01	0.04
NM_004514|FOXK2|chr17|+	chr17:80559178-80563594	80560240	0.34	0.43	0.59	0.26	0.47	0.56	0.66	0.50	0.54	0.39	0.44	0.38	0.33	0.48	0.59	0.33	0.33	0.53	0.28	0.33	0.53	0.49	0.58
NM_001448|GPC4|chrX|-	chrX:132434154-132437097	132436519	0.37	NA	0.52	0.36	0.26	0.74	0.45	0.31	0.49	0.36	0.44	0.64	NA	NA	0.72	0.48	0.50	0.57	NA	0.22	0.44	NA	0.62
NM_080881|DBN1|chr5|-	chr5:176883609-176884504	176884080	0.66	0.44	0.59	0.47	0.76	1.00	0.85	0.53	0.51	0.52	0.60	0.58	0.35	1.00	0.78	0.60	0.56	0.44	0.72	0.10	0.91	0.74	0.84
NM_001110792|MECP2|chrX|-	chrX:153287102-153296901	153295757	0.09	0.30	0.19	0.37	NA	NA	NA	NA	NA	0.23	0.26	0.34	0.35	0.05	0.22	0.22	NA	NA	NA	NA	0.09	0.14	NA
NM_021159|RAP1GDS1|chr4|+	chr4:99363140-99365006	99363768	0.16	0.35	0.29	0.18	0.24	0.28	NA	0.28	0.25	0.22	0.19	0.33	0.22	0.28	0.47	0.27	0.35	0.36	NA	0.08	0.46	0.26	0.24
NM_001457|FLNB|chr3|+	chr3:58156301-58157982	58156460	0.69	0.95	0.66	0.72	0.19	0.44	0.67	0.49	0.86	0.72	0.75	0.69	0.42	0.24	0.65	0.70	0.72	0.78	0.94	0.25	0.50	0.48	0.79
NM_001207024|M6PR|chr12|-	chr12:9091890-9094536	9093025	0.63	0.42	0.36	0.36	1.00	0.60	0.85	0.54	0.13	0.47	0.22	0.39	0.15	1.00	0.46	0.23	0.13	0.17	0.32	0.20	0.89	0.22	0.41
NM_001001330|REEP3|chr10|+	chr10:65380572-65384638	65380722	0.15	NA	0.34	0.42	0.10	0.25	NA	0.29	0.63	0.42	0.49	0.33	0.44	0.12	0.41	0.51	0.49	0.63	NA	NA	0.24	0.06	0.48
NM_014178|STXBP6|chr14|-	chr14:25278759-25281938	25281751	0.17	0.70	0.25	0.29	0.10	0.16	0.16	0.14	0.41	0.24	0.28	0.32	0.19	0.05	0.26	0.32	0.24	NA	0.15	0.28	0.09	0.06	0.31
