event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_139281|WDR36|chr5|+	chr5:110462431-110466195	110465100	NA	NA	NA	0.58	NA	0.37	0.41	0.49	0.49	0.31	0.75	NA	0.50	0.54	0.53	0.47	0.75	0.36	0.47	0.43	0.42	0.44	0.79	0.50	NA	NA	0.66	0.40	0.23	NA	0.59	NA	NA	0.31	0.34	NA	0.54	0.54	0.39	NA	0.23	0.27	0.32
NM_001142466|GPT2|chr16|+	chr16:46962818-46965195	46963287	0.63	0.53	0.08	0.41	0.82	0.65	0.40	0.63	0.78	0.38	0.49	0.61	0.45	0.28	0.40	0.51	0.43	0.42	NA	0.60	0.78	0.42	0.61	0.61	0.59	0.35	0.57	0.54	0.50	0.67	0.75	0.88	0.50	0.48	0.60	0.43	0.61	0.38	0.55	0.61	0.54	0.63	0.47
NM_015035|ZHX3|chr20|-	chr20:39807099-39813841	39813515	NA	0.24	0.09	0.36	NA	NA	0.40	NA	NA	0.49	NA	0.41	0.37	NA	0.45	0.27	0.33	0.47	NA	0.36	NA	0.41	NA	NA	0.50	0.38	NA	NA	NA	0.23	0.53	0.24	NA	0.44	0.50	NA	0.42	0.40	NA	0.42	NA	NA	0.37
NM_001172436|PHKA1|chrX|-	chrX:71798693-71801025	71800615	0.24	0.16	0.10	NA	NA	0.52	0.26	0.31	NA	0.21	0.25	NA	0.17	0.43	0.25	0.21	0.27	0.26	NA	NA	NA	NA	0.25	0.28	NA	0.19	0.26	NA	0.31	NA	0.31	0.16	0.42	0.31	NA	0.41	0.22	0.29	NA	NA	NA	NA	0.19
NM_001196|BID|chr22|-	chr22:18216072-18218357	18218198	0.21	0.15	0.19	0.28	0.27	0.36	0.22	0.27	0.29	0.18	0.30	0.23	0.15	0.21	0.23	0.19	0.17	0.21	0.27	0.29	0.21	0.27	0.25	0.27	0.31	0.18	0.32	0.27	0.20	0.21	0.28	0.33	0.26	0.28	0.17	0.22	0.29	0.21	0.25	0.18	0.25	0.23	0.14
NR_027671|UGGT1|chr2|+	chr2:128947290-128953273	128950020	0.47	0.45	0.80	0.42	0.67	0.60	0.56	0.49	0.53	0.51	0.52	0.54	0.54	0.70	0.58	0.39	0.52	0.51	0.44	0.51	0.44	0.67	0.60	0.70	0.69	0.52	0.46	0.54	0.51	0.39	0.56	0.56	0.56	0.62	0.44	0.55	0.43	0.51	0.35	0.66	0.50	0.38	0.35
NM_145267|C6orf57|chr6|+	chr6:71298317-71299279	71298467	NA	0.75	0.89	NA	0.65	0.63	0.50	0.47	0.66	0.46	NA	0.66	0.50	NA	NA	0.73	0.42	NA	NA	NA	NA	NA	NA	NA	0.44	0.75	0.34	0.50	NA	0.50	0.70	0.77	0.72	0.69	NA	NA	0.35	0.61	NA	0.43	NA	0.41	0.42
NM_002395|ME1|chr6|-	chr6:83920128-83921813	83921634	0.41	0.34	0.44	0.53	0.47	NA	0.56	0.58	0.53	0.41	0.57	0.53	0.42	0.51	0.43	0.45	0.31	0.45	0.46	0.55	0.51	0.57	0.47	0.59	0.47	0.34	0.60	0.33	0.40	0.27	0.72	0.38	0.52	0.52	0.32	0.56	0.43	0.53	0.46	0.53	0.54	0.40	0.38
NM_019610|RBMXL1|chr1|-	chr1:89445133-89449749	89448290	0.35	0.45	NA	0.38	0.37	0.70	0.68	0.38	0.58	0.40	0.80	0.62	0.52	0.74	0.39	0.57	0.36	0.52	0.53	0.48	0.53	NA	0.74	0.45	0.64	0.51	0.43	0.51	0.37	0.50	0.62	0.57	0.63	0.80	0.42	NA	0.26	NA	0.46	0.40	0.52	0.34	0.40
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757123	67754490	0.25	0.27	NA	0.30	0.38	0.53	0.45	0.34	0.46	0.31	0.33	0.39	0.34	0.45	0.32	0.33	0.42	0.28	0.30	0.38	0.32	0.32	0.36	0.35	0.47	0.47	0.42	0.31	0.32	0.32	0.31	0.48	0.44	0.43	0.28	0.44	0.28	0.43	0.23	0.36	0.41	0.29	0.30
NM_012154|EIF2C2|chr8|-	chr8:141532263-141542251	141541853	0.21	0.27	0.04	0.55	0.61	0.62	0.46	0.46	0.16	0.32	0.48	0.54	0.34	NA	0.48	0.35	0.38	0.49	0.22	0.48	0.25	0.40	0.46	0.46	0.48	0.35	0.59	0.54	0.53	0.24	0.62	0.23	0.34	0.50	0.34	0.28	0.21	0.30	0.43	0.36	0.35	0.59	0.31
NM_032368|LZIC|chr1|-	chr1:9986364-9990515	9990332	0.33	0.29	0.07	0.39	0.61	0.58	0.42	0.51	0.43	0.47	0.52	0.43	0.51	0.47	0.46	0.30	0.33	0.32	0.45	0.50	0.43	0.49	0.44	0.46	0.44	0.36	0.43	0.42	0.41	0.33	0.62	0.45	0.60	0.52	0.41	0.40	0.44	0.35	0.40	0.39	0.50	0.44	0.40
NM_001110792|MECP2|chrX|-	chrX:153287011-153296901	153295793	0.20	0.21	0.03	0.27	0.36	0.38	0.22	0.27	0.11	0.23	0.27	0.37	0.18	0.16	0.27	0.15	0.28	0.16	0.18	0.27	0.20	0.26	0.22	0.19	0.37	0.35	0.19	0.26	0.44	0.18	0.43	0.14	0.24	0.25	0.29	0.17	0.29	0.20	0.33	0.24	0.22	0.37	0.24
NM_014155|ZBTB44|chr11|-	chr11:130096563-130104168	130103085	0.37	0.40	NA	0.51	NA	0.71	NA	NA	0.53	0.66	NA	0.58	NA	NA	0.48	0.53	0.40	NA	0.55	NA	0.36	NA	NA	0.45	NA	0.36	NA	0.44	NA	0.38	0.73	0.34	0.57	0.33	0.41	NA	0.68	NA	NA	0.47	0.51	0.69	NA
NM_006753|SURF6|chr9|-	chr9:136194077-136199184	136197885	0.05	0.05	0.08	0.03	0.07	0.15	0.10	0.04	0.11	0.04	0.11	0.06	0.06	0.06	0.05	0.04	0.22	0.05	0.06	0.13	0.03	0.11	0.04	0.24	0.08	0.09	0.09	0.13	0.05	0.10	0.05	0.24	0.07	0.08	0.10	0.16	0.09	0.05	0.05	0.06	0.09	0.05	0.07
NM_013302|EEF2K|chr16|+	chr16:22295207-22300043	22297921	0.32	0.21	NA	0.21	0.51	0.65	NA	0.65	0.77	0.35	0.34	0.27	0.30	0.47	0.27	0.25	0.22	0.35	0.64	0.46	0.43	0.40	0.69	0.40	0.46	0.25	0.51	0.24	0.34	0.32	0.55	0.49	0.48	0.25	0.38	NA	0.40	0.34	NA	0.43	0.32	0.27	0.38
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025808	29023845	0.27	0.28	NA	0.29	0.43	0.43	0.34	0.42	0.54	0.39	0.43	0.25	0.34	0.44	0.31	0.28	0.19	0.26	0.42	0.40	0.28	0.43	0.47	0.57	0.50	0.27	0.37	0.21	0.22	0.29	0.37	0.41	0.37	0.23	0.24	0.56	0.45	0.48	0.38	0.29	0.36	0.24	0.22
NM_004863|SPTLC2|chr14|-	chr14:77972322-77978746	77978485	0.23	0.22	0.02	0.45	0.46	0.49	0.42	0.42	0.43	0.44	0.50	0.44	0.18	0.31	0.36	0.23	0.20	0.44	0.42	0.49	0.32	0.46	0.53	0.31	0.51	0.20	0.43	0.35	0.50	0.24	0.52	0.15	0.39	0.35	0.30	0.26	0.37	0.24	0.34	0.24	0.48	0.50	0.29
NM_001895|CSNK2A1|chr20|-	chr20:461716-464720	463428	0.42	0.36	0.30	0.49	0.69	0.78	0.51	0.67	0.64	0.59	0.57	0.64	0.40	0.49	0.49	0.40	0.31	0.57	0.53	0.63	0.48	0.47	0.61	0.64	0.73	0.35	0.74	0.42	0.52	0.41	0.58	0.57	0.63	0.56	0.37	0.61	0.65	0.54	0.49	0.50	0.52	0.56	0.38
NM_174909|TMEM167A|chr5|-	chr5:82348645-82352973	82352605	0.37	0.37	0.14	0.37	0.51	0.49	0.39	0.47	0.23	0.46	0.54	0.51	0.30	0.47	0.54	0.33	0.28	0.25	0.34	0.56	0.45	0.50	0.46	0.51	0.66	0.36	0.46	0.41	0.33	0.33	0.55	0.33	0.41	0.59	0.35	0.37	0.36	0.44	0.38	0.36	0.49	0.40	0.28
NM_197960|DPP8|chr15|-	chr15:65734786-65739344	65739090	0.51	0.42	NA	0.66	0.69	0.76	0.59	0.74	0.64	0.58	0.63	0.68	0.55	0.58	0.55	NA	0.47	0.53	0.64	0.70	0.47	0.62	0.81	0.70	0.62	0.55	0.73	0.56	0.50	0.46	0.62	0.53	0.64	0.48	0.50	NA	0.63	0.61	0.50	0.60	0.60	0.54	0.50
NM_024755|SLTM|chr15|-	chr15:59171250-59172306	59171682	0.29	0.31	1.00	0.52	0.70	0.72	0.47	0.65	0.55	0.58	0.55	0.64	0.60	0.62	0.58	0.48	0.43	0.49	0.54	0.45	0.44	0.45	0.62	0.90	0.71	0.56	0.61	0.40	0.47	0.34	0.44	0.75	0.74	0.58	0.36	0.71	0.51	0.74	0.39	0.54	0.50	0.58	0.27
NM_080391|PTP4A2|chr1|-	chr1:32372027-32374561	32374304	0.30	0.21	0.03	0.28	0.46	0.51	0.29	0.50	0.38	0.38	0.41	0.41	0.24	0.28	0.31	0.24	0.24	0.32	0.39	0.55	0.27	0.39	0.39	0.32	0.43	0.31	0.50	0.37	0.33	0.33	0.45	0.25	0.37	0.33	0.28	0.32	0.39	0.29	0.38	0.26	0.40	0.40	0.30
NM_152793|C7orf41|chr7|+	chr7:30197053-30202389	30198030	0.16	0.32	0.10	0.34	NA	NA	0.39	NA	NA	NA	0.41	NA	NA	NA	NA	0.27	NA	0.25	0.29	0.60	NA	0.43	0.60	0.45	0.68	0.52	0.63	0.25	0.69	0.30	0.67	0.35	NA	0.80	NA	0.63	NA	0.68	0.29	0.34	NA	0.36	0.76
NM_004229|MED14|chrX|-	chrX:40508811-40511131	40510919	0.42	0.40	0.24	0.48	0.60	0.66	0.40	0.58	0.51	0.51	0.49	0.49	0.43	0.49	0.53	0.34	0.34	0.37	0.49	0.56	0.48	0.64	0.55	0.64	0.57	0.38	0.65	0.47	0.35	0.37	0.53	0.39	0.62	0.55	0.37	0.58	0.47	0.46	0.43	0.68	0.48	0.45	0.39
NM_018697|LANCL2|chr7|+	chr7:55498918-55501658	55499171	0.33	0.24	0.11	0.35	0.31	0.37	0.23	0.40	0.26	0.25	0.33	0.37	0.22	0.31	0.23	0.20	0.37	0.24	0.23	0.35	0.32	0.22	0.26	0.35	0.32	0.32	0.32	0.39	0.32	0.22	0.41	0.26	0.27	0.39	0.19	0.28	0.32	0.23	0.21	0.22	0.30	0.32	0.28
NM_001202470|RPS10-NUDT3|chr6|-	chr6:34247434-34256708	34256218	0.15	0.19	0.03	0.19	0.32	0.33	0.15	0.24	0.10	0.26	0.30	0.19	0.13	0.24	0.24	0.06	0.13	0.11	0.24	0.23	0.12	0.41	0.18	0.19	0.20	0.10	0.24	0.23	0.18	0.18	0.27	0.07	0.16	0.22	0.10	0.10	0.35	0.15	0.21	0.21	0.16	0.27	0.16
NM_016612|SLC25A37|chr8|+	chr8:23428847-23432979	23429629	0.29	NA	0.19	NA	NA	0.49	0.30	0.57	0.57	0.48	0.46	NA	0.27	0.50	0.27	0.27	NA	0.27	0.40	0.48	NA	NA	0.47	0.62	0.52	NA	0.30	NA	0.31	NA	0.49	0.37	0.24	0.37	0.31	0.52	0.41	0.44	0.48	0.30	NA	NA	0.30
NM_012117|CBX5|chr12|-	chr12:54624703-54635689	54635531	0.38	NA	0.04	0.67	0.70	0.77	0.47	0.56	0.24	0.43	NA	0.77	0.42	NA	0.58	0.40	0.43	0.52	NA	0.46	0.42	NA	0.59	0.44	0.50	0.45	0.65	0.65	0.62	0.47	0.60	0.33	0.47	0.74	0.36	NA	0.53	0.32	NA	0.53	0.49	0.60	0.45
NM_003198|TCEB3|chr1|+	chr1:24086001-24088549	24086246	0.32	0.34	0.11	0.58	0.68	0.62	0.46	0.46	0.41	0.47	0.49	0.59	0.46	0.46	0.44	0.39	0.43	0.47	0.35	0.60	0.43	0.45	0.45	0.46	0.59	0.45	0.51	0.47	0.44	0.33	0.52	0.48	0.55	0.53	0.25	0.48	0.49	0.40	0.44	0.40	0.56	0.62	0.39
NR_033393|TROVE2|chr1|+	chr1:193053708-193063829	193054555	0.27	0.24	NA	0.51	0.54	0.60	0.49	0.64	0.54	0.43	0.49	0.60	0.39	NA	0.42	0.41	0.23	0.45	0.45	0.49	0.26	NA	0.69	0.53	0.51	0.38	0.66	0.32	0.47	0.38	0.56	0.39	0.47	0.35	0.37	NA	0.43	0.39	0.46	0.39	0.52	0.55	0.29
NM_024300|CHCHD7|chr8|+	chr8:57129889-57131146	57130039	0.19	0.18	0.14	0.43	0.62	0.56	0.44	0.39	0.30	0.29	0.37	0.51	0.33	0.24	0.46	0.49	0.34	0.27	0.19	0.44	0.53	0.36	0.38	0.43	0.50	0.32	0.34	0.26	0.50	0.19	0.39	0.42	0.49	NA	0.37	0.43	0.32	0.52	0.22	0.16	0.48	0.49	0.25
NM_018279|TMEM19|chr12|+	chr12:72094611-72097851	72095354	0.65	0.51	NA	0.54	NA	0.63	0.51	0.58	0.55	0.50	0.53	0.50	0.54	0.51	0.49	0.71	0.33	NA	0.50	0.67	NA	NA	0.55	0.55	0.71	0.44	0.61	0.41	0.50	0.44	0.53	0.57	0.49	0.62	0.38	0.55	0.41	0.54	0.45	0.48	0.50	0.40	0.37
NM_003013|SFRP2|chr4|-	chr4:154701748-154702907	154702391	0.59	0.56	0.51	0.61	0.50	0.76	0.62	0.64	0.88	0.43	0.91	0.61	0.75	NA	0.63	0.53	0.59	0.69	0.69	0.59	0.63	0.65	0.69	0.70	0.51	0.62	0.52	0.54	0.53	0.67	0.55	0.74	0.81	0.60	0.67	0.70	0.62	0.89	0.57	0.66	0.64	0.57	0.47
NM_001162916|TYW3|chr1|+	chr1:75229577-75232351	75230036	NA	0.41	0.04	0.46	NA	0.67	0.37	NA	0.43	0.23	0.48	0.45	0.22	NA	0.34	0.34	0.42	0.35	0.49	0.42	0.49	NA	0.43	0.51	0.42	0.41	0.39	0.37	0.40	0.26	0.57	0.24	0.38	0.39	0.33	NA	0.42	0.35	0.51	0.35	0.53	NA	0.22
NM_012474|UCK2|chr1|+	chr1:165876920-165880831	165877275	0.19	0.11	0.03	0.28	0.45	0.46	0.25	0.31	0.13	0.20	0.26	0.23	0.19	0.26	0.24	0.19	0.18	0.20	0.13	0.16	0.30	0.24	0.29	0.36	0.28	0.16	0.32	0.24	0.29	0.14	0.29	0.12	0.14	0.28	0.29	0.21	0.34	0.24	0.16	0.25	0.21	0.33	0.20
NM_004804|CIAO1|chr2|+	chr2:96936848-96939877	96937180	0.31	0.26	0.06	0.28	0.48	0.60	0.25	0.25	0.39	0.30	0.30	0.45	0.22	0.37	0.40	0.22	0.48	0.24	0.27	0.48	0.37	0.26	0.30	0.57	0.35	0.25	0.24	0.37	0.26	0.29	0.29	0.31	0.42	0.36	0.21	0.31	0.36	0.22	0.32	0.26	0.44	0.31	0.24
NM_032334|UTP23|chr8|+	chr8:117783694-117786889	117784142	0.39	0.41	NA	0.56	NA	0.64	0.49	0.60	0.58	0.40	0.56	0.60	0.48	0.55	0.58	0.46	0.48	0.41	0.46	0.66	0.36	0.64	0.65	0.58	0.59	0.49	0.38	0.45	0.49	0.46	0.59	0.62	0.47	0.62	0.68	0.53	0.44	0.38	0.46	0.38	0.60	0.52	0.47
NM_005885|MARCH6|chr5|+	chr5:10433705-10437972	10433922	0.22	0.28	0.08	0.30	0.58	0.53	0.32	0.33	0.27	0.31	0.30	0.36	0.25	0.38	0.25	0.23	0.28	0.29	0.28	0.44	0.22	0.40	0.41	0.39	0.38	0.29	0.50	0.39	0.29	0.18	0.36	0.29	0.37	0.39	0.22	0.29	0.23	0.24	0.26	0.34	0.39	0.33	0.19
NM_020726|NLN|chr5|+	chr5:65118608-65120738	65118819	0.30	0.29	0.19	0.51	0.62	0.62	0.55	0.58	0.52	0.52	0.63	0.54	0.45	0.43	0.48	0.39	0.31	0.46	0.37	0.59	0.45	0.52	0.67	0.57	0.59	0.51	0.72	0.34	0.41	0.36	0.67	0.48	0.40	0.54	0.40	0.68	0.47	0.57	0.46	0.34	0.46	0.48	0.35
NM_024632|SAP30L|chr5|+	chr5:153835459-153840596	153835656	0.16	0.15	0.01	0.23	0.34	0.42	0.13	0.15	0.13	0.19	0.20	0.34	0.15	0.26	0.19	0.11	0.25	0.16	0.18	0.20	0.14	0.28	0.20	0.25	0.26	0.17	0.20	0.27	0.30	0.18	0.20	0.12	0.26	0.35	0.25	0.11	0.36	0.14	0.21	0.19	0.31	0.28	0.15
NM_001146273|TMEM64|chr8|-	chr8:91634224-91638090	91635951	NA	0.31	NA	0.31	NA	0.42	0.37	0.44	NA	0.28	0.40	0.37	NA	0.39	0.35	0.36	0.33	NA	0.31	0.35	0.22	0.36	0.44	0.45	0.41	0.56	0.57	0.27	0.41	0.25	0.36	0.52	NA	NA	0.29	0.52	0.29	0.40	NA	0.52	0.33	0.29	0.25
NM_024594|PANK3|chr5|-	chr5:167975492-167984626	167984016	0.26	0.46	0.08	0.49	0.52	0.79	0.41	0.82	0.25	0.37	0.48	0.74	0.42	0.40	0.47	0.35	0.33	0.46	0.38	0.63	0.66	0.44	0.49	0.57	0.68	0.36	0.68	0.44	0.51	0.38	0.67	0.33	0.44	0.41	0.20	0.30	0.46	0.47	0.45	0.34	0.50	0.60	0.24
NM_018319|TDP1|chr14|+	chr14:90509413-90511098	90509611	0.23	0.13	0.08	0.31	0.38	0.50	0.34	0.38	0.30	0.28	0.46	0.41	0.32	0.41	0.36	0.20	0.23	0.32	0.28	0.35	0.35	0.31	0.28	0.33	0.38	0.26	0.38	NA	0.32	0.19	0.38	NA	NA	NA	0.24	0.30	0.35	0.32	0.30	0.19	NA	0.54	0.22
NM_015459|ATL3|chr11|-	chr11:63391537-63396877	63396649	0.23	0.21	0.02	0.56	0.64	0.62	0.44	0.51	0.30	0.24	0.52	0.59	0.29	0.37	0.33	0.36	0.46	0.33	0.36	0.47	0.35	0.39	0.48	0.46	0.40	0.44	0.52	0.45	0.47	0.25	0.47	0.31	0.41	0.56	0.49	0.40	0.42	0.30	0.36	0.37	0.48	0.46	0.35
NM_001255976|PMEPA1|chr20|-	chr20:56223446-56227654	56227078	0.31	NA	0.40	0.95	0.50	0.64	0.38	0.72	0.63	0.79	0.91	0.72	0.49	NA	0.48	0.40	0.63	0.49	0.55	0.54	0.37	0.96	0.76	0.86	0.66	0.55	0.56	0.53	0.37	0.75	0.68	0.64	0.46	0.54	0.50	0.67	0.66	0.59	0.89	0.63	0.45	0.60	0.39
NM_004805|POLR2D|chr2|-	chr2:128601132-128605759	128604273	0.22	0.23	NA	0.17	0.26	0.31	0.20	0.29	0.34	0.13	0.38	0.21	0.22	0.25	0.25	0.26	0.33	0.13	0.29	0.27	0.22	0.28	0.40	0.39	0.27	0.23	0.30	0.19	0.27	0.26	0.29	0.50	0.26	0.41	0.30	0.33	0.25	0.20	0.23	0.14	0.34	0.22	0.21
NM_001097620|TMEM184A|chr7|-	chr7:1585885-1586817	1586271	NA	0.72	NA	0.59	0.65	NA	0.72	0.70	NA	0.51	0.84	0.68	0.77	0.62	0.63	0.66	NA	0.51	NA	NA	NA	0.55	0.66	0.83	0.80	0.79	0.59	0.75	NA	0.64	0.62	NA	0.92	0.70	0.80	0.66	0.65	0.79	0.41	0.66	0.56	NA	0.93
NM_015412|C3orf17|chr3|-	chr3:112723756-112724851	112724249	0.95	0.88	NA	0.80	0.86	0.84	0.79	0.87	0.94	0.72	0.98	0.77	0.93	1.00	0.91	0.98	0.89	0.83	0.90	0.92	0.85	0.85	0.99	0.91	0.87	0.90	0.87	0.78	0.78	0.89	0.86	0.94	0.89	0.84	0.96	0.97	0.88	0.92	0.92	0.87	0.89	0.80	0.78
