event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_017994|C7orf42|chr7|+	chr7:66420488-66423534	66421045	0.58	0.44	0.40	0.22	0.54	0.42	0.23	0.26	0.40	0.34	0.57	0.70	0.41	0.55	0.64	0.54	0.58	0.40	0.38	0.27	0.35
NM_014346|TBC1D22A|chr22|+	chr22:47569140-47571341	47569683	0.44	0.19	0.27	0.17	0.17	0.31	0.19	0.17	NA	0.15	0.22	0.29	0.22	0.30	0.32	0.23	0.22	0.25	0.29	0.19	0.15
NM_152902|TIPRL|chr1|+	chr1:168169140-168171346	168169343	0.56	0.19	0.20	0.11	0.22	0.24	0.27	0.24	0.39	0.39	0.42	0.41	0.32	0.46	0.58	0.36	0.36	0.28	0.29	0.24	0.25
NM_005262|GFER|chr16|+	chr16:2035866-2037692	2036085	0.46	0.30	0.59	0.18	0.32	0.46	0.44	0.47	NA	0.37	0.39	0.57	0.30	0.34	0.49	0.34	0.42	0.38	0.40	0.42	0.36
NM_000088|COL1A1|chr17|-	chr17:48262478-48263009	48262784	0.50	0.58	0.60	0.52	0.57	0.49	0.57	0.56	1.00	0.56	0.59	0.63	0.54	0.62	0.45	0.55	0.49	0.56	0.57	0.57	0.61
NM_001253912|TBC1D1|chr4|+	chr4:38138755-38140782	38139207	0.16	0.14	0.08	0.05	0.10	0.08	0.16	0.15	NA	0.06	0.11	0.11	0.12	0.18	0.14	0.15	0.17	0.09	0.15	0.11	0.12
NM_030821|PLA2G12A|chr4|-	chr4:110630821-110635651	110635196	0.54	0.35	0.22	0.13	0.39	0.47	0.40	0.31	NA	0.29	0.42	0.36	0.29	0.41	0.55	0.46	0.51	0.26	NA	0.36	0.37
NM_017489|TERF1|chr8|+	chr8:73958195-73960106	73958418	0.55	0.45	0.40	0.33	0.66	0.40	0.57	0.50	NA	0.42	0.45	0.41	0.56	0.45	0.50	0.42	0.48	0.44	0.51	0.36	0.51
NM_001145547|RBM17|chr10|+	chr10:6157415-6158745	6157634	0.21	0.09	0.11	0.07	0.08	0.10	0.18	0.10	NA	0.09	0.18	0.24	0.16	0.23	0.28	0.17	0.16	0.10	0.15	0.09	0.10
NM_183235|RAB27A|chr15|-	chr15:55495155-55497903	55497634	0.54	0.27	0.16	0.21	0.50	0.53	0.29	0.35	NA	0.48	0.46	0.35	0.47	0.43	0.60	0.46	0.33	0.43	0.44	0.43	0.45
NM_005766|FARP1|chr13|+	chr13:99100489-99102678	99101987	0.04	0.04	0.03	0.10	0.03	0.04	0.12	0.03	NA	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	0.03	NA	0.03	0.03
NM_001145646|APH1B|chr15|+	chr15:63597812-63601333	63598070	NA	NA	0.29	0.05	0.19	0.29	0.37	0.21	NA	0.16	0.35	NA	NA	NA	0.49	NA	0.25	0.16	NA	0.32	0.26
NM_000232|SGCB|chr4|-	chr4:52886873-52890326	52890073	NA	0.32	0.24	0.10	0.43	0.48	0.38	0.45	NA	0.32	0.40	0.35	0.48	0.46	0.55	0.43	NA	0.33	NA	NA	0.44
NM_015704|PPPDE2|chr22|-	chr22:41993901-41997194	41996942	0.53	0.33	0.31	0.13	0.24	0.38	0.38	0.35	NA	0.30	0.28	0.63	0.30	0.45	0.49	0.45	0.31	0.22	0.43	0.48	0.23
NM_001196|BID|chr22|-	chr22:18216347-18218357	18218186	0.35	0.26	0.11	0.28	0.31	0.27	0.32	0.27	0.33	0.14	0.30	0.41	0.24	0.32	0.44	0.23	0.22	0.26	0.33	0.20	0.21
NM_152734|C6orf89|chr6|+	chr6:36891122-36896755	36892289	0.72	0.45	0.37	0.20	0.29	0.51	0.51	0.36	NA	0.36	0.45	0.69	0.56	0.72	0.64	0.52	0.42	0.25	0.62	0.38	0.34
NM_015344|LEPROTL1|chr8|+	chr8:29963261-29965701	29963478	0.45	0.32	0.34	0.13	0.39	0.42	0.32	0.43	NA	0.28	0.51	0.70	0.36	0.49	0.46	0.45	0.44	0.31	0.45	0.36	0.41
NM_001777|CD47|chr3|-	chr3:107762185-107766139	107765961	0.22	0.08	0.08	0.01	0.08	0.11	0.20	0.19	0.36	0.09	0.18	0.24	0.11	0.21	0.18	0.19	0.13	0.06	0.14	0.12	0.09
NM_015969|MRPS17|chr7|+	chr7:56022601-56024180	56022901	0.26	0.13	0.13	0.08	0.13	0.16	0.13	0.12	NA	0.10	0.17	0.35	0.19	0.21	0.29	0.14	0.17	0.16	0.19	0.11	0.16
NR_040722|RBM39|chr20|-	chr20:34291168-34292503	34292314	0.44	0.36	0.33	0.62	0.59	0.56	0.40	0.40	0.73	0.30	0.51	0.58	0.58	0.52	0.52	0.48	0.56	0.41	0.50	0.39	0.45
NM_002056|GFPT1|chr2|-	chr2:69546837-69553365	69552522	0.45	0.23	0.24	0.25	0.31	0.47	0.40	0.45	0.43	0.25	0.28	0.68	0.20	0.34	0.42	0.34	0.35	0.33	0.37	0.41	0.31
NM_000671|ADH5|chr4|-	chr4:99992103-99993592	99993365	0.44	0.25	0.18	0.07	0.33	0.22	0.27	0.31	0.39	0.23	0.34	0.50	0.32	0.35	0.38	0.29	0.27	0.28	0.24	0.27	0.25
NM_001127400|YPEL5|chr2|+	chr2:30381484-30383409	30382373	0.56	0.46	0.44	0.74	0.66	0.59	0.42	0.45	0.87	0.58	0.46	0.67	0.58	0.42	0.50	0.54	0.67	0.62	0.41	0.40	0.64
NM_153207|AEBP2|chr12|+	chr12:19671020-19675599	19673122	0.34	0.27	NA	NA	NA	0.39	0.47	0.39	0.66	0.49	0.39	NA	0.58	0.33	0.30	0.40	0.27	0.46	NA	0.34	NA
NM_002111|HTT|chr4|+	chr4:3241572-3245681	3242336	0.27	0.19	0.17	0.05	0.11	0.14	NA	0.12	NA	0.09	0.13	0.52	0.11	0.27	0.22	0.26	0.13	0.12	0.22	0.12	0.10
NM_003971|SPAG9|chr17|-	chr17:49039514-49043748	49043047	0.44	0.25	0.20	NA	0.39	0.39	0.46	0.31	0.52	0.27	0.39	0.44	0.35	0.42	0.48	0.40	0.38	0.28	0.52	0.36	0.36
NM_001195214|YIPF6|chrX|+	chrX:67751722-67757224	67754490	0.55	0.33	0.42	NA	0.68	0.58	0.19	0.29	0.37	0.37	0.57	NA	0.51	0.58	0.63	0.45	0.42	0.34	0.40	0.21	NA
NM_005793|NME6|chr3|-	chr3:48331765-48336293	48335529	0.54	0.36	0.48	0.06	0.21	0.24	0.47	0.40	NA	0.19	0.29	0.55	0.22	0.33	0.45	0.26	0.27	0.22	0.52	0.21	0.12
NM_032368|LZIC|chr1|-	chr1:9986347-9990515	9990332	0.63	0.36	0.45	0.19	0.30	0.54	0.34	0.44	NA	0.41	0.53	0.57	0.33	0.67	0.75	0.50	0.50	0.31	0.57	0.43	0.41
NM_001254748|RGS5|chr1|-	chr1:163112079-163117293	163115729	0.49	0.33	NA	NA	0.59	0.59	0.47	0.49	0.61	NA	0.62	0.31	0.45	NA	0.68	0.32	0.47	0.61	0.58	NA	0.53
NM_002490|NDUFA6|chr22|-	chr22:42481536-42482318	42482150	0.25	0.20	0.19	0.14	0.25	0.20	0.17	0.19	0.34	0.15	0.27	0.47	0.21	0.26	0.29	0.16	0.14	0.24	0.23	0.18	0.21
NM_001110792|MECP2|chrX|-	chrX:153287111-153296901	153295788	0.54	0.22	0.17	0.02	0.09	0.18	0.20	0.12	NA	0.05	0.18	0.24	0.20	0.43	0.32	0.19	0.24	0.18	0.34	0.24	0.13
NM_006753|SURF6|chr9|-	chr9:136194386-136199184	136197870	0.08	0.20	0.07	0.31	0.10	0.25	NA	0.09	NA	0.05	0.31	0.30	0.32	0.10	0.10	0.07	0.23	0.09	0.10	0.13	0.10
NM_144498|OSBPL2|chr20|+	chr20:60868840-60871305	60869910	0.45	0.45	0.54	0.70	0.46	0.50	0.27	0.20	0.29	0.55	0.52	0.57	0.48	0.51	0.59	0.42	0.34	0.39	0.54	0.29	0.50
NM_194261|UBE2I|chr16|+	chr16:1374730-1376171	1375281	0.09	0.05	0.08	0.16	0.07	0.08	0.06	0.07	NA	0.04	0.07	0.07	0.08	0.07	0.22	0.07	0.05	0.05	0.10	0.05	0.05
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025832	29023855	0.66	0.34	0.47	0.89	0.54	0.54	0.32	0.41	0.41	0.91	0.54	0.47	0.63	0.49	0.66	0.55	0.50	0.70	0.43	0.40	0.82
NM_001895|CSNK2A1|chr20|-	chr20:461110-464720	463426	0.63	0.40	0.60	0.80	0.64	0.65	0.44	0.49	0.67	0.56	0.67	0.65	0.69	0.58	0.69	0.68	0.69	0.86	0.65	0.51	0.64
NM_174909|TMEM167A|chr5|-	chr5:82347658-82352973	82352605	0.66	0.28	0.33	0.33	0.46	0.58	0.48	0.50	0.47	0.39	0.49	0.46	0.40	0.56	0.53	0.60	0.53	0.39	0.47	0.51	0.56
NM_001204880|UBE2D1|chr10|+	chr10:60128479-60132178	60129300	0.14	0.09	0.07	NA	0.10	0.10	0.15	0.10	0.26	0.08	0.11	0.08	0.11	0.13	0.11	0.12	0.17	0.09	0.06	0.10	0.13
NM_024755|SLTM|chr15|-	chr15:59171241-59172306	59171682	0.78	0.63	0.58	1.00	0.68	0.71	0.64	0.54	NA	0.76	0.79	0.46	0.89	0.68	0.81	0.80	0.85	0.90	0.60	0.54	0.93
NM_002883|RANGAP1|chr22|-	chr22:41641549-41642676	41642526	0.96	0.96	0.98	0.98	0.97	0.98	0.93	0.97	NA	0.96	0.97	0.98	0.96	0.95	0.97	0.94	0.97	0.98	0.95	0.96	0.97
NM_000255|MUT|chr6|-	chr6:49398088-49399569	49399168	0.39	0.20	0.16	NA	0.50	0.25	NA	0.27	NA	0.27	0.34	0.36	0.35	0.36	0.38	0.26	0.28	0.26	0.30	0.26	0.41
NM_001184790|PARD3|chr10|-	chr10:34398488-34400490	34400169	0.49	0.46	0.31	0.24	0.37	0.33	0.54	0.44	NA	0.28	0.56	0.81	0.52	0.72	0.58	0.57	NA	0.33	0.36	NA	0.51
NM_001142805|SLC6A8|chrX|+	chrX:152960528-152962658	152961981	0.06	0.07	0.06	0.24	NA	0.12	0.13	0.07	0.21	0.07	NA	0.08	0.13	0.05	0.20	0.05	0.11	0.24	0.08	0.08	0.07
NM_003403|YY1|chr14|+	chr14:100743754-100749131	100744880	0.45	0.27	0.12	0.49	0.10	0.23	0.21	0.20	0.28	0.15	0.15	0.25	0.24	0.37	0.32	0.27	0.27	0.18	0.30	0.30	0.17
NM_004805|POLR2D|chr2|-	chr2:128601108-128605759	128604263	0.28	0.34	0.29	NA	0.34	0.30	0.26	0.26	NA	0.22	0.45	0.77	0.21	0.30	0.43	0.30	0.22	0.35	0.41	0.19	0.25
NM_014965|TRAK1|chr3|+	chr3:42251258-42258616	42254050	0.18	0.06	0.06	0.03	0.06	0.12	0.20	0.09	NA	0.03	0.07	NA	NA	0.14	0.05	0.03	0.06	0.12	NA	0.13	0.03
NM_006449|CDC42EP3|chr2|-	chr2:37869056-37873965	37872363	0.35	0.45	0.24	NA	0.41	0.40	0.28	0.26	NA	0.25	0.44	0.57	0.31	0.29	0.37	0.44	0.43	0.38	0.42	0.40	0.42
NR_024537|GSTM3|chr1|-	chr1:110278809-110279791	110279635	0.11	0.10	0.11	0.05	0.10	0.14	0.26	0.18	0.30	0.09	0.08	0.11	0.07	0.09	0.17	0.07	0.11	0.09	0.13	0.09	0.09
NM_014991|WDFY3|chr4|-	chr4:85590671-85594144	85593639	0.66	0.48	0.32	NA	0.52	0.61	0.32	0.47	NA	0.38	0.57	0.46	0.43	0.59	0.60	0.49	0.62	0.55	0.47	0.48	0.47
NM_020696|KIAA1143|chr3|-	chr3:44790223-44795044	44794797	0.62	0.36	0.14	0.07	0.30	0.37	0.56	0.48	NA	0.28	0.45	0.44	0.43	0.63	0.65	0.57	0.50	0.32	0.52	0.36	0.38
NM_015630|EPC2|chr2|+	chr2:149543873-149546218	149545078	0.66	NA	0.57	NA	0.72	0.62	NA	0.35	NA	NA	0.51	0.32	0.61	0.34	0.58	0.57	0.67	0.54	0.48	0.44	0.67
NM_080391|PTP4A2|chr1|-	chr1:32372021-32374561	32374304	0.62	0.29	0.16	0.10	0.25	0.33	0.37	0.38	0.47	0.33	0.34	0.52	0.37	0.45	0.57	0.40	0.45	0.30	0.34	0.29	0.28
NM_032783|CBR4|chr4|-	chr4:169908427-169911479	169911260	NA	0.37	0.30	0.16	0.49	0.48	NA	NA	NA	NA	0.57	0.47	0.50	0.48	0.60	0.58	0.48	NA	0.42	0.50	0.36
NM_006827|TMED10|chr14|-	chr14:75598151-75601709	75601023	0.40	0.27	0.23	0.11	0.26	0.38	0.37	0.41	0.55	0.27	0.43	0.26	0.37	0.48	0.51	0.47	0.41	0.19	0.44	0.35	0.31
NM_006321|ARIH2|chr3|+	chr3:49020631-49023271	49020834	0.68	0.45	0.32	0.71	0.49	0.72	0.41	0.43	NA	0.51	0.60	0.66	0.68	0.64	0.75	0.64	0.62	0.55	0.62	0.40	0.56
NM_018697|LANCL2|chr7|+	chr7:55498918-55501621	55499184	0.46	0.23	0.21	0.12	0.23	0.38	NA	NA	NA	0.12	0.43	0.66	0.22	0.38	0.49	0.34	0.29	0.24	0.31	0.20	0.25
NM_016531|KLF3|chr4|+	chr4:38698702-38702822	38699093	0.71	0.68	0.57	0.28	0.58	0.70	1.00	0.55	NA	0.26	0.77	0.58	0.75	0.58	0.87	0.84	0.84	0.56	0.81	0.71	0.64
NM_001202470|RPS10-NUDT3|chr6|-	chr6:34247430-34256708	34256216	0.46	0.16	0.08	0.03	0.09	0.18	0.30	0.13	0.61	0.09	0.10	0.11	0.17	0.31	0.19	0.21	0.31	0.13	0.22	0.24	0.07
NM_001042663|PLEKHG5|chr1|-	chr1:6526256-6527632	6527238	0.61	0.23	0.28	0.12	0.17	0.50	NA	0.61	NA	0.27	0.22	0.18	0.27	0.24	0.33	0.25	0.30	0.46	0.52	0.49	0.21
NM_001198954|RNF103-CHMP3|chr2|-	chr2:86729466-86733072	86730639	0.09	0.06	0.05	0.17	0.10	0.08	0.07	0.07	0.23	0.05	0.08	0.14	0.08	0.10	0.10	0.06	0.07	0.09	0.07	0.08	0.10
NM_153188|TNPO1|chr5|+	chr5:72204535-72210237	72206129	0.60	0.51	0.23	0.18	0.40	0.62	0.60	0.53	0.76	0.45	0.56	0.25	0.38	0.46	0.65	0.47	0.76	0.45	0.64	0.37	0.35
NM_199072|MDFIC|chr7|+	chr7:114655741-114659955	114658757	0.21	0.26	NA	NA	0.50	0.20	0.19	0.25	0.27	0.43	0.38	0.43	0.33	0.30	0.22	0.25	0.24	0.33	0.17	0.19	0.50
NM_024300|CHCHD7|chr8|+	chr8:57129889-57131152	57130039	0.74	0.35	0.24	0.31	0.54	0.73	0.28	0.32	NA	0.53	0.33	0.62	0.43	0.31	0.68	0.38	0.53	0.40	0.50	0.42	0.42
NM_018128|TSR1|chr17|-	chr17:2225562-2227668	2227392	0.58	0.34	0.16	0.32	0.39	0.49	0.53	0.47	0.72	0.42	0.55	0.28	0.51	0.42	0.73	0.46	0.51	0.34	0.43	0.42	0.43
NM_012081|ELL2|chr5|-	chr5:95220597-95224691	95223185	0.64	0.16	0.22	NA	0.29	NA	0.36	0.24	0.61	0.27	0.43	NA	0.43	0.43	0.53	0.44	NA	0.29	0.52	0.22	0.42
NM_012218|ILF3|chr19|+	chr19:10799854-10803161	10800443	0.46	0.46	0.44	0.49	0.32	0.58	0.56	0.34	0.89	0.37	0.36	0.39	0.31	0.37	0.56	0.43	0.32	0.41	0.55	0.29	0.42
NM_022662|ANAPC1|chr2|-	chr2:112525232-112526983	112526711	0.21	0.12	0.18	0.11	0.29	0.21	0.14	0.11	NA	0.09	0.15	0.31	0.20	0.27	0.26	0.22	0.11	0.10	0.31	0.15	0.20
NM_024529|CDC73|chr1|+	chr1:193219805-193224088	193219980	0.45	0.29	0.30	0.30	0.39	0.33	0.45	0.43	0.65	0.32	0.34	0.38	0.39	0.40	0.47	0.47	0.33	0.29	0.44	0.36	0.52
NM_002265|KPNB1|chr17|+	chr17:45759769-45762759	45760955	0.26	0.21	0.08	0.30	0.25	0.23	0.34	0.34	0.84	0.18	0.27	0.27	0.18	0.28	0.33	0.29	0.24	0.32	0.19	0.18	0.29
NM_003079|SMARCE1|chr17|-	chr17:38783758-38785245	38785053	0.42	0.30	0.18	0.19	0.52	0.35	0.54	0.40	1.00	0.26	0.49	0.47	0.52	0.41	0.50	0.43	0.36	0.59	0.43	0.45	0.40
NM_005034|POLR2K|chr8|+	chr8:101165521-101166232	101165708	0.41	0.32	0.26	0.67	0.51	0.45	0.37	0.40	0.51	0.45	0.42	0.46	0.50	0.46	0.50	0.42	0.41	0.47	0.35	0.36	0.44
NM_007212|RNF2|chr1|+	chr1:185069331-185072962	185071284	0.04	0.03	0.03	NA	0.07	0.04	0.04	0.03	0.12	0.01	0.02	0.08	0.05	0.06	0.02	0.03	0.02	0.04	0.03	0.03	0.05
NM_152388|TMEM237|chr2|-	chr2:202484946-202489045	202488571	0.43	0.12	0.05	0.04	0.08	0.24	NA	NA	NA	0.07	0.16	0.09	0.17	0.20	NA	0.20	0.19	0.08	0.32	0.13	0.07
NM_015396|ARMC8|chr3|+	chr3:138014700-138017211	138015190	0.25	0.21	0.26	0.26	0.29	0.26	NA	0.20	NA	0.20	0.25	0.22	0.22	0.25	0.38	0.32	0.31	0.19	0.33	0.17	0.27
NM_001105544|ECHDC1|chr6|-	chr6:127609780-127611422	127611036	0.71	0.56	0.33	0.42	0.70	0.37	0.54	0.60	NA	0.40	0.58	0.66	0.68	0.64	0.69	0.53	0.52	0.60	0.69	0.49	0.70
NM_006218|PIK3CA|chr3|+	chr3:178951881-178958938	178952591	0.33	0.22	0.16	0.14	0.34	0.22	0.17	0.23	NA	0.15	0.25	0.24	0.28	0.25	0.35	0.26	0.35	0.17	0.23	0.23	0.27
NM_021244|RRAGD|chr6|-	chr6:90074712-90077926	90077680	0.26	NA	0.11	0.02	0.16	NA	NA	0.16	NA	NA	0.17	0.18	0.18	NA	NA	NA	0.16	0.08	0.24	0.17	0.13
NM_012207|HNRNPH3|chr10|+	chr10:70101734-70102965	70101960	0.51	0.22	0.36	0.55	0.59	0.33	NA	0.34	NA	0.39	0.57	0.48	0.66	0.48	0.75	0.51	0.41	0.41	0.55	0.33	0.46
NM_001162916|TYW3|chr1|+	chr1:75229577-75232346	75230045	0.54	0.47	0.20	0.17	0.43	0.43	NA	NA	NA	NA	0.39	0.39	0.39	0.48	0.61	0.52	NA	0.28	0.60	0.31	0.30
NM_170665|ATP2A2|chr12|+	chr12:110784005-110788889	110784977	0.23	0.13	0.06	0.08	0.09	0.12	0.33	0.10	0.27	0.09	0.12	0.10	0.11	0.19	0.23	0.20	0.14	0.11	0.19	0.12	0.11
