event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_139062|CSNK1D|chr17|-	chr17:80200483-80202707	80202408	0.70	0.72	0.55	0.58	0.50	0.52	0.61	0.69	0.49	0.57	0.51	0.46	0.50	0.62	0.73	0.46	0.70	0.59	0.59	0.63	0.39	0.75	0.63	0.63	0.51	0.47	0.64	0.59	0.60	0.62	0.73	0.54	0.38	0.64	0.57	0.56	0.72	0.61	0.61	0.68	0.74	0.50	0.66	0.40	0.59	0.59	0.56	0.70	0.71	0.62	0.76	0.58	0.70	0.60	0.67	0.44	0.43	0.54	0.64	0.65	0.45	0.61	0.73	0.55	0.71	0.59	0.85	0.72	0.54	0.74	0.71	0.57
NM_002754|MAPK13|chr6|+	chr6:36107070-36111362	36107790	0.37	0.42	0.43	0.25	0.38	0.27	NA	0.47	0.50	0.27	0.24	0.41	0.63	0.61	0.22	0.20	0.48	0.45	0.52	0.26	0.19	0.70	0.43	0.47	NA	0.50	0.52	0.80	0.44	0.27	0.32	0.43	0.35	0.28	0.48	0.26	0.50	0.40	0.20	0.54	0.40	0.39	0.53	0.42	0.69	0.54	0.59	0.55	NA	0.50	0.64	0.38	0.64	0.19	0.48	0.58	0.18	0.48	0.50	0.53	0.18	0.48	0.58	0.37	0.36	0.22	0.26	0.32	0.49	NA	0.46	0.20
NM_153029|N4BP1|chr16|-	chr16:48572619-48577172	48576652	0.67	0.61	0.39	0.43	0.28	0.42	0.47	0.56	0.38	0.40	0.55	0.36	0.49	0.50	0.51	0.25	0.46	0.49	0.45	0.35	0.26	0.58	0.50	0.50	0.43	0.34	0.43	0.62	0.43	0.30	0.51	0.38	0.30	0.48	0.45	0.33	0.46	0.42	0.15	0.52	0.57	0.38	0.56	0.34	0.58	0.45	0.52	0.38	0.46	0.44	0.51	0.43	0.49	0.34	0.37	0.44	0.32	0.43	0.59	0.61	0.29	0.46	0.53	0.29	0.52	0.47	0.45	0.64	0.47	0.48	0.62	0.39
NM_015035|ZHX3|chr20|-	chr20:39807087-39813841	39813511	0.54	0.78	0.81	0.45	0.43	0.36	0.75	0.71	0.63	0.43	0.46	0.53	0.74	0.66	0.72	0.28	0.81	0.53	0.54	0.44	0.27	0.85	0.79	0.71	NA	0.44	0.73	0.78	0.50	0.29	0.63	0.54	0.37	0.41	0.80	NA	0.55	0.57	0.34	0.63	0.73	0.44	0.75	NA	0.61	0.67	0.62	0.67	0.87	0.66	0.80	0.70	0.69	0.61	0.53	0.52	0.22	0.65	0.79	0.76	0.30	0.52	0.78	0.46	0.73	NA	0.66	0.87	0.64	0.84	0.78	0.38
NM_001145646|APH1B|chr15|+	chr15:63597812-63601336	63598064	0.43	0.75	0.46	0.43	0.40	0.23	0.63	0.58	0.53	0.31	0.50	0.47	0.64	NA	0.44	0.15	0.55	0.61	0.53	0.35	0.15	0.63	0.50	0.69	0.45	0.43	0.65	NA	0.63	0.16	0.64	0.37	0.28	0.39	0.57	0.58	0.51	0.60	0.15	0.53	0.74	0.34	0.66	0.60	0.57	0.73	0.61	0.40	0.71	0.60	0.73	0.50	0.62	0.30	0.29	0.56	0.14	0.52	0.56	0.66	0.23	0.58	0.78	0.30	0.62	0.44	NA	0.50	0.54	0.81	0.51	0.24
NM_015704|PPPDE2|chr22|-	chr22:41995447-41997194	41996940	0.20	0.47	0.40	0.19	0.23	0.19	0.37	0.35	0.42	0.23	NA	0.28	0.40	0.30	0.33	0.12	0.41	0.29	0.32	0.16	0.06	0.41	0.24	0.28	0.23	0.23	0.36	0.70	0.24	0.08	0.23	0.21	0.09	0.18	0.46	0.37	0.24	0.35	0.06	0.27	0.42	0.10	0.37	0.19	0.28	0.32	0.24	0.20	0.37	0.25	0.46	0.24	0.31	0.22	0.09	0.33	0.07	0.40	0.34	0.26	0.09	0.34	0.49	0.17	0.28	0.22	0.27	0.33	0.24	0.45	0.28	0.14
NM_001196|BID|chr22|-	chr22:18214138-18218357	18216952	0.20	0.39	0.37	0.34	0.23	0.40	0.25	0.44	0.71	0.27	NA	0.34	0.34	0.71	0.35	0.13	0.32	0.48	0.13	0.13	0.09	0.37	0.57	0.39	0.28	0.35	0.37	0.32	0.30	0.19	NA	0.31	0.19	0.42	0.36	0.25	0.33	0.25	0.07	0.14	0.43	0.20	0.26	0.21	0.34	0.44	0.19	0.30	0.69	0.32	0.49	0.36	0.50	0.15	0.29	0.65	0.37	0.42	0.42	0.24	0.22	0.20	0.43	0.11	0.24	0.43	NA	0.38	0.36	0.97	0.37	0.22
NM_018941|CLN8|chr8|+	chr8:1728415-1734843	1728818	0.43	0.61	0.46	0.41	0.31	0.39	0.40	0.56	0.48	0.40	NA	0.38	0.45	0.73	0.49	0.29	0.51	0.42	0.33	0.33	0.27	0.58	0.53	0.44	0.50	0.50	0.46	NA	0.37	0.32	0.52	NA	0.41	0.53	0.51	0.36	0.49	0.45	0.28	0.44	0.52	0.29	0.58	0.40	0.57	0.55	NA	0.52	0.62	0.42	0.67	0.39	0.52	0.44	0.34	NA	NA	0.43	0.52	NA	0.33	0.42	0.60	NA	0.52	0.34	0.66	0.58	0.39	0.57	0.57	NA
NM_152388|TMEM237|chr2|-	chr2:202484944-202489045	202488563	0.27	0.47	0.60	0.19	0.13	0.34	NA	0.30	NA	NA	NA	0.28	0.47	NA	NA	0.10	NA	0.36	0.52	0.22	0.12	0.57	NA	0.60	0.32	0.32	0.29	0.16	0.33	0.16	0.29	NA	NA	0.22	0.46	NA	0.28	NA	0.07	NA	0.51	NA	NA	0.36	NA	0.48	NA	0.10	0.34	0.30	0.59	NA	0.43	0.27	0.16	0.29	0.11	NA	NA	0.33	0.17	0.29	NA	0.18	0.36	0.25	0.33	NA	NA	0.27	0.41	0.21
NM_178012|TUBB2B|chr6|-	chr6:3224535-3226045	3225037	NA	0.51	NA	NA	NA	0.31	0.33	NA	NA	NA	0.58	0.33	0.25	0.35	0.41	0.29	0.25	NA	0.58	NA	0.27	NA	NA	0.35	NA	0.34	NA	NA	0.33	NA	0.29	0.32	NA	0.39	0.29	0.47	NA	NA	NA	0.28	0.69	NA	0.36	0.39	0.33	NA	0.34	NA	NA	NA	NA	0.46	NA	0.65	0.40	NA	0.69	NA	NA	NA	0.28	NA	0.32	0.51	NA	NA	0.47	0.47	NA	NA	0.39	0.65
NM_138991|BACE2|chr21|+	chr21:42647297-42654435	42648456	0.11	0.26	0.10	0.07	0.13	0.05	0.20	0.16	0.09	0.06	0.09	0.08	0.15	0.10	0.10	0.04	0.17	0.09	0.13	0.07	0.07	NA	0.20	0.10	0.09	0.06	0.21	0.27	0.10	0.06	0.10	0.08	0.08	0.10	0.20	0.33	0.11	0.12	0.04	0.13	0.25	0.10	0.17	0.08	0.22	0.15	0.16	0.13	0.16	NA	0.19	0.07	0.21	0.14	0.08	0.14	0.02	0.18	0.15	0.15	0.05	0.15	0.20	0.02	0.11	0.13	0.12	0.27	0.11	0.45	0.16	0.06
NM_001037333|CYFIP2|chr5|+	chr5:156819840-156822595	156820161	0.32	0.41	0.38	0.23	0.33	0.18	0.49	0.43	0.30	0.22	0.18	0.25	0.38	0.27	0.28	0.12	0.38	0.25	0.27	0.28	0.10	0.59	0.36	0.34	0.24	0.21	0.65	0.95	0.28	0.10	0.30	0.25	0.17	0.17	0.37	0.47	0.30	0.31	0.13	0.21	0.40	0.16	0.28	0.25	0.43	0.35	0.35	0.54	0.50	0.40	0.54	0.24	0.47	0.26	0.19	0.43	0.08	0.53	0.37	0.41	0.05	0.36	0.48	0.20	0.29	0.32	0.26	0.54	0.23	0.76	0.41	0.11
NM_005793|NME6|chr3|-	chr3:48331780-48336293	48335616	0.47	0.62	0.44	0.29	0.57	0.30	0.65	0.60	0.54	0.40	NA	0.43	0.49	NA	0.32	0.25	0.58	NA	0.42	0.48	0.19	0.68	0.46	0.41	NA	0.47	0.70	NA	0.52	0.33	NA	0.35	0.32	0.42	NA	0.45	0.56	0.40	0.21	NA	0.47	0.41	0.47	NA	0.53	NA	0.53	0.58	0.55	0.55	0.60	NA	0.66	0.50	0.48	0.56	0.19	0.55	0.43	NA	0.26	NA	0.79	0.28	NA	0.40	NA	0.58	0.46	0.52	0.53	NA
NM_015339|ADNP|chr20|-	chr20:49505532-49511049	49507087	0.61	0.38	0.67	NA	0.84	0.92	0.41	0.51	0.44	0.74	0.59	0.68	0.41	0.76	0.66	0.89	0.48	0.60	0.38	0.79	NA	0.38	0.33	0.42	1.00	0.84	0.40	1.00	0.58	NA	0.58	0.57	0.76	0.86	0.46	0.42	0.52	0.55	NA	0.65	0.44	0.67	0.45	0.49	0.57	0.51	0.36	0.51	0.32	0.44	0.54	0.61	0.52	0.74	0.61	0.96	NA	0.48	0.39	0.60	0.99	0.40	0.33	0.74	0.60	0.55	0.56	0.43	0.37	0.32	0.63	NA
NM_003062|SLIT3|chr5|-	chr5:168088092-168093694	168093337	0.28	0.41	NA	0.19	0.30	0.23	0.41	0.33	0.42	0.17	0.39	0.33	0.41	0.28	0.41	0.23	0.45	0.35	0.34	0.36	0.22	NA	0.39	0.31	0.26	0.23	0.46	1.00	0.29	0.19	0.31	0.30	0.26	0.25	0.38	0.30	0.33	0.36	0.08	0.27	0.50	0.40	0.34	0.30	0.39	0.36	0.46	0.43	0.53	0.43	0.39	0.41	0.43	0.31	0.27	0.32	0.20	0.44	0.37	0.42	0.14	0.47	0.54	0.20	0.34	0.33	0.29	0.40	0.38	0.45	0.35	0.18
NM_001110792|MECP2|chrX|-	chrX:153287020-153296901	153295788	0.44	0.75	0.54	0.31	0.33	0.45	0.57	0.51	0.58	0.20	0.31	0.46	0.87	0.74	0.58	0.21	0.83	0.75	0.62	0.33	0.23	0.80	0.63	0.57	0.33	0.43	0.72	NA	0.39	0.23	0.54	0.45	0.30	0.43	0.58	0.59	0.46	0.44	0.18	0.58	0.67	0.36	0.71	0.43	0.59	0.57	0.58	0.61	0.89	0.58	0.68	0.67	0.77	0.47	0.47	0.47	0.17	0.53	0.60	0.67	0.30	0.55	0.88	0.44	0.48	0.29	0.67	0.60	0.64	0.70	0.58	0.22
NM_002709|PPP1CB|chr2|+	chr2:29022064-29025818	29023843	0.68	0.46	0.65	0.69	0.55	0.83	0.43	0.47	0.44	0.76	0.43	0.63	0.47	0.69	0.66	0.77	0.46	0.47	0.41	0.79	0.71	0.43	0.37	0.47	0.76	0.70	0.45	0.72	0.71	0.93	0.57	0.56	0.86	0.86	0.37	0.38	0.46	0.48	0.96	0.62	0.44	0.78	0.47	0.47	0.48	0.51	0.45	0.49	0.41	0.41	0.55	0.39	0.48	0.64	0.63	0.76	0.95	0.43	0.42	0.62	0.94	0.40	0.43	0.82	0.58	0.60	0.56	0.43	0.42	0.60	0.64	0.90
NM_004863|SPTLC2|chr14|-	chr14:77972322-77978746	77978493	0.56	0.68	0.58	0.39	0.39	0.39	0.55	0.53	0.65	0.37	NA	0.49	0.60	0.56	0.49	0.20	0.65	0.51	0.58	0.37	0.22	0.66	0.57	0.58	0.42	0.34	0.62	0.86	0.52	0.16	0.55	0.51	0.29	0.47	0.58	0.56	0.57	0.44	0.10	0.51	0.62	0.37	0.54	0.52	0.57	0.58	0.55	0.53	0.58	0.48	0.56	0.62	0.63	0.40	0.39	0.48	0.21	0.57	0.57	0.55	0.27	0.72	0.72	0.35	0.59	0.51	0.45	0.75	0.54	0.67	0.57	0.31
NM_020374|C12orf4|chr12|-	chr12:4596904-4599065	4598787	0.71	0.65	0.57	0.41	0.41	0.37	0.60	0.53	0.52	0.60	0.49	0.60	0.55	0.45	0.49	0.28	0.63	0.57	0.54	0.60	0.34	0.55	0.57	NA	0.70	0.44	0.60	0.64	0.53	0.37	0.50	0.45	0.43	0.40	0.60	0.63	0.64	0.53	0.54	0.57	0.63	0.41	0.52	0.45	0.45	0.45	0.48	0.65	0.68	0.54	0.66	0.46	0.55	0.48	0.29	NA	0.30	0.67	0.57	0.50	0.38	0.51	0.71	0.53	0.59	0.63	0.64	0.69	0.47	0.63	0.43	0.56
NM_007350|PHLDA1|chr12|-	chr12:76419233-76423872	76423629	0.48	0.38	0.37	0.38	0.33	0.49	0.45	0.39	0.47	0.36	0.39	0.41	0.38	0.42	0.35	0.37	0.45	0.52	0.36	0.33	0.39	0.48	0.41	0.37	0.61	0.47	0.44	0.91	0.22	0.29	0.42	0.40	0.37	0.39	0.47	0.31	0.36	0.40	0.24	0.47	0.45	0.39	0.42	0.32	0.42	0.53	0.41	0.42	0.40	0.41	0.49	0.48	0.51	0.41	0.31	0.37	0.41	0.43	0.39	0.34	0.43	0.34	0.49	0.41	0.33	0.34	0.43	0.40	0.31	0.34	0.42	0.39
NM_175624|RAB3IP|chr12|+	chr12:70209143-70216966	70209434	0.23	0.32	NA	0.17	0.19	NA	0.37	0.39	0.30	0.17	0.18	0.16	0.26	0.40	0.29	NA	0.35	0.35	0.27	0.30	0.11	0.50	0.35	NA	NA	0.29	0.48	0.35	0.21	NA	0.32	0.17	0.23	0.16	0.30	0.37	0.31	0.18	0.13	0.24	0.38	0.21	0.29	NA	0.37	0.34	0.25	0.37	0.48	0.41	0.54	0.21	0.41	0.35	0.14	0.25	0.14	0.45	0.54	0.33	0.12	0.30	0.47	NA	0.22	0.18	0.14	0.40	0.24	0.27	0.37	0.11
NM_152793|C7orf41|chr7|+	chr7:30197053-30202392	30198030	0.44	0.79	NA	0.47	0.33	0.34	0.62	0.58	NA	0.47	0.46	0.31	0.74	0.75	0.61	NA	0.73	NA	0.62	0.35	NA	0.79	0.69	NA	NA	NA	0.75	0.77	0.68	NA	0.56	0.41	0.46	0.55	0.69	NA	0.51	0.50	0.14	0.66	0.91	0.45	0.69	NA	0.61	NA	NA	0.26	0.80	0.62	0.91	NA	0.78	0.67	0.38	0.64	0.21	0.81	0.61	0.58	NA	0.73	0.78	NA	0.59	0.48	0.91	0.84	0.42	0.83	0.69	NA
NM_001202470|RPS10-NUDT3|chr6|-	chr6:34247430-34256708	34256218	0.28	0.45	0.43	0.18	0.22	0.20	0.40	0.41	0.46	0.17	0.29	0.37	0.48	0.32	0.29	0.12	0.43	0.33	0.33	0.14	0.09	0.48	0.40	0.37	0.18	0.22	0.40	0.80	0.30	0.07	0.35	0.35	0.12	0.25	0.37	0.24	0.34	0.39	0.05	0.28	0.55	0.23	0.41	0.22	0.33	0.42	0.30	0.25	0.51	0.35	0.43	0.26	0.39	0.21	0.25	0.20	0.06	0.36	0.44	0.35	0.09	0.38	0.47	0.14	0.34	0.23	0.52	0.53	0.44	0.53	0.37	0.10
