event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NM_016185|HN1|chr17|-	chr17:73131351-73132345	73132124	0.32	0.37	0.32	0.32	0.29	0.48	0.43	0.29	0.45	0.31	0.31	0.17	0.28	0.45	0.40	0.38	0.38	0.39	0.37	0.42	0.35	0.30	0.33	0.37	0.39	0.53	0.29	0.21	0.33	0.33	0.44	0.30	0.25	0.27	0.31	0.27	0.40	0.44	0.24	0.39	0.35	0.30	0.22	0.43	0.23	0.41	0.24	0.23	0.28	0.25	0.25
NM_021079|NMT1|chr17|+	chr17:43182986-43186375	43183201	0.44	0.37	0.41	0.37	0.41	0.35	0.31	0.42	0.46	0.34	0.21	0.25	0.41	0.54	0.60	0.45	0.40	0.48	0.29	0.41	0.32	0.48	0.48	0.41	0.39	0.65	0.47	0.32	0.33	0.31	0.43	0.29	0.35	0.23	0.61	0.24	0.42	0.61	0.42	0.30	0.42	0.40	0.33	0.40	0.23	0.53	0.36	0.23	0.36	0.30	0.37
NM_000089|COL1A2|chr7|+	chr7:94059558-94060528	94059956	0.56	0.59	0.50	0.55	0.68	0.62	0.64	0.38	0.58	0.53	0.55	0.50	0.48	0.25	0.58	0.53	0.55	0.48	0.54	0.62	0.46	0.52	0.55	0.58	0.55	0.54	0.54	0.60	0.42	0.60	0.54	0.58	0.64	0.67	0.49	0.33	0.49	0.65	0.54	0.57	0.78	0.57	0.52	0.50	0.63	0.55	0.62	0.60	0.61	0.55	0.56
NM_014982|PCNX|chr14|+	chr14:71576511-71582092	71576855	0.25	0.33	0.15	0.28	0.25	0.22	0.36	0.15	0.35	0.24	0.22	0.14	0.34	0.40	0.27	0.31	0.24	0.33	0.28	0.40	NA	0.12	0.27	NA	0.22	0.34	0.29	0.13	0.26	0.41	0.25	0.24	0.18	0.22	NA	0.15	0.26	0.24	0.20	NA	0.26	0.34	0.22	0.27	0.11	0.27	0.22	0.13	0.22	0.21	0.28
NM_016329|SFMBT1|chr3|-	chr3:52933242-52939292	52938700	NA	0.17	NA	0.25	0.17	NA	0.15	0.15	NA	0.19	0.13	0.17	NA	0.36	NA	NA	0.26	NA	0.20	NA	0.11	0.15	0.20	NA	0.19	0.21	NA	0.15	0.19	0.13	0.22	NA	NA	0.12	0.17	0.13	0.23	0.11	0.14	0.22	0.20	0.24	NA	NA	0.14	0.21	NA	0.09	NA	NA	0.21
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509339	0.17	0.19	0.13	0.16	0.12	0.19	0.20	0.15	0.26	0.12	0.14	0.08	0.21	0.26	0.21	0.24	0.22	0.28	0.19	0.23	0.16	0.14	0.22	0.22	0.19	0.31	0.21	0.13	0.20	0.15	0.23	0.14	0.17	0.11	0.21	0.13	0.27	0.18	0.15	0.20	0.11	0.20	0.14	0.27	0.10	0.21	0.13	0.08	0.19	0.16	0.16
NM_013411|AK2|chr1|-	chr1:33473641-33476434	33475552	0.72	0.36	0.54	0.78	0.41	0.56	0.53	0.41	0.70	0.50	0.82	0.43	0.59	0.76	0.35	0.49	0.44	0.62	0.56	0.62	0.54	0.35	0.32	0.51	0.40	0.37	0.37	0.30	0.32	0.47	0.65	0.39	0.45	0.78	0.66	0.32	0.77	0.29	0.45	0.72	0.52	0.63	0.48	0.47	0.28	0.65	0.57	0.72	0.51	0.42	0.26
NM_004586|RPS6KA3|chrX|-	chrX:20168044-20173638	20173214	0.34	0.40	0.32	0.28	0.21	0.32	0.39	0.21	0.50	0.25	0.17	0.22	0.43	0.43	0.47	0.42	0.32	0.41	0.23	0.45	0.21	0.29	0.28	0.30	0.34	0.37	0.56	0.22	0.43	0.32	0.34	0.28	0.33	0.23	0.48	0.32	0.37	0.27	0.20	0.38	0.34	0.36	0.32	0.31	0.11	0.34	0.35	0.20	0.40	0.41	0.47
NM_003300|TRAF3|chr14|+	chr14:103371549-103377854	103372051	0.53	0.68	0.47	0.38	0.36	0.42	0.43	0.50	0.56	0.41	0.22	0.37	0.50	0.54	0.46	0.52	0.47	0.60	0.32	0.50	0.43	0.45	0.50	NA	0.58	0.61	0.66	0.45	0.48	0.58	0.45	0.39	0.26	0.32	NA	0.22	0.47	0.57	0.29	NA	0.47	0.43	0.42	0.50	0.22	0.56	0.32	0.28	0.42	0.41	0.40
NM_024093|C2orf49|chr2|+	chr2:105961771-105965226	105961921	NA	0.64	NA	0.48	0.35	0.41	0.47	0.61	0.62	0.42	0.24	0.12	0.58	0.62	0.62	0.69	NA	0.71	0.40	0.58	0.35	0.43	0.56	0.50	0.41	0.67	0.63	0.46	0.63	0.47	NA	0.48	0.65	0.49	NA	0.39	0.59	0.61	0.41	NA	0.45	0.58	0.40	0.55	0.34	0.54	0.36	0.25	0.56	0.67	0.46
NR_028459|ATXN3|chr14|-	chr14:92524832-92530758	92529965	NA	0.34	NA	0.33	0.25	0.38	NA	0.22	NA	NA	0.22	0.17	0.40	0.57	0.27	NA	NA	0.62	0.28	NA	NA	NA	0.37	NA	0.26	0.41	0.50	0.23	0.31	0.53	NA	0.36	0.17	0.24	NA	0.36	NA	0.22	0.24	NA	0.45	0.42	0.41	0.33	0.16	0.52	0.28	0.22	NA	0.29	0.34
NM_018999|FAM190B|chr10|+	chr10:86273204-86278282	86274132	0.46	0.49	0.32	0.50	0.39	0.37	0.51	0.39	0.63	0.46	0.31	0.32	0.37	0.64	0.36	0.55	0.40	0.48	0.40	0.49	0.29	0.34	0.39	0.39	0.42	0.39	0.61	0.30	0.43	0.50	0.52	0.32	0.37	0.44	0.37	0.34	0.37	0.43	0.29	0.45	NA	0.40	0.32	0.46	0.40	0.35	0.36	0.27	0.35	0.45	0.60
NM_019593|GPCPD1|chr20|-	chr20:5525070-5528496	5527297	0.31	0.58	0.51	0.54	0.36	0.49	0.47	0.39	0.53	0.68	0.73	0.61	0.53	0.67	0.58	0.54	0.56	0.54	0.39	0.47	0.90	0.62	0.62	0.64	0.47	NA	0.61	0.34	NA	0.58	0.66	0.36	NA	0.47	0.75	0.76	0.48	0.60	0.50	0.63	0.69	0.44	0.66	0.52	0.38	0.30	NA	0.64	0.62	0.74	0.69
NM_014050|MRPL42|chr12|+	chr12:93894951-93897513	93896315	0.16	0.11	0.20	0.14	0.08	0.14	0.10	0.12	0.21	0.14	0.14	0.11	0.16	0.30	0.13	0.15	0.14	0.22	0.07	0.15	0.24	0.14	0.13	0.19	0.08	0.27	0.19	0.13	0.11	0.14	0.25	0.12	0.14	0.13	0.17	0.18	0.22	0.16	0.09	0.19	0.13	0.15	0.07	0.15	0.09	0.17	0.12	0.11	0.13	0.11	0.10
NM_032815|NFATC2IP|chr16|+	chr16:28975025-28978410	28975950	0.56	0.51	0.58	0.68	0.39	0.65	0.65	0.62	0.79	0.67	0.77	0.46	0.61	0.78	0.48	0.60	0.58	0.63	0.31	0.71	0.46	0.42	0.35	0.37	0.50	0.66	0.49	0.22	0.59	0.48	0.62	0.38	0.38	0.41	0.60	0.72	0.71	0.59	0.48	0.76	0.70	0.60	0.43	0.57	0.44	0.63	0.60	0.45	0.37	0.54	0.54
NM_006191|PA2G4|chr12|+	chr12:56506606-56507666	56506861	0.27	0.22	0.27	0.34	0.35	0.31	0.30	0.28	0.42	0.21	0.28	0.19	0.27	0.45	0.25	0.25	0.23	0.30	0.28	0.35	0.27	0.20	0.22	0.24	0.20	0.46	0.23	0.19	0.29	0.32	0.31	0.22	0.23	0.24	0.28	0.22	0.32	0.40	0.22	0.33	0.26	0.28	0.20	0.21	0.32	0.40	0.34	0.15	0.23	0.19	0.36
NM_015132|SNX13|chr7|-	chr7:17830392-17833916	17833113	0.31	0.30	0.18	0.45	0.32	0.32	0.34	0.33	0.56	0.28	0.47	0.20	0.39	0.54	0.33	0.32	0.23	0.34	0.29	0.45	0.18	0.21	0.28	0.24	0.31	0.43	0.37	0.15	0.29	0.38	0.39	0.24	0.29	0.31	0.36	0.42	0.40	0.26	0.24	0.37	0.52	0.32	0.22	0.28	0.33	0.29	0.31	0.29	0.26	0.37	0.37
NM_006888|CALM1|chr14|+	chr14:90871032-90874601	90871886	0.24	0.36	0.22	0.22	0.12	0.29	0.24	0.24	0.30	0.19	0.10	0.14	0.23	0.38	0.31	0.29	0.35	0.27	0.18	0.21	0.32	0.35	0.40	0.29	0.23	0.39	0.24	0.22	0.28	0.18	0.30	0.26	0.27	0.13	0.26	0.13	0.24	0.33	0.28	0.30	0.15	0.21	0.22	0.19	0.18	0.27	0.20	0.18	0.30	0.34	0.23
NR_015341|LRRC37BP1|chr17|+	chr17:28961011-28964427	28961304	0.48	0.74	NA	NA	0.32	0.60	0.58	0.81	0.61	0.49	0.26	NA	NA	0.72	0.58	0.64	NA	0.62	0.39	0.62	0.56	0.74	0.62	0.78	0.44	0.63	0.63	0.61	0.44	0.44	0.66	NA	0.47	0.36	0.76	0.51	0.87	0.61	NA	0.76	0.55	0.62	0.50	0.49	0.35	NA	0.52	0.43	0.67	0.69	0.40
NM_030962|SBF2|chr11|-	chr11:9800310-9802063	9800875	0.41	0.52	0.24	NA	0.89	0.31	0.56	0.52	0.49	0.47	1.00	0.46	0.33	0.39	0.29	0.30	0.31	0.38	0.53	0.54	0.37	0.27	0.36	0.32	0.49	0.49	0.60	0.24	0.25	0.40	0.51	0.29	0.56	0.54	0.28	0.44	0.33	0.44	0.33	0.44	0.98	0.30	0.58	0.54	NA	0.22	0.68	0.39	0.28	0.45	0.75
NM_175066|DDX51|chr12|-	chr12:132621136-132623843	132623501	0.33	0.41	0.32	0.29	0.33	0.43	0.41	0.38	0.60	0.28	NA	0.22	0.41	0.58	NA	0.37	0.34	0.47	NA	0.30	0.48	0.34	0.45	0.42	NA	0.67	NA	0.26	0.43	0.32	0.49	0.28	0.38	0.28	0.43	0.34	0.40	0.47	NA	0.57	0.35	0.39	0.32	0.42	0.22	0.47	0.38	0.22	0.37	0.30	0.40
NM_006306|SMC1A|chrX|-	chrX:53401080-53407107	53404956	0.11	0.10	0.13	0.09	0.09	0.07	0.05	0.03	0.16	0.10	0.15	0.09	0.15	0.25	0.11	0.11	0.08	0.10	0.07	0.27	0.06	0.07	0.06	0.07	0.05	0.18	0.09	0.07	0.08	0.14	0.17	0.04	0.13	0.12	0.11	0.13	0.14	0.12	0.05	0.12	0.08	0.08	0.08	0.08	0.09	0.11	0.08	0.08	0.05	0.05	0.05
NM_022037|TIA1|chr2|-	chr2:70436585-70439977	70439764	0.45	0.59	0.42	0.75	0.60	0.50	0.72	0.46	0.63	0.73	0.94	0.49	0.43	0.63	0.51	0.45	0.44	0.63	0.45	0.71	0.38	0.42	0.41	0.45	0.49	0.59	0.58	0.29	0.43	0.68	0.62	0.45	0.54	0.63	0.60	0.66	0.60	0.54	0.37	0.56	0.80	0.51	0.55	0.64	0.73	0.47	0.58	0.64	0.39	0.54	0.63
NM_139062|CSNK1D|chr17|-	chr17:80200370-80202707	80202409	0.47	0.47	0.56	0.51	0.60	0.46	0.47	0.60	0.60	0.48	0.42	0.29	0.62	0.76	0.53	0.58	0.62	0.60	0.41	0.53	0.78	0.50	0.77	0.56	0.49	0.86	0.48	0.61	0.64	0.37	0.73	0.50	0.53	0.41	0.49	0.48	0.63	0.68	0.60	0.60	0.48	0.41	0.44	0.49	0.47	0.73	0.61	0.49	0.59	0.41	0.43
NM_002815|PSMD11|chr17|+	chr17:30807770-30809910	30807966	0.51	0.37	0.48	0.53	0.38	0.45	0.39	0.52	0.49	0.37	0.39	0.42	0.61	0.64	0.35	0.35	0.46	0.60	0.32	0.49	0.54	0.38	0.44	0.55	0.33	0.47	0.37	0.32	0.35	0.47	0.64	0.38	0.35	0.35	0.58	0.35	0.64	0.47	0.46	0.48	0.46	0.49	0.32	0.35	0.47	0.63	0.42	0.38	0.46	0.39	0.40
NM_018091|ELP3|chr8|+	chr8:28047165-28048666	28047570	0.43	0.51	0.51	0.73	0.49	0.56	0.43	0.45	0.57	0.36	0.38	0.28	0.53	0.58	0.50	0.43	0.43	0.54	0.38	NA	0.50	0.41	0.43	0.42	0.39	0.63	0.39	0.34	0.42	0.48	0.56	0.46	0.46	0.30	0.51	0.32	0.54	0.49	0.42	0.44	0.57	0.44	0.38	0.45	0.48	0.51	0.45	0.51	0.46	0.39	0.47
NM_147188|FBXO22|chr15|+	chr15:76225025-76227608	76225371	0.17	0.16	0.12	0.17	0.16	0.13	0.13	0.21	0.18	0.17	0.14	0.12	0.13	0.35	0.18	0.17	0.11	0.16	0.12	0.14	0.13	0.14	0.14	0.11	0.15	0.32	0.19	0.16	0.24	0.17	0.17	0.12	0.25	0.14	0.13	0.13	0.17	0.21	0.09	0.15	0.22	0.17	0.11	0.18	0.15	0.13	0.13	0.13	0.11	0.13	0.16
NM_007275|TUSC2|chr3|-	chr3:50362341-50363617	50363463	0.47	0.59	0.37	0.58	0.39	0.48	0.55	0.42	0.51	0.32	0.57	0.30	0.45	0.65	0.41	0.51	0.57	0.65	0.47	0.40	0.61	0.44	0.49	0.49	0.63	0.59	0.62	0.46	0.61	0.54	0.66	0.47	0.43	0.33	0.41	0.51	0.45	0.50	0.42	0.73	0.41	0.54	0.35	0.39	0.25	0.48	0.38	0.35	0.49	0.49	0.45
NM_017994|C7orf42|chr7|+	chr7:66420488-66423535	66421040	0.52	0.43	0.40	0.41	0.29	0.32	0.32	0.44	0.62	0.38	0.47	0.21	0.52	0.69	0.25	0.41	0.36	0.47	0.28	0.53	0.29	0.30	0.34	0.37	0.34	0.47	0.38	0.26	0.34	0.37	0.51	0.24	0.28	0.47	0.48	0.32	0.51	0.42	0.34	0.45	0.53	0.39	0.34	0.25	0.34	0.58	0.54	0.36	0.47	0.35	0.40
NM_152902|TIPRL|chr1|+	chr1:168169140-168171343	168169339	0.25	0.35	0.23	0.26	0.21	0.35	0.50	0.40	0.35	0.21	0.31	0.14	0.38	0.46	0.35	0.41	0.27	0.39	0.23	0.27	0.26	0.27	0.35	0.33	0.26	0.53	0.48	0.16	0.29	0.32	0.42	0.29	0.30	0.31	0.47	0.39	0.40	0.47	0.32	0.48	0.33	0.32	0.22	0.55	0.20	0.45	0.25	0.39	0.31	0.37	0.37
NM_000629|IFNAR1|chr21|+	chr21:34727621-34733921	34728237	0.30	0.30	0.30	0.29	0.20	0.20	0.31	0.19	0.38	0.21	0.30	0.20	0.44	0.40	0.27	0.35	0.18	0.39	0.20	0.29	0.25	0.28	0.38	0.25	0.41	0.41	0.35	0.14	0.23	0.40	0.31	0.20	0.22	0.14	0.36	0.26	0.29	0.23	0.21	0.29	0.23	0.24	0.35	0.18	0.17	0.37	0.30	0.26	0.42	0.23	0.33
NM_174871|PSMD12|chr17|-	chr17:65334036-65337168	65336883	0.19	0.18	0.18	0.17	0.13	0.26	0.18	0.13	0.27	0.18	0.11	0.12	0.23	0.33	0.15	0.26	0.21	0.29	0.16	0.16	0.18	0.18	0.23	0.21	0.17	0.29	0.19	0.11	0.16	0.15	0.30	0.22	0.15	0.17	0.25	0.13	0.25	0.16	0.13	0.25	0.27	0.19	0.13	0.23	0.15	0.26	0.13	0.13	0.22	0.24	0.13
NM_033540|MFN1|chr3|+	chr3:179109768-179112717	179110708	0.34	0.24	0.35	0.30	0.22	0.39	0.28	0.21	0.38	0.35	0.28	0.35	0.45	0.45	0.25	0.38	0.32	0.48	0.19	0.41	0.44	0.34	0.23	0.35	0.21	0.33	0.36	0.21	0.29	0.21	0.36	0.25	0.28	0.33	0.38	0.30	0.39	0.31	0.35	0.39	0.33	0.34	0.29	0.31	0.23	0.38	0.23	0.34	0.40	0.31	0.20
NM_001102396|SIKE1|chr1|-	chr1:115312101-115316993	115316806	0.54	0.65	0.34	0.48	0.33	0.45	0.50	0.42	0.59	0.37	0.30	0.33	0.53	NA	0.61	0.60	0.47	0.62	0.35	0.42	NA	0.45	0.51	0.50	0.61	0.64	0.59	0.41	0.62	0.43	0.65	0.40	0.45	0.42	0.50	0.47	0.63	0.58	0.42	0.55	0.46	0.53	0.43	0.65	0.20	0.49	0.41	0.30	0.43	0.59	0.63
NM_018842|BAIAP2L1|chr7|-	chr7:97920967-97922908	97922655	0.46	0.34	0.29	0.43	0.42	0.38	0.28	0.40	0.50	0.37	0.28	0.30	0.46	0.67	0.53	0.41	0.37	0.51	0.23	0.31	0.44	0.29	0.24	0.31	0.26	0.42	0.35	0.25	0.43	0.34	0.43	0.33	0.29	0.25	0.42	0.30	0.54	0.38	0.35	0.41	0.49	0.33	0.27	0.35	0.40	0.38	0.31	0.26	0.32	0.25	0.42
