event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_020696|KIAA1143|chr3|-	chr3:44790223-44795044	44794835	0.54	0.32	0.57	0.43	0.31	0.56	0.41	0.62	0.38	0.44	0.61	0.40	NA	0.38	0.54	0.55	0.57	0.52	0.49	NA	0.42	0.39	0.61	0.33	0.61	0.50	NA	0.44	0.43	0.38	0.40	0.51	0.48	0.66	0.37	0.36	NA	0.54	0.60	0.63	0.42	0.49	0.50	0.37	0.40	0.56	0.52	0.48	0.60	0.36	0.60	0.52	0.62	0.70	0.32	0.61	0.40	0.57	NA	0.57	0.44	0.44	0.59	0.55	0.57	0.53	0.47	0.23	0.49
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509331	0.24	0.16	0.22	0.17	0.14	0.32	0.18	0.28	0.18	0.25	0.36	0.13	0.22	0.14	0.25	0.22	0.36	0.23	0.17	NA	0.24	0.31	0.37	0.13	0.38	0.41	0.80	0.25	0.14	0.20	0.14	0.25	0.22	0.28	0.15	0.19	NA	0.35	0.34	0.41	0.16	0.17	0.26	NA	0.32	0.27	0.21	0.29	0.34	0.17	0.20	0.28	0.23	0.37	0.14	0.26	0.19	0.24	NA	0.27	0.20	0.30	0.24	0.24	0.29	0.14	0.28	0.08	0.29
NM_004586|RPS6KA3|chrX|-	chrX:20168033-20173638	20173214	0.37	0.24	0.41	0.51	0.38	0.44	0.49	0.46	0.48	0.57	0.60	0.45	0.69	0.39	0.48	0.47	0.41	0.37	0.38	0.66	0.43	0.40	0.56	0.30	0.67	0.67	0.81	0.39	0.32	0.36	0.41	0.43	0.50	0.44	0.36	0.44	0.82	0.56	0.51	0.52	0.45	0.40	0.52	0.84	0.58	0.42	0.31	0.44	0.51	0.40	0.43	0.58	0.49	0.56	0.34	0.52	0.33	0.48	0.81	0.53	0.40	0.40	0.37	0.50	0.59	0.53	0.43	0.31	0.47
NM_018999|FAM190B|chr10|+	chr10:86273204-86278315	86274132	0.57	0.34	0.53	0.64	0.49	0.48	0.45	0.56	0.56	0.49	0.50	0.43	NA	0.41	NA	0.56	0.43	0.52	0.51	NA	NA	0.42	0.56	0.43	0.49	0.59	NA	0.44	0.49	0.40	0.42	0.54	0.56	0.62	0.42	0.37	NA	0.68	0.57	0.64	0.45	0.36	0.44	0.70	NA	0.42	0.59	0.58	0.51	0.63	0.42	0.54	0.44	0.59	0.52	0.56	0.29	0.47	NA	NA	0.56	0.53	0.61	0.43	0.57	NA	0.46	0.35	NA
NM_017588|WDR5|chr9|+	chr9:137023014-137025027	137023402	0.61	0.56	0.65	0.54	0.46	0.60	0.56	0.61	0.37	0.68	0.51	0.28	NA	0.38	0.46	0.46	0.48	0.46	0.56	NA	0.37	0.36	0.46	0.26	0.51	0.46	NA	0.55	0.43	0.60	0.38	0.43	0.58	0.63	0.45	0.49	NA	0.45	0.51	0.57	0.58	0.36	0.44	NA	NA	0.58	0.65	0.58	0.44	0.76	0.57	0.57	0.71	0.56	0.42	0.66	0.85	0.62	NA	0.36	0.72	0.51	0.68	0.47	0.55	0.67	0.51	0.31	0.58
NM_014050|MRPL42|chr12|+	chr12:93894951-93897774	93896326	0.12	0.33	0.13	0.13	0.12	0.22	0.18	0.19	0.08	0.17	0.15	NA	NA	0.07	0.11	0.30	0.15	0.09	0.26	NA	0.17	0.12	0.23	0.15	0.29	0.38	NA	0.16	0.13	0.15	0.09	0.25	0.30	0.24	0.12	0.23	NA	0.37	0.34	0.40	0.22	0.13	0.20	NA	0.24	0.11	0.19	0.18	0.14	0.21	0.15	0.25	0.21	0.21	0.09	0.16	0.15	0.26	NA	0.26	0.11	0.16	0.14	0.21	0.08	0.29	0.10	0.05	0.21
NM_006191|PA2G4|chr12|+	chr12:56506606-56507671	56506860	0.40	0.24	0.25	0.39	0.28	0.33	0.35	0.35	0.36	0.34	0.38	0.18	0.59	0.21	0.29	0.36	0.28	0.32	0.31	NA	0.31	0.31	0.26	0.23	0.55	0.50	NA	0.43	0.29	0.26	0.24	0.43	0.36	0.46	0.35	0.26	NA	0.43	0.52	0.55	0.33	0.26	0.36	NA	0.37	0.44	0.44	0.35	0.37	0.35	0.25	0.46	0.22	0.34	0.31	0.55	0.27	0.29	NA	0.27	0.33	0.25	0.32	0.35	0.35	0.38	0.19	0.14	0.38
NM_015132|SNX13|chr7|-	chr7:17829472-17833916	17833125	0.40	0.61	0.47	0.43	0.33	0.48	0.45	0.44	0.31	0.41	0.32	0.18	NA	0.21	0.31	0.31	0.26	0.36	0.36	NA	0.24	0.23	0.42	0.33	0.46	0.32	NA	0.35	0.32	0.31	0.29	0.56	0.47	0.38	NA	0.40	0.68	0.36	0.48	0.47	0.44	0.20	0.32	NA	0.34	0.41	0.52	0.53	0.44	0.50	0.41	NA	0.31	0.56	0.26	0.53	0.44	0.35	NA	0.30	0.34	0.43	0.47	0.24	0.34	0.64	0.28	0.22	0.36
NM_006888|CALM1|chr14|+	chr14:90871032-90874606	90871887	0.28	0.12	0.22	0.24	0.23	0.28	0.21	0.28	0.22	0.29	0.37	0.18	0.18	0.17	0.28	0.32	0.42	0.24	0.28	0.11	0.23	0.28	0.32	0.20	0.37	0.32	0.19	0.33	0.23	0.20	0.20	0.22	0.30	0.25	0.18	0.18	0.21	0.34	0.35	0.48	0.28	0.29	0.24	0.19	0.17	0.32	0.24	0.29	0.27	0.25	0.24	0.18	0.31	0.36	0.25	0.16	0.18	0.38	0.15	0.34	0.35	0.26	0.37	0.32	0.25	0.21	0.23	0.35	0.33
NM_006306|SMC1A|chrX|-	chrX:53400955-53407107	53404949	0.13	0.24	0.11	0.07	0.05	0.11	0.40	0.21	0.07	0.11	0.10	NA	NA	0.07	0.15	0.07	0.07	0.12	0.09	NA	0.10	0.05	0.31	0.08	0.18	NA	NA	0.15	0.08	0.09	0.10	0.13	0.25	0.20	0.04	0.30	NA	0.40	0.25	0.19	0.17	0.05	0.12	NA	NA	0.16	0.11	0.22	0.10	0.09	0.11	0.10	0.10	0.11	0.09	0.12	0.16	0.17	NA	0.26	0.11	0.05	0.07	0.12	0.09	0.37	0.05	0.03	0.20
NM_139062|CSNK1D|chr17|-	chr17:80198780-80202707	80200602	0.02	0.03	0.02	0.03	0.03	0.01	0.02	0.02	0.07	0.05	0.02	0.22	0.36	0.19	0.03	0.02	0.01	0.02	0.02	0.28	0.17	0.10	0.02	0.02	0.01	0.04	0.10	0.06	0.05	0.03	0.09	0.02	0.01	0.02	0.04	0.03	0.07	0.02	0.02	0.01	0.03	0.19	0.02	NA	0.04	0.24	0.02	0.07	0.02	0.05	0.06	0.05	0.04	0.01	0.02	0.02	0.04	0.02	NA	0.03	0.02	0.03	0.03	0.01	0.02	0.02	0.03	0.03	0.02
NM_002815|PSMD11|chr17|+	chr17:30807770-30810273	30809343	0.11	0.15	0.10	0.11	0.07	0.11	0.19	0.16	0.06	0.14	0.06	NA	0.12	0.06	0.11	0.14	0.11	0.10	0.11	0.17	0.09	0.07	0.13	0.09	0.25	NA	0.33	0.14	0.10	0.10	0.07	0.17	0.12	0.14	0.16	0.12	NA	NA	0.19	0.35	0.10	0.09	0.13	0.12	0.14	0.15	0.10	0.10	0.13	0.17	0.05	0.16	0.10	0.12	0.09	0.19	0.07	0.13	0.09	NA	0.08	0.06	0.12	0.11	0.10	0.15	0.06	0.05	0.18
NM_017994|C7orf42|chr7|+	chr7:66420488-66423533	66421045	0.49	0.36	0.53	0.57	0.25	0.56	0.39	0.50	0.26	0.57	0.62	0.24	0.34	0.30	0.47	0.61	0.53	0.53	0.41	0.52	0.34	0.44	0.63	0.25	0.74	0.58	0.73	0.45	0.40	0.40	0.44	0.45	0.64	0.66	0.36	0.48	0.70	0.53	0.66	0.70	0.45	0.26	0.49	0.77	0.43	0.56	0.59	0.54	0.61	0.40	0.47	0.63	0.52	0.68	0.34	0.68	0.43	0.48	0.71	0.34	0.54	0.48	0.49	0.45	0.49	0.43	0.44	0.25	0.56
NM_152902|TIPRL|chr1|+	chr1:168169140-168171350	168169341	0.35	0.22	0.45	0.44	0.41	0.38	0.27	0.57	0.32	0.50	0.41	0.18	0.36	0.23	0.30	0.61	0.27	0.37	0.37	0.41	0.25	0.29	0.66	0.47	0.43	0.43	0.78	0.27	0.28	0.30	0.26	0.37	0.33	0.40	0.43	0.28	NA	0.49	0.56	0.48	0.36	0.37	0.35	0.59	0.31	0.50	0.42	0.42	0.58	0.49	0.38	0.41	0.33	0.50	0.37	0.49	0.35	0.35	0.77	0.33	0.39	0.44	0.58	0.34	0.22	0.39	0.30	0.21	0.39
NM_018842|BAIAP2L1|chr7|-	chr7:97920982-97922908	97922621	0.40	0.50	0.53	0.50	0.41	0.48	0.77	0.52	0.30	0.68	0.50	0.20	0.46	0.24	0.31	0.44	0.58	0.46	0.55	NA	0.40	0.42	0.52	0.26	0.73	0.69	0.90	0.45	0.46	0.47	0.31	0.60	0.53	0.76	0.34	0.60	NA	0.70	0.62	0.68	0.58	0.44	0.58	NA	NA	0.48	0.38	0.44	0.53	0.40	0.47	0.60	0.50	0.73	0.48	0.57	0.48	0.44	NA	0.44	0.43	0.48	0.41	0.52	0.65	0.77	0.41	0.22	0.75
NM_001161407|NDFIP2|chr13|+	chr13:80126650-80130210	80127928	0.26	0.38	0.23	0.22	0.12	0.24	0.22	0.23	0.15	0.20	0.16	0.13	NA	0.11	0.24	0.27	0.13	0.23	0.18	NA	0.11	0.12	0.24	0.12	0.15	0.15	0.34	0.18	0.14	0.16	0.19	0.21	0.30	0.21	0.20	0.26	NA	0.20	0.16	0.29	0.16	0.09	0.24	NA	0.27	0.19	0.19	0.28	0.26	0.26	0.16	0.24	0.19	0.22	0.14	0.36	0.32	0.28	NA	0.26	0.23	0.22	0.20	0.21	0.11	0.19	0.14	0.08	0.24
NM_015949|GET4|chr7|+	chr7:934970-936079	935120	0.49	0.53	0.54	0.43	0.39	0.56	0.49	0.47	0.42	0.61	0.47	0.25	NA	0.32	0.33	0.42	0.46	0.35	0.58	NA	0.41	0.39	0.48	0.32	0.57	0.56	NA	0.60	0.43	0.46	0.28	0.43	0.44	0.64	0.39	0.37	NA	0.53	0.59	0.69	0.44	0.36	0.52	NA	NA	0.52	0.57	0.49	0.52	0.49	0.50	0.52	0.51	0.54	0.40	0.58	0.49	0.44	NA	0.32	0.53	0.52	0.62	0.45	0.54	0.60	0.45	0.35	0.51
NM_001080415|U2SURP|chr3|+	chr3:142775153-142779377	142775627	0.30	0.24	0.24	0.30	0.18	0.32	0.30	0.28	0.17	0.26	0.19	0.18	0.25	0.17	0.32	0.31	0.20	0.23	0.33	0.32	0.20	0.19	0.29	0.18	0.29	0.34	0.60	0.26	0.21	0.15	0.17	0.28	0.44	0.33	0.29	0.32	0.62	0.41	0.35	0.41	0.21	0.19	0.30	0.52	NA	0.35	0.21	0.32	0.30	0.31	0.20	0.31	0.33	0.27	0.22	0.32	0.18	0.29	0.43	0.32	0.24	0.30	0.26	0.27	0.24	0.21	0.27	0.12	0.28
NM_153029|N4BP1|chr16|-	chr16:48572625-48577172	48576647	0.24	0.17	0.37	0.26	0.16	0.31	0.36	0.23	0.15	0.46	0.37	0.09	0.29	0.16	0.37	0.27	0.32	0.29	0.48	NA	0.10	0.25	0.39	0.14	0.50	0.21	NA	0.22	0.28	0.21	0.26	0.25	0.35	0.61	0.14	0.37	NA	0.17	0.49	0.64	0.26	0.42	0.20	NA	0.16	0.43	0.25	0.36	0.40	0.31	0.26	0.31	0.37	0.50	0.30	0.34	0.24	0.28	NA	0.18	0.29	0.24	0.37	0.33	0.37	0.33	0.36	0.19	0.42
NM_030821|PLA2G12A|chr4|-	chr4:110630452-110635651	110635141	0.37	0.38	0.35	0.43	0.33	0.34	0.34	0.35	0.32	0.51	0.45	NA	NA	0.28	0.37	0.49	0.58	0.39	0.70	NA	0.33	0.38	0.53	0.27	0.60	NA	NA	0.36	0.26	0.31	0.31	0.36	0.45	0.53	0.33	0.45	NA	0.44	0.55	0.68	0.51	0.31	0.39	NA	0.33	0.43	0.73	0.55	0.42	0.36	0.38	0.52	0.42	0.55	0.40	0.35	0.31	0.43	NA	0.43	0.30	0.62	0.54	0.39	0.36	0.43	0.47	0.22	0.52
NM_001145547|RBM17|chr10|+	chr10:6157415-6158759	6157630	0.19	0.21	0.17	0.15	0.15	0.27	0.24	0.26	0.14	0.20	0.17	0.11	0.46	0.09	0.20	0.14	0.20	0.17	0.17	NA	0.19	0.17	0.23	0.14	0.30	0.29	NA	0.15	0.12	0.11	0.11	0.25	0.19	0.28	0.17	0.14	NA	0.35	0.31	0.34	0.18	0.10	0.23	NA	0.62	0.18	0.22	0.25	0.23	0.22	0.15	0.24	0.21	0.34	0.20	0.26	0.21	0.20	NA	0.31	0.17	0.23	0.28	0.19	0.25	0.25	0.17	0.07	0.20
NM_005766|FARP1|chr13|+	chr13:99100489-99102795	99101978	0.03	0.04	0.02	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.02	NA	0.03	0.01	0.03	0.03	0.03	0.04	NA	0.08	0.04	0.03	0.02	0.03	0.08	NA	0.04	0.03	0.04	0.03	0.03	0.05	0.02	NA	0.04	NA	0.07	0.03	0.04	0.04	0.03	0.02	NA	NA	0.03	0.03	0.02	0.02	0.03	0.02	0.04	0.05	0.03	0.05	0.04	0.04	0.04	NA	NA	0.05	0.02	0.03	0.03	0.04	0.03	0.04	0.02	0.04
NM_017896|C20orf11|chr20|+	chr20:61576090-61579812	61576852	0.25	0.14	0.20	0.23	0.16	0.23	0.22	0.31	0.18	0.26	0.32	0.21	0.29	0.22	0.29	0.28	0.29	0.24	0.35	0.30	0.24	0.22	0.48	0.14	0.36	0.36	0.47	0.25	0.25	0.21	0.24	0.21	0.27	0.38	0.11	0.26	NA	0.43	0.44	0.42	0.38	0.21	0.18	0.25	0.16	0.38	0.26	0.38	0.27	0.23	0.27	0.21	0.37	0.32	0.22	0.25	0.17	0.22	NA	0.26	0.25	0.26	0.38	0.30	0.28	0.17	0.30	0.23	0.33
NM_000232|SGCB|chr4|-	chr4:52886845-52890326	52890073	0.49	0.30	0.46	0.52	0.47	0.53	0.48	0.50	0.51	0.54	0.50	0.34	NA	0.43	0.47	0.49	0.49	0.54	0.53	NA	NA	NA	0.49	0.44	0.55	0.47	NA	0.43	0.35	0.49	0.57	0.47	0.40	NA	0.45	NA	NA	0.48	0.56	0.60	0.46	0.44	0.48	NA	0.49	0.49	0.52	0.63	0.59	0.53	0.50	0.44	0.44	NA	0.41	0.40	NA	0.54	NA	NA	0.43	0.50	0.68	0.45	0.57	NA	0.48	0.37	0.51
NM_015704|PPPDE2|chr22|-	chr22:41995972-41997194	41996987	0.20	0.16	0.20	0.49	0.27	0.45	0.22	0.48	0.38	0.27	0.52	0.25	0.62	0.23	0.29	0.46	0.39	0.33	0.46	NA	0.44	0.46	0.53	0.30	0.50	0.45	NA	0.45	0.30	0.29	0.33	0.24	0.39	0.48	0.24	0.22	NA	0.55	0.61	0.56	0.30	0.52	0.45	NA	0.52	0.41	0.38	0.46	0.42	0.27	0.37	0.60	0.41	0.30	0.41	0.36	0.18	0.39	NA	0.47	0.35	0.25	0.36	0.44	0.38	0.27	0.27	0.27	0.40
NM_003601|SMARCA5|chr4|+	chr4:144474271-144475960	144474506	0.30	0.38	0.44	0.35	0.35	0.33	0.35	0.51	0.28	0.36	0.30	0.23	0.39	0.22	0.35	0.34	0.37	0.32	0.40	NA	0.37	0.26	0.41	0.39	0.38	0.39	0.65	0.31	0.30	0.29	0.30	0.44	0.38	0.42	0.33	0.38	NA	0.40	0.44	0.39	0.36	0.23	0.34	NA	0.47	0.38	0.39	0.40	0.34	0.43	0.26	0.35	0.31	0.44	0.24	0.35	0.39	0.30	NA	0.38	0.35	0.37	0.33	0.35	0.37	0.52	0.33	0.18	0.36
