event_id	loci	Proximal_Site	TCGA-38-4627-01A-01R-1206-07	TCGA-49-4512-01A-21R-1858-07	TCGA-55-6983-01A-11R-1949-07	TCGA-55-6978-01A-11R-1949-07	TCGA-73-4676-01A-01R-1755-07	TCGA-91-6828-01A-11R-1858-07	TCGA-44-2655-01A-01R-0946-07	TCGA-44-2657-01A-01R-1107-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6984-01A-11R-1949-07	TCGA-91-6829-01A-21R-1858-07	TCGA-44-2668-01A-01R-A278-07	TCGA-44-2668-01B-02R-A277-07	TCGA-44-2668-01A-01R-0946-07	TCGA-44-6777-01A-11R-1858-07	TCGA-91-6831-01A-11R-1858-07	TCGA-50-5932-01A-11R-1755-07	TCGA-49-6744-01A-11R-1858-07	TCGA-50-5931-01A-11R-1755-07	TCGA-44-2662-01B-02R-A277-07	TCGA-44-2662-01A-01R-A278-07	TCGA-44-2662-01A-01R-0946-07	TCGA-44-6778-01A-11R-1858-07	TCGA-38-4632-01A-01R-1755-07	TCGA-44-6146-01A-11R-1755-07	TCGA-44-6146-01A-11R-A278-07	TCGA-44-6146-01B-04R-A277-07	TCGA-44-3396-01A-01R-1206-07	TCGA-50-6595-01A-12R-1858-07	TCGA-55-6979-01A-11R-1949-07	TCGA-55-6975-01A-11R-1949-07	TCGA-44-2661-01A-01R-1107-07	TCGA-50-5935-01A-11R-1755-07	TCGA-55-6986-01A-11R-1949-07	TCGA-38-4625-01A-01R-1206-07	TCGA-49-6742-01A-11R-1858-07	TCGA-44-5645-01B-04R-A277-07	TCGA-44-5645-01A-01R-A278-07	TCGA-44-5645-01A-01R-1628-07	TCGA-44-6148-01A-11R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-49-6743-01A-11R-1858-07	TCGA-44-2665-01A-01R-0946-07	TCGA-44-2665-01B-06R-A277-07	TCGA-44-2665-01A-01R-A278-07	TCGA-50-5939-01A-11R-1628-07	TCGA-55-6969-01A-11R-1949-07	TCGA-55-6980-01A-11R-1949-07	TCGA-49-6745-01A-11R-1858-07	TCGA-49-6761-01A-31R-1949-07	TCGA-55-6981-01A-11R-1949-07	TCGA-44-6145-01A-11R-1755-07	TCGA-55-6971-01A-11R-1949-07	TCGA-44-6776-01A-11R-1858-07	TCGA-50-5930-01A-11R-1755-07	TCGA-91-6847-01A-11R-1949-07	TCGA-49-4490-01A-21R-1858-07	TCGA-44-6147-01A-11R-1755-07	TCGA-44-6147-01B-06R-A277-07	TCGA-44-6147-01A-11R-A278-07	TCGA-55-6985-01A-11R-1949-07	TCGA-55-6982-01A-11R-1949-07	TCGA-55-6968-01A-11R-1949-07	TCGA-91-6835-01A-11R-1858-07	TCGA-55-6970-01A-11R-1949-07	TCGA-55-6972-01A-11R-1949-07	TCGA-50-5936-01A-11R-1628-07	TCGA-91-6836-01A-21R-1858-07	TCGA-38-4626-01A-01R-1206-07
NM_020141|TMEM167B|chr1|+	chr1:109637038-109639591	109637482	0.69	0.80	0.85	0.86	0.71	0.78	0.70	0.67	0.72	0.81	0.69	0.48	NA	0.57	0.68	0.75	0.64	0.69	0.72	NA	0.53	0.59	0.72	0.52	0.70	0.59	0.93	0.71	0.68	0.81	0.74	0.72	0.75	0.92	0.64	0.72	NA	0.68	0.83	0.77	0.80	0.65	0.64	NA	0.57	0.77	0.88	0.86	0.71	0.90	0.77	0.74	0.76	0.80	0.76	0.88	0.88	0.69	NA	0.55	0.84	0.79	0.79	0.65	0.80	0.87	0.64	0.61	0.70
NM_003760|EIF4G3|chr1|-	chr1:21132893-21133993	21133607	0.68	0.97	0.86	0.75	0.78	0.63	0.60	0.63	0.60	0.73	0.65	NA	NA	0.62	0.54	0.61	0.67	0.64	0.71	1.00	0.60	0.45	0.61	0.77	0.54	NA	0.98	0.64	0.76	0.74	0.76	0.89	0.87	0.68	0.58	0.90	NA	0.66	0.62	0.62	0.91	0.51	0.53	NA	0.79	0.66	0.82	0.80	0.60	0.87	0.70	0.72	0.76	0.70	0.71	0.87	0.96	0.67	NA	NA	0.71	0.70	0.80	0.58	0.70	0.95	0.52	0.70	0.56
NM_007034|DNAJB4|chr1|+	chr1:78481697-78484160	78482589	0.43	NA	0.69	0.56	0.43	NA	0.54	NA	0.39	NA	0.41	NA	NA	0.32	0.42	NA	NA	0.48	NA	NA	NA	0.35	0.42	0.46	NA	NA	NA	0.39	0.49	NA	0.57	0.57	NA	0.66	NA	0.65	NA	NA	NA	0.50	0.72	0.32	0.36	NA	NA	0.39	NA	NA	0.36	NA	NA	0.37	NA	NA	0.58	0.51	0.81	0.51	NA	NA	NA	NA	0.45	0.36	0.38	NA	0.33	NA	0.45
NM_001198903|YY1AP1|chr1|-	chr1:155629231-155630704	155630554	1.00	1.00	1.00	1.00	1.00	0.98	0.99	1.00	1.00	1.00	1.00	0.86	0.74	1.00	1.00	1.00	0.98	0.99	1.00	0.32	0.73	0.99	1.00	0.99	0.99	NA	NA	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	1.00	0.56	0.91	1.00	1.00	1.00	1.00	1.00	NA	0.91	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	1.00	0.98	1.00	1.00	1.00	NA	0.85	1.00	1.00	1.00	1.00	0.99	1.00	0.99	1.00	1.00
NM_001113348|ECE1|chr1|-	chr1:21543722-21546624	21546347	0.80	0.93	0.91	0.80	0.81	0.81	0.88	0.67	0.79	0.88	0.82	0.63	0.84	0.71	0.74	0.80	0.76	0.81	0.91	NA	0.68	0.82	0.78	0.75	0.79	0.70	NA	0.85	0.84	0.89	0.80	0.77	0.92	0.86	0.75	0.87	NA	0.70	0.85	0.84	0.85	0.73	0.79	NA	0.75	0.75	0.93	0.90	0.89	0.91	0.88	0.85	0.79	0.91	0.88	0.90	0.94	0.77	NA	0.72	0.86	0.81	0.93	0.76	0.76	0.87	0.79	0.81	0.83
NM_022733|SMAP2|chr1|+	chr1:40887647-40889544	40888953	0.03	0.18	0.05	0.04	0.02	0.03	0.05	0.02	0.04	0.06	0.04	NA	0.21	0.03	0.02	0.04	0.04	0.06	0.05	NA	NA	0.04	0.03	0.05	0.03	NA	NA	0.04	0.05	0.07	0.08	0.03	0.06	0.03	0.04	0.08	NA	0.02	0.04	0.04	0.06	0.03	0.04	NA	NA	0.03	0.06	0.05	0.05	0.08	0.07	0.05	0.03	0.05	0.04	0.07	0.17	0.03	0.24	0.04	0.04	0.06	0.04	0.03	0.03	0.05	0.02	0.03	0.04
NM_024569|MPZL1|chr1|+	chr1:167757056-167760110	167757282	0.82	0.81	0.92	0.87	0.77	0.83	0.85	0.82	0.79	0.88	0.88	0.51	0.70	0.66	0.77	0.87	0.81	0.87	0.87	0.52	0.59	0.81	0.83	0.68	0.86	0.69	0.60	0.79	0.84	0.85	0.80	0.80	0.89	0.83	0.78	0.86	0.67	0.68	0.84	0.89	0.82	0.73	0.83	0.77	0.47	0.76	0.91	0.88	0.89	0.93	0.82	0.87	0.82	0.87	0.87	0.95	0.83	0.81	0.67	0.59	0.88	0.82	0.90	0.75	0.75	0.91	0.77	0.50	0.85
NM_007122|USF1|chr1|-	chr1:161009034-161009799	161009612	0.99	1.00	1.00	0.99	0.99	0.99	0.99	1.00	0.96	0.99	0.99	0.80	0.93	1.00	0.96	0.90	0.94	0.94	1.00	NA	0.79	1.00	0.94	1.00	0.99	NA	NA	0.99	1.00	1.00	0.99	0.96	1.00	1.00	1.00	0.99	NA	0.84	0.95	1.00	1.00	0.92	0.96	NA	0.75	0.95	1.00	1.00	0.98	0.98	1.00	0.92	1.00	1.00	0.95	0.99	0.99	0.98	NA	0.68	1.00	1.00	0.99	0.96	0.97	1.00	0.95	0.99	1.00
NR_026761|LINC00467|chr1|+	chr1:211605660-211608617	211605838	0.04	0.10	0.10	NA	0.09	0.16	0.09	NA	NA	NA	0.21	NA	NA	0.08	0.07	0.21	0.11	NA	0.16	NA	NA	0.10	0.17	0.10	NA	NA	NA	NA	NA	NA	0.11	0.27	0.13	NA	0.14	0.08	NA	NA	0.29	0.42	0.06	NA	0.20	NA	NA	0.10	0.11	0.10	NA	0.15	0.11	0.22	NA	0.15	NA	NA	0.09	0.16	NA	NA	0.15	0.14	0.22	NA	0.11	0.08	0.13	NA	NA
NM_024066|ERI3|chr1|-	chr1:44686709-44687312	44687112	0.82	0.98	0.94	0.71	0.82	0.69	0.86	0.86	0.68	0.82	0.76	1.00	NA	0.75	0.79	0.82	0.80	0.88	0.88	NA	1.00	0.79	0.66	0.77	0.78	NA	NA	0.89	0.89	0.91	0.82	0.78	1.00	0.82	0.77	0.92	NA	0.96	0.84	0.92	0.81	0.75	0.86	NA	0.84	0.82	0.83	0.89	0.70	0.92	0.83	0.74	0.84	0.78	0.92	0.79	0.95	0.93	NA	0.99	0.86	0.87	0.78	0.87	0.68	0.92	0.84	0.87	0.81
NM_133177|PTPRU|chr1|+	chr1:29652110-29653317	29652304	0.95	0.99	0.98	0.96	NA	NA	0.94	0.95	0.79	0.95	0.98	NA	NA	0.97	0.88	0.76	0.92	0.96	0.95	NA	NA	NA	NA	NA	0.93	0.87	NA	0.87	0.89	0.98	0.99	0.93	1.00	0.92	NA	0.98	NA	0.89	0.92	0.94	0.96	0.83	0.97	NA	0.81	0.86	0.97	0.94	0.97	NA	0.94	0.96	0.91	0.91	0.92	0.96	1.00	0.97	NA	0.77	0.96	0.93	NA	0.95	0.93	1.00	0.92	NA	0.96
NM_170708|LMNA|chr1|+	chr1:156108870-156110432	156109743	0.08	0.10	0.10	0.06	0.09	0.11	0.09	0.05	0.06	0.10	0.06	0.08	0.30	0.08	0.08	0.08	0.07	0.09	0.09	NA	0.08	0.08	0.07	0.06	0.06	0.06	NA	0.08	0.07	0.09	0.09	0.07	0.06	0.10	0.10	0.09	NA	0.11	0.07	0.07	0.14	0.07	0.08	NA	0.07	0.04	0.09	0.08	0.07	0.10	0.09	0.09	0.10	0.08	0.08	0.09	0.12	0.09	NA	0.10	0.10	0.09	0.09	0.06	0.06	0.10	0.06	0.05	0.08
NM_018198|DNAJC11|chr1|-	chr1:6694209-6695760	6695610	0.92	1.00	0.97	0.86	0.83	0.70	0.86	0.95	0.81	0.92	0.94	NA	NA	0.86	0.76	0.84	0.94	0.85	0.99	NA	0.77	0.92	0.83	0.75	0.87	NA	NA	0.96	0.84	0.98	0.85	0.94	0.93	0.92	0.95	0.90	NA	0.85	0.88	1.00	0.87	0.78	0.90	NA	NA	0.96	0.97	1.00	0.82	0.91	0.99	0.80	1.00	1.00	0.96	0.91	0.98	0.88	NA	NA	0.96	1.00	0.95	0.87	0.74	0.93	0.99	0.75	0.93
NM_001938|DR1|chr1|+	chr1:93826049-93830435	93827990	0.11	0.25	0.21	0.19	0.16	0.22	0.16	0.19	0.11	0.26	0.24	NA	NA	0.15	0.20	0.19	0.23	0.24	0.16	0.70	0.19	0.15	0.21	0.13	0.30	NA	0.70	0.18	0.14	0.24	0.20	0.20	0.21	0.21	0.18	0.24	NA	0.18	0.19	0.24	0.29	0.19	0.10	NA	0.14	0.20	0.22	0.25	0.23	0.22	0.30	0.21	0.25	0.20	0.19	0.21	0.31	0.28	0.69	0.27	0.22	0.27	0.20	0.23	0.22	NA	0.19	0.19	0.21
NM_001135256|RBBP4|chr1|+	chr1:33145240-33150892	33146192	0.06	0.08	0.03	0.07	0.04	0.05	0.07	0.06	0.07	0.05	0.07	0.06	0.14	0.04	0.07	0.07	0.04	0.05	0.02	0.13	0.08	0.04	0.09	0.04	0.16	0.21	0.21	0.06	0.05	0.04	0.06	0.07	0.04	0.05	0.04	0.03	0.23	0.17	0.10	0.14	0.06	0.08	0.07	0.09	0.10	0.06	0.04	0.05	0.06	0.04	0.05	0.10	0.08	0.09	0.04	0.05	0.04	0.07	0.12	0.13	0.05	0.04	0.04	0.07	0.05	0.05	0.04	0.02	0.11
NM_004578|RAB4A|chr1|+	chr1:229439552-229440127	229439727	0.54	0.60	0.69	0.63	0.68	0.65	0.54	0.71	0.62	0.65	0.63	NA	NA	0.57	0.59	0.53	0.57	0.63	0.62	NA	0.61	0.56	0.69	0.82	0.69	0.52	1.00	0.46	0.55	0.63	0.65	0.57	0.61	0.54	0.60	0.48	NA	0.55	0.59	0.59	0.65	0.51	0.57	NA	0.87	0.58	0.75	0.65	0.60	0.71	0.76	0.67	0.69	0.70	0.78	0.64	0.65	0.63	NA	0.52	0.75	0.56	0.76	0.52	0.59	0.60	0.64	0.58	0.57
NM_003820|TNFRSF14|chr1|+	chr1:2494586-2495312	2494801	0.87	1.00	0.86	0.83	0.83	0.65	0.90	0.84	0.82	0.88	0.71	0.77	0.96	0.80	0.78	0.71	0.83	0.82	0.70	NA	0.85	0.76	0.66	0.86	0.74	0.92	NA	0.90	0.93	0.86	0.80	0.74	0.92	0.80	0.81	0.96	NA	0.85	0.81	0.88	0.86	0.62	0.91	NA	0.28	0.78	0.91	0.78	0.79	1.00	0.81	0.74	0.75	0.94	0.91	0.81	1.00	0.85	NA	0.89	0.91	0.89	0.80	0.71	0.77	0.92	0.75	0.85	0.74
NM_017768|LRRC40|chr1|-	chr1:70610508-70611588	70611310	0.63	NA	NA	0.77	0.71	0.70	0.61	0.71	0.57	NA	0.64	NA	NA	NA	NA	0.82	0.64	0.67	0.76	NA	0.49	0.42	0.56	0.76	NA	NA	NA	0.51	0.72	0.95	0.82	0.95	NA	NA	0.63	NA	NA	NA	NA	NA	NA	NA	0.44	NA	0.81	0.83	0.79	0.95	0.63	NA	0.86	0.85	0.68	NA	0.53	0.84	NA	0.81	NA	NA	0.83	NA	0.74	0.63	0.78	NA	0.67	0.76	0.67
NM_080391|PTP4A2|chr1|-	chr1:32372010-32374561	32374304	0.48	0.40	0.40	0.42	0.47	0.52	0.52	0.52	0.32	0.48	0.63	0.29	0.34	0.27	0.41	0.47	0.59	0.36	0.45	0.50	0.41	0.46	0.56	0.36	0.61	0.52	0.67	0.42	0.40	0.31	0.32	0.53	0.53	0.53	0.52	0.48	0.65	0.56	0.60	0.60	0.35	0.29	0.47	0.57	0.39	0.51	0.42	0.53	0.61	0.48	0.35	0.54	0.47	0.62	0.41	0.45	0.30	0.40	0.69	0.39	0.37	0.44	0.45	0.44	0.49	0.49	0.42	0.14	0.54
NM_001146171|TATDN3|chr1|+	chr1:212988354-212990059	212988595	0.46	NA	0.56	0.38	0.51	0.42	0.44	0.53	0.41	NA	0.50	NA	NA	NA	0.45	0.51	0.52	0.41	0.56	NA	NA	0.48	0.59	0.62	0.46	NA	NA	0.53	0.36	0.57	0.41	0.45	0.50	0.56	0.59	0.53	NA	NA	0.49	0.68	0.57	0.45	0.54	NA	0.44	0.50	0.60	NA	0.41	0.55	NA	0.46	0.56	0.74	0.52	0.52	0.39	0.47	NA	NA	0.54	0.62	0.69	0.56	0.54	0.59	0.49	NA	0.59
NM_002870|RAB13|chr1|-	chr1:153954039-153954652	153954362	0.39	0.43	0.53	0.48	0.49	0.41	0.38	0.42	0.41	0.48	0.40	0.56	0.54	0.37	0.44	0.44	0.42	0.41	0.46	NA	0.60	0.38	0.48	0.47	0.39	0.55	0.89	0.38	0.46	0.50	0.45	0.44	0.46	0.43	0.40	0.44	NA	0.64	0.38	0.43	0.52	0.39	0.38	NA	0.49	0.33	0.50	0.43	0.36	0.49	0.50	0.42	0.51	0.47	0.45	0.48	0.52	0.43	NA	0.52	0.48	0.46	0.42	0.37	0.40	0.51	0.39	0.40	0.38
NM_006996|SLC19A2|chr1|-	chr1:169433125-169435215	169434761	NA	NA	NA	0.88	0.85	0.89	0.90	NA	0.84	NA	0.85	NA	NA	0.80	0.84	0.85	0.86	0.87	0.90	1.00	0.87	0.81	0.92	0.83	NA	NA	NA	0.86	NA	0.96	NA	0.89	0.94	0.93	0.88	NA	NA	NA	NA	0.96	0.98	NA	0.79	NA	0.86	0.93	0.96	NA	NA	0.99	0.94	NA	0.75	0.88	0.89	0.96	NA	0.94	1.00	0.79	0.96	0.87	0.92	0.86	0.92	0.97	NA	0.81	0.87
NM_001097613|GPR89A|chr1|-	chr1:145762546-145765225	145764710	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.05	0.03	0.04	NA	0.03	0.03	0.04	0.03	0.03	0.04	NA	0.05	0.03	0.05	0.02	0.04	NA	NA	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.03	0.04	NA	0.07	0.05	0.04	0.05	0.03	0.02	NA	0.05	0.03	0.04	0.04	0.02	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.04	NA	0.08	0.04	0.03	0.04	0.04	0.04	0.04	0.02	0.03	0.04
NM_001039703|NBPF10|chr1|+	chr1:145368440-145371511	145370135	0.05	0.08	0.06	0.05	0.03	0.03	0.03	0.04	0.03	0.05	0.03	0.02	0.10	0.02	0.04	0.02	0.03	0.03	0.07	0.17	0.03	0.03	0.04	0.06	0.04	NA	0.19	0.04	0.02	0.08	0.05	0.08	0.05	0.06	0.04	0.05	0.27	0.05	0.05	0.05	0.04	0.03	0.02	NA	0.03	0.04	0.05	0.05	0.03	0.06	0.04	0.04	0.05	0.06	0.05	0.07	0.08	0.04	0.29	0.03	0.04	0.06	0.06	0.03	0.04	0.11	0.04	0.02	0.05
NM_016076|PPPDE1|chr1|+	chr1:244868857-244872340	244869007	0.95	NA	0.93	0.94	0.96	0.88	0.97	0.89	0.91	0.99	0.94	0.77	NA	0.92	0.98	0.96	0.95	0.91	0.87	NA	0.74	0.94	0.91	1.00	0.95	NA	NA	0.86	1.00	0.98	0.97	1.00	0.96	0.97	0.92	0.96	NA	0.77	1.00	0.87	1.00	0.95	0.95	NA	0.87	0.93	0.92	0.97	1.00	0.89	0.94	1.00	0.92	0.97	0.97	1.00	NA	0.92	NA	0.87	0.94	0.94	1.00	0.85	0.95	1.00	1.00	0.96	0.97
NM_207171|POGZ|chr1|-	chr1:151375174-151378940	151377271	NA	0.97	0.95	0.92	0.96	0.82	0.92	0.84	0.90	0.92	0.82	NA	NA	0.86	0.85	0.84	0.84	0.92	0.90	NA	NA	0.85	0.83	NA	0.79	NA	NA	0.88	0.92	0.96	0.95	0.93	0.95	0.96	0.86	0.95	NA	NA	0.88	0.88	0.97	0.71	0.87	NA	NA	0.87	0.94	0.95	0.89	0.96	0.89	0.93	0.81	0.94	0.97	0.96	NA	0.89	NA	NA	0.93	0.90	0.96	0.80	0.91	0.95	0.89	0.86	0.83
