event_id	loci	Proximal_Site	TCGA-E9-A1RC-01A-11R-A157-07	TCGA-BH-A18N-01A-11R-A12D-07	TCGA-E9-A1R7-01A-11R-A14M-07	TCGA-GI-A2C9-01A-11R-A21T-07	TCGA-BH-A0AZ-01A-21R-A12P-07	TCGA-BH-A0DH-01A-11R-A084-07	TCGA-BH-A0B8-01A-21R-A056-07	TCGA-BH-A1EV-01A-11R-A137-07	TCGA-E9-A1RH-01A-21R-A169-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-BH-A0BM-01A-11R-A056-07	TCGA-E2-A1L7-01A-11R-A144-07	TCGA-BH-A0BV-01A-11R-A00Z-07	TCGA-BH-A18S-01A-11R-A12D-07	TCGA-BH-A0DP-01A-21R-A056-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-BH-A0H9-01A-11R-A056-07	TCGA-BH-A18P-01A-11R-A12D-07	TCGA-BH-A18U-01A-21R-A12D-07	TCGA-BH-A0BT-01A-11R-A12P-07	TCGA-BH-A0E1-01A-11R-A056-07	TCGA-AC-A23H-01A-11R-A157-07	TCGA-BH-A209-01A-11R-A157-07	TCGA-BH-A0DK-01A-21R-A056-07	TCGA-E9-A1RF-01A-11R-A157-07	TCGA-BH-A203-01A-12R-A169-07	TCGA-BH-A18L-01A-32R-A12D-07	TCGA-A7-A0DC-01A-11R-A00Z-07	TCGA-A7-A0DC-01B-04R-A22O-07	TCGA-AC-A2FF-01A-11R-A17B-07	TCGA-BH-A0AY-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-E2-A153-01A-12R-A12D-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-BH-A0E0-01A-11R-A056-07	TCGA-BH-A0DT-01A-21R-A12D-07	TCGA-BH-A18R-01A-11R-A12D-07	TCGA-E9-A1N9-01A-11R-A14D-07	TCGA-E2-A15I-01A-21R-A137-07	TCGA-AC-A2FB-01A-11R-A17B-07	TCGA-BH-A0BQ-01A-21R-A115-07	TCGA-BH-A0B7-01A-12R-A115-07	TCGA-BH-A0C3-01A-21R-A12P-07	TCGA-BH-A18Q-01A-12R-A12D-07	TCGA-E9-A1N6-01A-11R-A144-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-E2-A1LB-01A-11R-A144-07	TCGA-A7-A0DB-01A-11R-A277-07	TCGA-A7-A0DB-01A-11R-A00Z-07	TCGA-A7-A0DB-01C-02R-A277-07	TCGA-BH-A1F2-01A-31R-A13Q-07	TCGA-A7-A13G-01B-04R-A22O-07	TCGA-A7-A13G-01A-11R-A13Q-07	TCGA-BH-A0B5-01A-11R-A12P-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-BH-A1EN-01A-11R-A13Q-07	TCGA-BH-A18M-01A-11R-A12D-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-BH-A0HA-01A-11R-A12P-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-BH-A204-01A-11R-A157-07	TCGA-BH-A1FU-01A-11R-A14D-07	TCGA-A7-A0CE-01A-11R-A00Z-07	TCGA-E2-A15M-01A-11R-A12D-07	TCGA-E9-A1RD-01A-11R-A157-07	TCGA-BH-A0BJ-01A-11R-A056-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-BH-A0C0-01A-21R-A056-07	TCGA-BH-A18K-01A-11R-A12D-07	TCGA-E9-A1ND-01A-11R-A144-07	TCGA-BH-A0BC-01A-22R-A084-07	TCGA-BH-A1EU-01A-11R-A137-07	TCGA-A7-A0CH-01A-21R-A00Z-07	TCGA-E9-A1RB-01A-11R-A157-07	TCGA-BH-A208-01A-11R-A157-07	TCGA-BH-A0H5-01A-21R-A115-07	TCGA-BH-A0HK-01A-11R-A056-07	TCGA-E2-A1LS-01A-12R-A157-07	TCGA-E2-A1BC-01A-11R-A12P-07	TCGA-A7-A0D9-01A-31R-A056-07	TCGA-BH-A0DO-01B-11R-A12D-07	TCGA-BH-A0H7-01A-13R-A056-07	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13E-01A-11R-A277-07	TCGA-A7-A13E-01B-06R-A277-07	TCGA-A7-A13E-01A-11R-A12P-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E9-A1RI-01A-11R-A169-07	TCGA-E2-A15K-01A-11R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-E9-A1NF-01A-11R-A14D-07	TCGA-E2-A1IG-01A-11R-A144-07	TCGA-E2-A158-01A-11R-A12D-07	TCGA-BH-A0AU-01A-11R-A12P-07	TCGA-BH-A1FN-01A-11R-A13Q-07	TCGA-BH-A0DQ-01A-11R-A084-07	TCGA-BH-A0DV-01A-21R-A12P-07	TCGA-E9-A1N5-01A-11R-A14D-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-E9-A1NG-01A-21R-A14M-07	TCGA-BH-A1EO-01A-11R-A137-07	TCGA-E9-A1N4-01A-11R-A14M-07	TCGA-BH-A1FB-01A-11R-A13Q-07	TCGA-GI-A2C8-01A-11R-A16F-07
NM_015470|RAB11FIP5|chr2|-	chr2:73300433-73302852	73301936	0.97	0.99	1.00	0.99	0.99	1.00	0.93	0.98	1.00	0.98	1.00	1.00	0.98	1.00	1.00	1.00	0.99	0.98	0.99	1.00	1.00	0.99	NA	0.97	1.00	1.00	0.98	0.99	NA	1.00	1.00	NA	1.00	0.99	1.00	0.99	0.98	0.98	1.00	1.00	1.00	1.00	0.96	0.97	1.00	1.00	1.00	NA	1.00	NA	NA	NA	1.00	0.98	0.99	0.99	0.98	1.00	1.00	1.00	1.00	1.00	0.98	1.00	1.00	0.98	0.99	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.94	1.00	1.00	0.95	0.99	0.99	0.99	NA	NA	0.97	0.99	1.00	1.00	0.98	1.00	1.00	1.00	0.94	1.00	1.00	0.99	1.00	1.00	NA	1.00	0.99	0.99	1.00	0.99
NM_001743|CALM2|chr2|-	chr2:47387312-47387943	47387638	1.00	0.97	0.90	0.86	1.00	0.95	1.00	0.89	0.83	1.00	1.00	0.91	0.96	0.94	0.95	1.00	0.94	0.90	0.91	1.00	1.00	0.92	0.98	0.97	1.00	0.98	0.88	1.00	1.00	0.91	1.00	0.93	1.00	0.93	1.00	0.92	0.92	0.99	0.83	0.90	1.00	0.97	0.88	0.93	0.95	0.98	1.00	0.98	0.98	1.00	0.93	1.00	0.92	0.98	0.89	0.88	0.91	0.87	1.00	0.99	0.94	0.93	1.00	0.93	1.00	1.00	0.88	0.95	1.00	0.94	0.93	0.85	0.97	1.00	1.00	0.97	0.93	1.00	0.96	0.95	0.96	0.99	0.91	1.00	1.00	0.92	0.81	0.94	0.98	1.00	1.00	0.95	0.97	0.84	0.88	0.95	1.00	1.00	0.87	1.00	0.99	0.88	0.87	0.90	0.93
NM_003038|SLC1A4|chr2|+	chr2:65248045-65251216	65249995	0.46	0.54	0.68	0.56	0.95	0.48	0.45	0.65	0.35	0.33	0.96	0.71	0.61	0.72	0.60	0.63	0.53	0.62	0.76	0.88	0.82	0.61	0.61	0.72	NA	0.89	0.47	0.53	0.60	0.48	0.81	0.59	0.53	0.51	0.62	0.64	0.60	0.73	0.61	0.46	0.64	0.61	0.27	0.60	0.65	0.59	0.67	0.34	0.62	NA	1.00	0.76	0.68	0.54	0.42	0.49	0.63	0.64	1.00	0.54	0.83	0.53	0.62	0.78	0.85	0.66	0.39	0.59	0.76	0.65	0.53	0.54	0.77	0.66	0.73	0.66	0.61	NA	0.84	0.50	0.72	0.44	0.55	NA	NA	NA	0.71	0.77	0.57	0.60	0.89	0.78	NA	0.57	0.66	0.83	0.59	0.47	0.50	0.83	0.71	0.60	0.53	0.62	0.67
NM_001257197|CUL3|chr2|-	chr2:225337516-225339093	225338714	0.15	0.19	0.16	0.16	0.13	0.16	0.18	0.12	0.12	0.17	0.16	0.16	0.14	0.13	0.16	0.12	0.23	0.18	0.17	0.12	0.10	0.10	0.16	0.11	0.12	0.14	0.20	0.22	NA	0.17	0.09	0.14	0.16	0.21	0.07	0.16	0.19	0.24	0.19	0.16	0.11	0.14	0.13	0.17	0.12	0.13	0.10	0.19	0.16	0.49	0.17	NA	0.12	0.19	0.11	0.13	0.16	0.11	0.09	0.11	0.23	0.12	0.16	0.15	0.14	0.14	0.13	0.15	0.12	0.11	0.16	0.20	0.13	0.15	0.12	0.16	0.17	0.13	0.15	0.12	0.13	0.16	0.10	0.12	0.50	0.12	0.16	0.18	0.12	0.11	0.16	0.16	0.14	0.18	0.10	0.19	0.13	0.17	0.25	0.10	0.16	0.18	0.16	0.21	0.17
NM_001204|BMPR2|chr2|+	chr2:203424418-203432492	203424620	0.40	0.56	0.81	0.61	0.52	0.55	0.44	0.65	0.61	0.42	0.62	0.60	0.44	0.59	0.70	0.51	0.81	0.56	0.61	0.35	0.41	0.47	0.45	0.42	0.51	0.59	0.55	0.51	0.14	0.63	0.35	0.37	0.54	0.65	0.31	0.64	0.52	0.66	0.83	0.62	0.47	0.57	0.65	0.58	0.62	0.45	0.50	0.66	0.70	1.00	0.81	0.18	0.58	0.50	0.45	0.60	0.59	0.69	0.48	0.49	0.59	0.55	0.49	0.71	0.51	0.56	0.47	0.60	0.54	0.54	0.67	0.76	0.79	0.53	0.51	0.56	0.65	0.56	0.57	0.59	0.57	0.50	0.64	0.52	1.00	0.38	0.60	0.69	0.50	0.42	0.66	0.55	0.66	0.58	0.61	0.64	0.48	0.50	0.62	0.38	0.60	0.86	0.74	0.71	0.59
NM_005966|NAB1|chr2|+	chr2:191554970-191557503	191555226	0.66	0.82	NA	0.89	0.68	NA	NA	NA	0.82	0.85	0.78	0.88	0.68	0.87	0.89	0.76	0.85	0.82	0.84	0.93	0.49	0.78	0.74	0.57	0.78	0.89	0.81	0.81	NA	0.80	0.56	0.80	0.86	0.92	0.64	0.87	0.79	0.70	0.84	0.83	0.82	0.75	0.80	0.80	0.84	0.78	0.72	0.76	0.88	NA	0.95	0.31	0.77	0.59	0.68	0.77	0.82	0.82	0.89	0.81	0.67	0.75	0.67	0.80	0.79	0.69	0.72	0.86	0.89	0.89	0.87	0.84	0.92	0.84	0.76	0.91	0.73	0.81	0.84	0.51	0.84	0.69	0.80	0.69	0.99	0.81	0.75	0.91	0.90	0.74	0.83	0.78	0.86	0.81	0.75	0.91	0.68	0.77	0.83	0.79	0.82	0.90	0.77	0.78	0.80
NM_016516|VPS54|chr2|-	chr2:64118898-64120669	64120263	0.31	0.43	0.35	0.41	0.41	0.43	0.42	0.34	0.28	0.29	0.62	0.32	0.28	0.37	0.48	0.35	0.52	0.39	0.34	0.37	0.35	0.31	0.30	0.38	0.38	0.35	0.37	0.42	NA	0.35	0.24	0.32	0.46	0.58	0.41	0.37	0.41	0.38	0.47	0.37	0.31	0.44	0.26	0.36	0.42	0.31	0.42	0.33	0.40	NA	0.71	NA	0.30	0.35	0.30	0.40	0.40	0.35	0.46	0.35	0.36	0.32	0.39	0.31	0.33	0.38	0.38	0.54	0.45	0.36	0.44	0.43	0.48	0.29	0.35	0.36	0.45	0.54	0.34	0.46	0.40	0.40	0.45	0.30	NA	0.35	0.50	0.42	0.36	0.24	0.41	0.36	0.42	0.46	0.38	0.37	0.49	0.28	0.47	0.58	0.40	0.46	0.36	0.38	0.32
NM_005795|CALCRL|chr2|-	chr2:188206742-188211126	188208569	NA	0.12	0.09	NA	0.16	0.16	0.12	NA	NA	NA	0.49	NA	0.14	NA	0.27	0.13	0.31	0.18	NA	0.19	0.11	NA	NA	0.20	0.11	NA	0.19	NA	NA	0.22	NA	NA	0.16	0.19	NA	0.16	NA	0.10	0.27	0.21	NA	0.12	0.21	0.13	NA	NA	0.13	NA	0.48	NA	0.28	NA	NA	NA	NA	0.17	0.14	0.12	0.20	NA	0.09	0.12	0.12	0.11	0.08	0.13	NA	0.55	0.20	NA	0.46	0.27	0.36	NA	0.11	NA	0.38	0.39	0.19	0.15	0.20	NA	0.17	NA	NA	NA	NA	0.26	NA	0.17	0.11	0.10	NA	0.15	NA	0.19	0.21	0.14	NA	NA	0.10	0.26	0.16	0.22	0.17
NM_022648|TNS1|chr2|-	chr2:218664498-218669326	218669176	0.88	0.91	0.96	0.98	0.66	0.93	0.79	0.87	0.87	0.84	0.87	0.88	0.85	0.85	0.84	0.90	0.79	0.92	0.76	1.00	1.00	0.80	1.00	0.80	0.84	0.92	0.75	0.82	0.72	0.80	0.81	NA	0.83	0.80	0.87	0.74	0.80	0.90	0.86	0.82	0.83	0.90	0.85	0.88	0.93	0.91	0.93	0.70	0.86	NA	0.47	0.68	0.77	0.81	0.76	0.82	0.80	0.90	1.00	NA	0.60	0.91	0.84	0.86	0.66	0.89	0.96	0.74	0.78	0.78	0.82	0.68	0.88	0.72	0.70	0.94	0.86	NA	0.88	0.97	0.77	0.81	0.79	0.78	NA	0.93	0.91	0.76	0.89	0.64	0.78	0.89	NA	0.95	0.60	0.93	0.73	0.82	0.92	NA	0.95	0.68	0.84	0.76	0.95
NM_198963|DHX57|chr2|-	chr2:39024876-39025584	39025364	0.87	0.95	0.79	0.91	0.76	0.79	0.46	0.71	0.83	0.73	1.00	0.91	0.70	0.84	0.95	0.80	0.91	0.70	0.82	0.92	0.90	NA	0.76	0.56	0.91	0.90	0.85	0.76	NA	0.85	0.83	0.80	0.77	0.94	0.91	0.90	0.80	0.91	0.95	0.79	0.83	0.77	0.67	0.86	0.86	0.79	0.76	NA	0.96	NA	1.00	NA	0.86	0.81	NA	0.87	0.87	0.73	0.99	0.86	0.74	0.82	0.82	0.79	0.85	0.87	0.84	0.77	0.98	0.85	0.81	0.88	0.94	0.84	NA	0.85	0.71	0.96	0.91	0.62	0.84	0.72	0.74	0.53	NA	0.79	0.74	0.81	0.78	0.81	0.83	0.93	0.78	0.82	0.99	0.77	0.72	0.95	0.72	0.94	0.80	0.93	0.92	0.73	0.77
