event_id	loci	Proximal_Site	TCGA-CV-7235-01A-11R-2016-07	TCGA-CV-6962-01A-11R-1915-07	TCGA-HD-A6I0-01A-11R-A31N-07	TCGA-CV-7255-01A-11R-2016-07	TCGA-CV-6935-01A-11R-1915-07	TCGA-CV-6939-01A-11R-1915-07	TCGA-CV-7250-01A-11R-2016-07	TCGA-CV-6936-01A-11R-1915-07	TCGA-CV-6938-01A-11R-1915-07	TCGA-CV-7440-01A-11R-2132-07	TCGA-CV-7425-01A-11R-2081-07	TCGA-CV-7177-01A-11R-2016-07	TCGA-CV-6933-01A-11R-1915-07	TCGA-CV-6955-01A-11R-2016-07	TCGA-CV-7091-01A-11R-2016-07	TCGA-CV-6960-01A-41R-2016-07	TCGA-CV-7261-01A-11R-2016-07	TCGA-CV-7432-01A-11R-2132-07	TCGA-CV-7252-01A-11R-2016-07	TCGA-CV-6934-01A-11R-1915-07	TCGA-CV-7434-01A-11R-2132-07	TCGA-CV-7183-01A-11R-2016-07	TCGA-CV-6956-01A-21R-2016-07	TCGA-HD-A6HZ-01A-12R-A31N-07	TCGA-CV-7438-01A-21R-2132-07	TCGA-CV-7103-01A-21R-2016-07	TCGA-CV-7097-01A-11R-2016-07	TCGA-CV-7101-01A-11R-2016-07	TCGA-CV-6959-01A-11R-1915-07	TCGA-CV-7437-01A-21R-2132-07	TCGA-HD-8635-01A-11R-2403-07	TCGA-CV-7424-01A-11R-2081-07	TCGA-CV-7242-01A-11R-2016-07	TCGA-CV-7406-01A-11R-2081-07	TCGA-WA-A7GZ-01A-11R-A34R-07	TCGA-H7-A6C4-01A-11R-A30B-07	TCGA-CV-7178-01A-21R-2016-07	TCGA-CV-7238-01A-11R-2016-07	TCGA-CV-7423-01A-11R-2081-07	TCGA-CV-7245-01A-11R-2016-07	TCGA-CV-6943-01A-11R-1915-07	TCGA-CV-7416-01A-11R-2081-07	TCGA-CV-6961-01A-21R-1915-07
NM_005727|TSPAN1|chr1|+	chr1:46651157-46653883	46651595	NA	NA	0.01	0.00	0.00	0.00	0.01	NA	0.01	0.00	NA	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.01	NA	0.00	0.01	0.01	0.01	0.01	NA	0.00	0.00	0.00	0.00	NA	0.01	0.01	0.01	0.01	NA	0.02	NA	0.01	0.00	0.01	0.00
NM_152493|ZNF362|chr1|+	chr1:33764530-33766320	33764908	0.73	0.80	NA	0.76	0.86	0.86	NA	NA	0.86	0.73	0.73	0.68	0.87	NA	0.81	0.74	0.78	NA	0.83	0.77	0.76	NA	0.79	0.93	0.83	0.76	0.67	0.70	0.72	0.78	0.78	0.97	0.88	0.70	0.92	NA	0.83	0.88	0.61	0.80	0.79	0.71	0.81
NM_198551|MIA3|chr1|+	chr1:222838650-222839479	222839007	0.45	0.41	0.93	0.43	0.45	0.55	0.55	0.38	0.64	0.42	0.46	0.42	0.46	0.41	0.62	0.48	0.49	0.38	0.62	0.58	0.41	0.43	0.48	0.74	0.40	0.54	0.50	0.54	0.45	0.45	0.43	0.52	0.46	0.50	0.54	0.55	0.43	0.55	0.41	0.42	0.37	0.47	0.48
NM_018704|CTTNBP2NL|chr1|+	chr1:112998552-113003787	113000078	0.88	0.85	NA	0.69	0.72	0.82	0.92	NA	0.94	0.76	0.92	0.66	0.89	0.86	0.83	0.90	0.85	0.88	0.82	0.91	0.79	0.76	0.93	1.00	0.85	0.87	0.74	0.70	0.61	NA	0.73	NA	0.84	0.84	0.89	0.91	0.84	NA	0.77	0.89	0.77	0.67	0.72
NM_003125|SPRR1B|chr1|+	chr1:153004802-153005377	153005062	NA	0.86	1.00	0.73	0.76	0.82	0.75	0.79	1.00	0.87	1.00	0.73	0.83	0.83	0.81	0.88	0.81	0.79	0.82	0.77	0.83	0.94	0.92	0.92	0.97	0.81	0.79	0.70	0.72	0.90	0.86	0.92	0.76	0.79	0.92	0.94	0.92	0.93	0.75	0.80	0.74	0.88	0.75
NM_000646|AGL|chr1|+	chr1:100387089-100389582	100387272	NA	0.71	NA	0.77	0.62	0.69	0.72	NA	NA	0.63	NA	0.72	NA	NA	0.74	0.74	NA	NA	0.76	0.60	NA	NA	0.89	0.88	0.45	NA	0.80	0.76	0.66	0.46	0.72	NA	NA	0.73	0.53	NA	0.84	NA	NA	NA	0.67	0.49	0.69
NM_147161|ACOT11|chr1|+	chr1:55074629-55077068	55075758	NA	0.21	NA	0.20	NA	0.30	0.29	NA	0.30	0.17	0.23	0.26	0.30	0.24	0.25	0.26	NA	0.21	0.23	NA	NA	0.27	0.27	0.37	0.31	NA	0.21	NA	0.17	NA	0.28	NA	0.26	0.25	0.21	0.26	0.22	0.30	0.21	NA	0.19	0.23	0.19
NM_005547|IVL|chr1|+	chr1:152882254-152884372	152882860	0.82	0.93	1.00	0.85	0.95	0.77	0.81	0.94	0.84	NA	0.92	0.83	0.95	0.86	0.84	0.92	0.84	0.91	0.86	0.97	0.90	0.88	0.98	0.85	0.96	0.89	0.84	0.87	0.88	0.84	0.90	NA	0.94	0.91	0.96	0.94	0.87	0.88	0.89	0.90	0.91	0.82	0.90
NM_002953|RPS6KA1|chr1|+	chr1:26900569-26901518	26900719	0.75	0.77	0.99	0.67	0.68	0.83	0.71	0.75	0.92	0.71	0.82	0.64	0.80	0.76	0.79	0.80	0.68	0.81	0.78	0.88	0.79	0.71	0.76	0.82	0.89	0.76	0.74	0.79	0.67	0.86	0.74	0.92	0.76	0.73	0.82	0.89	0.64	0.86	0.74	0.65	0.74	0.70	0.73
NM_015888|HOOK1|chr1|+	chr1:60338466-60342024	60338747	NA	0.58	NA	0.54	NA	0.69	NA	NA	NA	0.62	0.71	NA	0.68	0.69	0.65	0.73	0.61	0.58	NA	NA	NA	0.73	0.79	0.88	NA	NA	0.77	NA	0.57	0.67	0.79	NA	0.66	0.72	0.70	0.81	0.64	NA	NA	0.73	0.67	0.63	0.62
NM_014810|CEP350|chr1|+	chr1:180080131-180084024	180080323	0.64	0.65	0.02	0.69	0.69	0.75	0.75	0.72	0.58	0.69	NA	0.61	0.57	NA	0.77	0.43	0.69	0.66	0.59	0.67	0.65	NA	NA	0.82	0.78	0.69	0.77	0.65	0.77	0.65	0.62	0.63	0.66	0.78	0.67	NA	0.71	NA	0.70	0.76	0.72	0.62	0.65
NM_002857|PEX19|chr1|-	chr1:160246528-160249424	160248315	0.43	0.41	NA	0.52	0.60	0.52	0.37	0.51	0.69	0.35	0.45	0.41	0.41	0.46	0.43	0.68	0.35	0.62	0.64	0.48	0.62	0.45	0.47	0.54	0.66	0.37	0.45	0.43	0.35	0.39	0.45	0.56	0.52	0.36	0.44	0.57	0.55	0.61	0.61	0.43	0.43	0.49	0.35
NM_003820|TNFRSF14|chr1|+	chr1:2494586-2495263	2494820	0.93	NA	1.00	0.83	0.78	0.86	0.90	0.91	1.00	1.00	0.90	0.98	0.99	0.97	0.99	1.00	0.86	0.92	0.92	0.89	0.96	NA	NA	0.94	1.00	0.99	0.98	0.95	0.86	0.98	0.84	1.00	0.96	0.95	0.92	1.00	0.87	1.00	NA	0.98	0.93	0.83	0.75
NM_015172|PRRC2C|chr1|+	chr1:171560725-171562640	171560979	0.76	0.77	NA	0.72	0.64	0.80	0.72	0.76	0.90	0.67	0.87	0.64	0.79	0.69	0.73	0.79	0.70	0.79	0.77	0.83	0.76	0.71	0.80	0.85	0.76	0.78	0.71	0.64	0.63	0.78	0.76	0.92	0.79	0.75	0.91	0.87	0.74	0.88	0.72	0.74	0.69	0.69	0.68
NM_018178|GOLPH3L|chr1|-	chr1:150618700-150621224	150620747	NA	0.57	NA	0.74	0.75	0.74	NA	0.73	0.77	NA	0.77	0.71	0.72	0.74	0.76	NA	0.64	0.76	0.76	0.83	0.76	0.71	0.81	0.75	0.77	0.84	0.84	0.61	0.67	0.64	0.70	0.90	0.70	0.74	0.69	0.90	0.71	0.84	0.75	NA	0.69	NA	0.55
NM_144695|BROX|chr1|+	chr1:222905969-222908537	222906119	0.76	0.74	NA	0.70	0.72	0.73	0.82	0.81	0.80	0.71	0.93	0.74	0.77	0.74	0.74	0.81	0.71	0.73	0.77	0.77	0.68	0.85	0.77	0.77	0.68	0.83	0.81	0.69	0.63	0.69	0.83	0.81	0.83	0.77	0.76	0.82	0.77	0.84	0.72	0.80	0.66	0.70	0.70
NM_007158|CSDE1|chr1|-	chr1:115259535-115260837	115260670	0.57	0.44	0.68	0.57	0.67	0.76	0.64	0.66	0.66	0.58	0.74	0.59	0.54	0.58	0.63	0.65	0.40	0.58	0.59	0.68	0.55	0.58	0.62	0.80	0.61	0.67	0.65	0.64	0.54	0.47	0.73	0.56	0.73	0.66	0.52	0.67	0.62	0.79	0.57	0.59	0.58	0.60	0.56
NM_018230|NUP133|chr1|-	chr1:229577028-229577787	229577637	0.78	0.84	0.97	0.91	0.86	0.86	0.92	0.86	0.84	0.83	0.92	0.86	0.85	0.74	0.92	0.90	0.87	0.87	0.84	0.81	0.80	0.88	0.90	0.87	0.82	0.91	0.89	0.87	0.95	0.80	0.89	0.87	0.79	0.90	0.82	0.83	0.80	0.91	0.73	0.81	0.85	0.80	0.77
NM_032315|SLC25A33|chr1|+	chr1:9642356-9642923	9642610	0.69	0.61	NA	NA	NA	0.69	0.66	0.61	NA	NA	NA	NA	0.71	NA	0.58	0.71	0.63	NA	0.62	0.64	0.56	NA	0.71	NA	NA	0.80	0.67	0.78	NA	0.62	0.55	0.67	0.66	0.59	0.70	NA	NA	NA	NA	0.65	NA	0.62	0.64
NM_015269|ZCCHC11|chr1|-	chr1:52889068-52889674	52889451	0.18	0.15	NA	0.19	NA	0.20	0.19	0.14	0.18	0.16	0.36	NA	0.15	NA	0.22	0.13	0.30	NA	0.16	0.15	0.16	NA	NA	0.17	0.11	0.13	0.22	NA	0.17	NA	0.19	0.24	0.34	0.12	0.07	NA	0.26	0.22	NA	NA	0.13	0.09	0.15
NM_020832|ZNF687|chr1|+	chr1:151263190-151264171	151263662	0.91	0.97	NA	0.82	0.73	0.90	0.96	0.86	1.00	0.90	0.93	0.74	1.00	0.89	0.89	0.95	0.90	0.93	0.94	0.93	0.76	NA	0.95	0.98	0.97	0.97	0.92	0.84	0.86	0.97	0.77	0.96	0.83	0.85	0.98	1.00	0.89	0.98	0.95	0.84	0.85	0.92	0.85
NM_022716|PRRX1|chr1|+	chr1:170705188-170708563	170705481	0.91	NA	NA	NA	0.82	0.85	NA	0.83	NA	NA	NA	0.76	0.84	NA	0.89	NA	0.81	NA	0.87	0.81	NA	NA	0.88	0.79	0.80	0.85	0.85	0.73	0.71	NA	0.78	0.86	NA	0.81	0.90	NA	0.84	0.90	0.87	0.86	0.80	0.83	0.77
NM_014437|SLC39A1|chr1|-	chr1:153931584-153933230	153933077	0.88	0.84	0.99	0.88	0.86	0.87	0.89	0.89	0.92	0.88	0.90	0.84	0.91	0.91	0.90	0.90	0.86	0.90	0.89	0.92	0.88	0.90	0.91	0.90	0.94	0.93	0.88	0.85	0.78	0.89	0.88	0.95	0.90	0.87	0.92	0.90	0.88	0.89	0.88	0.89	0.89	0.86	0.87
NM_001618|PARP1|chr1|-	chr1:226548402-226549242	226548793	0.22	0.20	0.40	0.27	0.26	0.30	0.23	0.24	0.31	0.27	0.25	0.24	0.25	0.25	0.26	0.19	0.19	0.20	0.23	0.31	0.22	0.31	0.24	0.35	0.24	0.17	0.27	0.20	0.21	0.19	0.26	0.25	0.26	0.22	0.14	0.34	0.28	0.31	0.20	0.28	0.25	0.27	0.18
NM_020699|GATAD2B|chr1|-	chr1:153777198-153782786	153779001	0.19	0.12	NA	0.18	0.41	0.40	NA	0.47	NA	0.26	NA	0.20	0.33	NA	0.28	0.24	0.19	0.16	NA	0.40	0.25	NA	NA	0.33	0.39	0.25	0.20	0.14	0.19	0.21	NA	0.32	0.30	0.19	NA	NA	0.29	NA	NA	0.19	0.33	0.17	0.17
NM_001018001|KAZN|chr1|+	chr1:15392125-15394646	15392703	0.57	NA	0.37	0.92	NA	0.94	0.84	0.93	0.92	NA	0.88	0.93	0.79	0.52	0.81	0.79	0.87	0.89	0.87	NA	0.91	0.86	0.97	NA	1.00	0.59	NA	0.78	0.86	0.75	0.88	NA	0.77	0.86	0.89	0.91	0.86	0.85	0.90	0.75	0.87	0.94	0.73
NM_032236|USP48|chr1|-	chr1:22005126-22005932	22005721	0.24	0.13	0.32	0.28	0.22	0.19	0.22	0.19	0.19	0.14	0.18	0.30	0.12	0.24	0.21	0.20	0.16	0.23	0.19	0.30	0.21	0.23	0.22	0.24	0.18	0.14	0.21	0.19	0.21	0.21	0.23	0.21	0.21	0.20	0.29	0.21	0.23	0.24	0.15	0.17	0.23	0.23	0.22
NM_014654|SDC3|chr1|-	chr1:31342279-31346224	31344861	0.98	NA	NA	0.92	0.99	0.97	NA	0.99	1.00	NA	NA	0.94	NA	NA	0.99	1.00	0.95	NA	0.99	1.00	0.97	NA	NA	0.97	0.99	0.98	0.99	0.95	0.92	0.99	0.96	1.00	NA	0.98	0.98	NA	0.97	0.98	0.93	NA	0.98	0.83	0.97
NM_002838|PTPRC|chr1|+	chr1:198725034-198726440	198725613	0.59	NA	NA	NA	NA	0.59	NA	0.53	0.61	NA	0.60	0.64	0.66	0.68	0.59	NA	0.65	NA	0.64	0.47	0.42	NA	NA	0.55	0.29	0.69	0.64	0.52	0.45	NA	0.49	0.63	0.62	NA	NA	0.77	0.65	0.66	NA	NA	0.51	0.50	0.44
NM_014655|SLC25A44|chr1|+	chr1:156180030-156182777	156180249	0.93	0.90	NA	0.92	0.90	0.92	0.93	0.93	0.91	0.95	0.94	0.89	0.94	0.92	0.93	0.87	0.96	0.98	0.87	0.95	0.91	0.93	0.87	0.92	0.96	0.92	0.94	0.88	0.88	0.91	0.95	0.97	0.91	0.93	0.92	0.94	0.90	0.89	0.93	0.94	0.95	0.90	0.89
NM_016308|CMPK1|chr1|+	chr1:47842375-47844516	47843212	0.69	0.57	NA	0.62	0.51	0.68	0.59	0.66	0.78	0.57	0.75	0.60	0.68	0.62	0.63	0.67	0.60	0.52	0.58	0.63	0.48	0.60	0.76	0.78	0.58	0.64	0.73	0.56	0.57	0.45	0.72	0.56	0.70	0.62	0.61	0.78	0.64	0.75	0.52	0.62	0.59	0.49	0.60
NM_005839|SRRM1|chr1|+	chr1:24998672-24999773	24998822	1.00	0.96	NA	0.98	0.99	0.99	1.00	0.96	0.99	0.95	1.00	0.98	1.00	0.97	1.00	1.00	1.00	0.98	0.99	0.96	0.92	0.98	0.99	0.97	0.95	1.00	0.99	1.00	0.91	0.96	1.00	0.98	1.00	0.98	0.98	0.95	0.99	1.00	0.95	0.99	0.92	0.98	0.93
NM_053055|THEM4|chr1|-	chr1:151843357-151847404	151846711	0.19	NA	NA	0.23	0.27	0.17	0.08	0.26	NA	0.08	0.25	NA	0.17	NA	0.19	0.06	0.31	NA	0.20	0.16	0.22	NA	0.20	NA	0.09	0.11	0.27	0.09	0.23	0.16	0.08	0.22	0.23	0.22	NA	NA	0.21	0.12	0.25	NA	NA	NA	NA
NM_001195752|THAP3|chr1|+	chr1:6692855-6693658	6693297	0.94	0.96	1.00	0.94	NA	0.99	0.95	0.99	1.00	0.93	NA	NA	NA	NA	0.93	0.90	0.82	0.92	0.95	0.92	0.95	NA	1.00	1.00	0.97	0.97	0.97	NA	0.95	NA	0.96	1.00	0.95	1.00	1.00	NA	NA	1.00	NA	NA	0.95	0.92	0.92
NM_018072|HEATR1|chr1|-	chr1:236713737-236714290	236714140	0.60	0.49	0.69	0.60	0.82	0.72	0.57	0.61	0.58	0.46	0.69	0.60	0.61	0.79	0.48	0.47	0.58	0.59	0.53	0.79	0.60	0.55	0.57	0.77	0.55	0.53	0.51	0.72	0.60	0.55	0.72	0.52	0.72	0.70	0.61	0.56	0.48	0.69	0.56	0.54	0.73	0.64	0.56
NM_006589|FAM189B|chr1|-	chr1:155216996-155217746	155217346	0.93	0.97	1.00	0.98	0.97	0.94	0.97	0.95	0.96	0.98	0.90	0.95	0.95	1.00	0.93	0.97	0.95	0.97	0.96	0.91	0.92	0.92	0.98	1.00	0.98	0.97	0.97	0.94	0.95	0.98	0.92	1.00	0.93	0.94	0.98	1.00	0.98	0.97	0.94	0.95	0.97	0.95	0.94
NM_001256604|C1orf85|chr1|-	chr1:156262476-156263000	156262781	0.89	0.84	1.00	0.82	0.89	0.83	0.86	0.87	0.91	0.86	0.78	0.86	0.90	0.92	0.88	0.91	0.91	0.83	0.93	0.81	0.81	0.87	0.90	0.95	0.90	0.91	0.90	0.78	0.83	0.88	0.89	0.88	0.84	0.86	0.92	0.97	0.91	0.95	0.87	0.92	0.81	0.78	0.79
NM_002023|FMOD|chr1|-	chr1:203309740-203311622	203311469	0.92	NA	NA	0.84	0.91	0.96	NA	0.88	NA	0.98	0.97	0.90	0.93	NA	0.95	0.86	0.95	NA	0.93	0.87	0.90	0.97	0.95	0.93	0.94	0.93	0.94	0.87	0.86	NA	0.95	0.96	0.93	0.89	0.95	0.98	0.94	0.97	0.90	0.98	0.93	0.94	0.93
NM_001039577|CCNL2|chr1|-	chr1:1326246-1328183	1327816	0.26	0.31	NA	0.21	NA	0.69	0.46	0.72	0.21	NA	0.51	NA	0.67	NA	0.56	0.31	0.52	0.23	0.40	0.65	0.30	0.15	0.59	0.88	0.51	0.48	0.37	NA	0.51	0.16	0.69	0.79	0.73	0.47	0.54	0.42	0.44	0.79	0.28	0.25	NA	0.37	0.26
NM_024544|MUL1|chr1|-	chr1:20825930-20827912	20827762	0.96	0.93	NA	0.93	0.91	0.91	0.95	0.95	0.97	0.91	0.95	0.96	0.97	0.89	0.95	0.97	0.92	0.96	0.94	0.97	0.95	0.91	0.96	0.88	0.97	0.96	0.95	0.93	0.92	0.94	0.94	0.94	0.96	0.94	0.89	0.97	0.95	0.97	0.89	0.94	0.96	0.89	0.97
NM_012090|MACF1|chr1|+	chr1:39951209-39952693	39951590	0.47	0.54	0.98	0.48	0.58	0.68	0.49	0.51	0.64	0.51	0.54	0.52	0.58	0.57	0.57	0.56	0.45	0.53	0.57	0.57	0.47	0.54	0.59	0.78	0.61	0.59	0.54	0.54	0.44	0.60	0.58	0.69	0.56	0.58	0.65	0.70	0.53	0.66	0.49	0.53	0.52	0.53	0.50
NM_013328|PYCR2|chr1|-	chr1:226107581-226108320	226108170	0.81	0.85	0.99	0.84	0.87	0.94	0.82	0.86	0.83	0.79	0.80	0.74	0.84	0.88	0.85	0.88	0.79	0.82	0.81	0.91	0.83	0.85	0.81	0.95	0.86	0.87	0.78	0.80	0.85	0.85	0.79	0.91	0.93	0.85	0.93	0.88	0.79	0.87	0.80	0.82	0.82	0.77	0.89
NM_001164245|C1orf27|chr1|+	chr1:186388140-186390502	186388290	NA	0.50	0.07	0.76	0.74	0.76	0.61	0.58	0.64	0.38	NA	0.78	0.55	NA	0.64	0.41	0.81	0.60	NA	0.71	0.64	NA	0.71	0.61	0.72	NA	0.64	0.78	0.69	0.39	0.69	0.63	0.68	0.65	0.59	NA	0.60	NA	0.48	0.54	NA	0.62	0.51
NR_026900|FLJ23867|chr1|+	chr1:180167143-180173321	180169402	0.06	0.06	NA	0.08	0.25	0.18	0.05	0.10	0.04	0.06	0.09	0.09	0.07	0.05	0.06	0.05	0.12	0.06	0.08	0.08	0.10	0.10	0.07	0.10	0.09	0.05	0.05	0.16	0.08	0.09	0.09	0.07	0.04	0.09	0.07	0.09	0.15	0.06	0.09	0.07	0.06	0.10	0.04
NM_006617|NES|chr1|-	chr1:156638530-156642997	156640840	0.85	0.94	NA	0.92	0.95	NA	NA	NA	0.90	0.79	NA	0.82	0.96	NA	NA	0.93	0.91	NA	NA	0.91	NA	NA	0.93	0.90	0.85	0.83	0.83	NA	0.93	NA	0.87	NA	NA	0.82	0.95	0.95	0.92	0.95	NA	NA	0.92	NA	0.94
NM_018845|SLC50A1|chr1|+	chr1:155110655-155111334	155110915	0.57	0.68	0.99	0.66	0.64	0.57	0.56	0.63	0.69	0.57	0.66	0.60	0.60	0.69	0.66	0.64	0.62	0.63	0.62	0.86	0.63	0.66	0.74	0.76	0.79	0.63	0.64	0.59	0.60	0.69	0.62	0.76	0.76	0.63	0.56	0.75	0.61	0.63	0.67	0.60	0.63	0.67	0.61
NM_016040|TMED5|chr1|-	chr1:93615376-93620445	93617456	0.16	0.14	NA	0.13	0.18	0.21	0.21	0.26	0.23	0.17	0.19	0.17	0.26	0.16	0.16	0.17	0.11	0.20	0.31	0.25	0.26	0.20	0.38	0.23	0.22	0.17	0.13	0.14	0.19	0.19	0.28	0.21	0.25	0.14	0.15	0.22	0.23	0.16	0.18	0.16	0.25	0.28	0.19
NM_001134486|GBP5|chr1|-	chr1:89722522-89726500	89726310	0.18	NA	0.04	NA	NA	0.27	0.20	0.27	0.27	NA	0.28	NA	NA	0.20	NA	0.20	0.29	0.17	0.20	0.30	0.22	NA	NA	0.30	0.26	NA	0.29	0.29	0.25	NA	0.30	0.27	0.25	0.20	NA	0.18	0.21	0.20	NA	NA	0.35	NA	0.18
NM_001042678|RHOC|chr1|-	chr1:113243747-113244335	113244065	0.86	0.86	1.00	0.79	0.79	0.76	0.88	0.79	0.87	0.79	0.81	0.75	0.89	0.77	0.85	0.89	0.75	0.75	0.83	0.90	0.81	0.79	0.79	0.88	0.88	0.89	0.77	0.77	0.78	0.85	0.81	0.82	0.86	0.84	0.76	0.86	0.84	0.99	0.76	0.80	0.79	0.80	0.74
NM_015607|CHTOP|chr1|+	chr1:153617539-153618781	153617913	0.51	0.48	0.23	0.37	0.58	0.53	0.59	0.35	0.56	0.41	0.54	0.54	0.46	0.57	0.53	0.43	0.65	0.32	0.50	0.45	0.43	0.47	0.45	0.57	0.52	0.63	0.41	0.52	0.32	0.54	0.38	0.47	0.55	0.60	0.40	0.44	0.46	0.50	0.37	0.37	0.49	0.57	0.39
