event_id	loci	Proximal_Site	TCGA-DI-A2QU-01A-11R-A18M-07	TCGA-AX-A2HC-01A-11R-A17B-07	TCGA-E6-A1M0-01A-11R-A144-07	TCGA-AX-A2HD-01A-21R-A17B-07	TCGA-AX-A1CK-01A-11R-A137-07	TCGA-AX-A2HA-01A-12R-A18M-07	TCGA-AX-A1CI-01A-11R-A137-07	TCGA-BK-A0CB-01A-32R-A104-07	TCGA-BG-A2AD-01A-21R-A16F-07	TCGA-AX-A0J0-01A-11R-A109-07	TCGA-AJ-A3NH-01A-11R-A22K-07	TCGA-BK-A4ZD-01A-11R-A27V-07	TCGA-AX-A1CF-01A-11R-A137-07	TCGA-DI-A2QY-01A-12R-A19W-07	TCGA-AJ-A3NC-01A-11R-A22K-07	TCGA-BG-A3EW-01A-11R-A22K-07	TCGA-AJ-A3NE-01A-11R-A22K-07	TCGA-BK-A13C-01A-11R-A118-07	TCGA-AX-A2H8-01A-11R-A17B-07	TCGA-AX-A05Y-01A-11R-A00V-07	TCGA-AX-A0IZ-01A-11R-A118-07	TCGA-BG-A3PP-01A-11R-A22K-07	TCGA-AJ-A2QL-01A-11R-A18M-07
NM_001253853|AP4B1|chr1|-	chr1:114437521-114438114	114437840	0.58	0.43	NA	NA	0.58	0.68	0.59	0.52	0.45	0.54	0.67	0.55	0.55	0.72	0.66	NA	0.56	NA	0.40	NA	0.66	0.65	0.40
NM_001130043|CRYZ|chr1|-	chr1:75171165-75172141	75171948	NA	0.84	0.92	0.78	1.00	1.00	1.00	1.00	0.94	0.67	1.00	1.00	0.76	NA	1.00	0.90	1.00	1.00	1.00	NA	NA	1.00	1.00
NM_018379|FAM63A|chr1|-	chr1:150965686-150969843	150969370	NA	NA	NA	0.31	0.16	0.28	NA	0.13	0.39	NA	NA	NA	0.21	0.09	0.31	0.34	NA	0.24	0.36	0.07	NA	0.15	NA
NM_194315|UBE2J2|chr1|-	chr1:1189303-1190867	1190306	0.25	0.30	0.19	0.19	0.29	0.50	0.33	0.36	0.22	0.17	0.21	0.28	0.18	0.38	0.24	0.21	0.22	0.27	0.31	0.16	0.45	0.21	0.21
NM_031921|ATAD3B|chr1|+	chr1:1430864-1431580	1431237	0.58	0.47	0.62	0.51	0.61	0.95	0.84	0.70	0.52	0.47	NA	0.81	0.77	1.00	0.99	0.75	0.82	NA	0.80	0.41	0.88	0.94	NA
NM_004768|SRSF11|chr1|+	chr1:70716290-70718730	70717657	0.13	0.26	0.11	0.08	0.12	0.26	0.29	0.24	0.13	0.04	0.12	0.07	0.15	0.16	0.13	0.08	0.14	0.27	0.17	0.06	0.42	0.06	0.23
NM_001162916|TYW3|chr1|+	chr1:75229577-75232349	75230047	NA	0.75	0.30	0.50	NA	0.27	NA	NA	0.41	0.35	0.21	0.19	0.48	0.04	0.50	NA	0.51	NA	0.17	NA	NA	0.21	0.38
NM_003729|RTCA|chr1|+	chr1:100756958-100758326	100757276	0.20	NA	0.22	0.28	NA	0.18	0.38	0.34	0.40	0.18	0.38	0.16	NA	0.21	0.19	0.29	0.25	0.57	0.22	NA	0.28	0.09	0.28
NM_018150|RNF220|chr1|+	chr1:45116375-45117403	45116580	0.83	0.69	0.84	0.72	0.89	0.91	0.90	0.85	0.77	0.70	0.86	0.82	0.62	0.91	0.87	0.81	0.81	0.75	0.76	0.65	0.88	0.88	0.85
NM_005119|THRAP3|chr1|+	chr1:36769396-36770967	36769758	0.91	0.78	0.91	0.73	NA	NA	NA	0.59	0.88	0.66	0.87	0.85	0.64	0.96	0.96	0.75	0.82	0.84	1.00	0.53	1.00	0.92	1.00
NM_020362|PITHD1|chr1|+	chr1:24113764-24114724	24114200	1.00	1.00	1.00	0.95	1.00	NA	1.00	0.96	1.00	1.00	1.00	1.00	0.98	1.00	1.00	1.00	1.00	0.97	1.00	0.89	1.00	1.00	1.00
NM_007348|ATF6|chr1|+	chr1:161928235-161933844	161928786	0.10	0.39	0.14	0.14	NA	0.16	NA	0.10	0.14	0.11	0.06	0.20	0.10	0.08	0.20	0.18	0.15	0.31	0.17	0.06	0.11	0.05	0.16
NM_032881|LSM10|chr1|-	chr1:36859021-36859754	36859421	1.00	1.00	0.98	0.88	1.00	NA	NA	1.00	1.00	0.95	0.99	0.99	0.86	1.00	1.00	0.95	0.94	1.00	1.00	0.38	1.00	1.00	1.00
NM_004958|MTOR|chr1|-	chr1:11166588-11167557	11167407	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.88	NA	1.00	1.00	1.00
NM_012437|SNAPIN|chr1|+	chr1:153633675-153634293	153633969	0.99	0.85	0.87	0.67	0.99	0.95	0.97	0.89	0.77	0.62	0.81	0.72	0.75	1.00	0.88	0.72	0.78	0.71	0.83	0.96	1.00	0.94	1.00
NM_001168551|TMEM48|chr1|-	chr1:54231133-54233706	54233440	NA	0.85	0.72	0.81	NA	NA	NA	NA	0.87	0.61	0.83	0.83	0.63	0.29	0.68	0.78	0.81	NA	0.88	NA	NA	0.54	0.68
NR_030725|RCC1|chr1|+	chr1:28864343-28865655	28865193	0.85	0.57	0.80	0.61	NA	NA	NA	1.00	0.44	0.68	0.46	0.48	0.68	0.74	0.59	0.43	0.46	0.66	0.88	1.00	1.00	0.60	0.63
NM_153826|CD46|chr1|+	chr1:207966863-207968868	207967109	NA	0.89	0.88	0.89	0.92	0.97	0.96	0.82	0.91	0.90	0.93	0.94	0.87	NA	0.99	0.93	0.91	0.91	0.99	0.61	0.96	0.95	0.91
NM_014955|METTL13|chr1|+	chr1:171765621-171766854	171766009	0.42	0.37	0.42	0.38	0.33	0.42	0.51	0.38	0.49	0.28	0.44	0.35	0.31	0.47	0.42	0.39	0.46	0.53	0.35	0.48	0.50	0.35	0.43
NM_000147|FUCA1|chr1|-	chr1:24171561-24172345	24172195	1.00	NA	0.98	0.99	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	0.99	1.00	1.00	0.98	0.97	1.00	1.00	1.00	1.00	1.00	1.00
NM_001029882|AHDC1|chr1|-	chr1:27860767-27861427	27861277	1.00	NA	NA	0.66	NA	0.89	NA	0.56	NA	NA	1.00	NA	NA	1.00	NA	NA	NA	0.84	0.71	0.21	0.76	1.00	0.93
NM_006135|CAPZA1|chr1|+	chr1:113212613-113214253	113212806	0.97	0.93	0.94	0.85	0.90	1.00	0.95	0.84	0.93	0.86	0.99	0.98	0.89	NA	0.98	0.98	0.98	0.95	0.96	0.63	0.97	0.98	0.97
NM_176877|INADL|chr1|+	chr1:62626579-62629582	62626836	NA	NA	0.67	0.85	NA	NA	NA	NA	0.87	0.66	0.88	0.86	0.54	NA	0.90	0.77	0.78	0.68	NA	0.33	NA	NA	NA
NM_005426|TP53BP2|chr1|-	chr1:223967604-223968596	223968002	NA	0.72	0.98	0.68	NA	1.00	NA	NA	0.84	0.74	0.82	0.68	0.82	NA	0.91	0.67	0.71	0.88	0.85	NA	0.99	0.86	0.91
NM_153213|ARHGEF19|chr1|-	chr1:16524372-16525239	16524745	0.64	0.51	0.72	0.62	0.88	0.78	0.71	0.60	0.75	0.40	0.47	0.40	0.37	0.68	0.54	0.27	0.39	0.59	0.52	0.23	0.78	0.47	NA
NR_030775|SHISA4|chr1|+	chr1:201860927-201861790	201861131	0.36	0.19	NA	0.31	NA	NA	NA	0.36	0.14	NA	0.24	NA	0.26	0.44	NA	0.21	0.19	0.28	0.25	0.28	NA	0.23	0.25
NM_001164391|MTF2|chr1|+	chr1:93602226-93604648	93602783	NA	0.45	0.57	0.43	NA	NA	NA	NA	NA	0.53	0.55	0.56	NA	0.78	0.62	0.36	0.47	NA	NA	NA	0.56	0.49	NA
NM_152490|B3GALNT2|chr1|-	chr1:235610500-235613655	235613445	NA	0.77	0.74	0.65	NA	NA	NA	NA	0.81	0.64	0.81	0.72	0.63	NA	NA	0.73	NA	0.76	NA	0.39	NA	0.71	NA
NM_015331|NCSTN|chr1|+	chr1:160327938-160328744	160328088	1.00	0.88	0.90	0.97	1.00	1.00	1.00	1.00	0.94	0.73	0.97	0.96	0.83	1.00	1.00	0.92	0.93	0.98	1.00	0.59	1.00	0.98	0.98
NM_003760|EIF4G3|chr1|-	chr1:21132961-21133993	21133635	0.93	0.44	0.58	0.52	0.81	NA	1.00	0.53	0.57	0.72	0.72	0.66	0.35	1.00	0.97	0.59	0.70	0.59	0.70	NA	0.94	0.81	0.87
NM_004421|DVL1|chr1|-	chr1:1269841-1271895	1270696	0.06	0.02	0.06	0.07	0.11	NA	NA	0.03	NA	0.02	0.02	0.02	0.15	NA	0.03	0.02	0.02	0.04	0.03	0.00	0.24	0.04	NA
NM_016243|CYB5R1|chr1|-	chr1:202930993-202931827	202931612	1.00	0.79	0.92	0.77	0.99	1.00	1.00	0.99	0.86	0.79	1.00	0.98	0.76	1.00	1.00	0.88	0.92	0.96	0.81	0.71	1.00	1.00	0.97
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509336	0.11	0.26	0.13	0.21	0.08	0.12	0.13	0.11	0.22	0.13	0.24	0.18	0.09	0.06	0.24	0.23	0.19	0.28	0.15	0.09	0.11	0.08	0.14
NM_001198850|FOXJ3|chr1|-	chr1:42642203-42645496	42645346	NA	0.68	0.69	0.70	NA	NA	NA	NA	0.76	0.84	NA	0.90	0.65	NA	NA	0.84	0.84	0.71	0.79	0.35	NA	NA	NA
NM_022733|SMAP2|chr1|+	chr1:40887647-40889000	40887797	NA	0.86	NA	0.86	NA	NA	NA	0.89	0.98	0.71	1.00	1.00	0.90	NA	NA	0.96	1.00	0.90	NA	0.71	NA	0.92	0.94
NM_016456|TMEM9|chr1|-	chr1:201103894-201104943	201104793	1.00	0.98	0.96	0.94	1.00	1.00	1.00	0.94	0.96	0.92	0.97	0.95	0.91	0.98	1.00	0.91	0.94	1.00	1.00	0.68	1.00	0.99	1.00
NM_001134445|DDAH1|chr1|-	chr1:85775167-85787251	85784185	NA	NA	NA	0.00	NA	NA	NA	NA	0.00	0.00	0.00	0.00	0.00	NA	0.00	0.00	NA	0.00	0.00	0.00	NA	NA	0.00
NR_029401|LOC731275|chr1|-	chr1:243213741-243220572	243220254	0.21	0.17	NA	0.17	0.16	NA	0.21	0.24	0.28	0.24	NA	0.28	0.19	NA	0.31	0.28	0.29	0.18	0.26	0.10	0.22	NA	0.22
NM_031475|ESPN|chr1|+	chr1:6520058-6521004	6520242	0.86	NA	0.58	0.97	0.98	0.99	0.98	0.88	1.00	NA	0.75	0.65	0.95	0.92	0.93	0.67	0.67	0.98	1.00	0.30	0.90	0.98	1.00
NR_037636|GJA9-MYCBP|chr1|-	chr1:39328194-39330386	39329200	NA	0.13	0.28	0.17	NA	NA	NA	NA	0.19	0.14	0.19	0.17	0.17	NA	0.30	0.18	0.17	0.26	0.23	NA	0.37	0.20	0.27
NM_022164|TINAGL1|chr1|+	chr1:32052439-32053295	32052589	0.79	NA	0.38	NA	0.69	0.87	0.85	0.79	0.83	NA	NA	0.73	0.68	0.85	0.80	0.63	0.67	0.68	0.99	0.32	0.84	0.77	0.97
NM_006556|PMVK|chr1|-	chr1:154897206-154897741	154897591	0.89	0.82	0.82	0.81	0.84	0.87	0.86	0.93	0.83	0.75	0.63	0.64	0.81	0.84	0.73	0.58	0.56	0.79	1.00	0.86	0.97	0.70	0.97
NM_003851|CREG1|chr1|-	chr1:167510240-167511538	167511345	0.98	0.91	1.00	0.89	0.99	0.98	1.00	0.96	0.90	0.91	0.95	0.86	0.93	1.00	0.98	0.95	0.94	0.94	1.00	0.72	1.00	0.82	0.94
NM_144695|BROX|chr1|+	chr1:222905969-222908542	222906119	NA	0.75	NA	0.70	NA	NA	NA	NA	0.75	0.82	0.85	0.90	NA	NA	0.90	0.80	0.79	0.80	0.83	NA	NA	0.84	0.78
NM_018045|BSDC1|chr1|-	chr1:32830465-32832255	32831023	NA	0.34	0.69	0.45	NA	NA	NA	0.51	0.36	0.49	0.72	0.70	0.36	NA	0.99	0.44	0.60	0.33	0.41	0.34	NA	0.85	0.79
NM_152298|NASP|chr1|+	chr1:46083732-46084510	46083882	0.15	0.21	0.10	0.10	0.05	0.08	0.13	0.06	0.12	0.18	0.16	0.13	0.10	0.10	0.08	0.09	0.14	0.13	0.25	0.03	0.05	0.07	0.20
NM_014408|TRAPPC3|chr1|-	chr1:36602168-36602923	36602710	0.98	0.77	0.86	0.74	1.00	1.00	1.00	0.99	0.64	0.46	0.57	0.46	0.56	0.67	0.68	0.51	0.36	0.83	0.81	0.67	1.00	0.42	0.92
NM_003145|SSR2|chr1|-	chr1:155978837-155979441	155979164	0.97	0.79	0.95	0.74	1.00	1.00	1.00	1.00	0.85	0.84	0.95	0.94	0.83	1.00	1.00	0.83	0.90	0.85	0.87	0.69	1.00	0.99	0.84
NM_003198|TCEB3|chr1|+	chr1:24086001-24088576	24086246	0.45	0.78	0.66	0.70	NA	0.36	NA	0.61	0.68	0.48	0.66	0.69	0.39	0.49	0.69	0.54	0.66	NA	0.81	0.45	0.51	0.44	0.64
NM_018584|CAMK2N1|chr1|-	chr1:20808877-20810212	20809988	NA	NA	NA	0.64	0.49	0.69	0.70	0.55	0.74	NA	0.84	0.85	0.34	NA	0.83	NA	0.72	NA	NA	0.49	0.64	0.70	NA
NM_001136479|ANP32E|chr1|-	chr1:150190710-150193063	150192903	NA	0.82	0.79	0.63	0.57	0.91	0.78	0.61	0.84	0.59	0.68	0.79	0.68	0.55	0.87	0.58	0.71	0.86	1.00	0.12	0.83	0.54	0.98
NM_004431|EPHA2|chr1|-	chr1:16450825-16451815	16451223	NA	0.91	NA	0.80	NA	NA	NA	0.91	0.90	0.78	1.00	NA	NA	1.00	1.00	NA	0.96	NA	1.00	0.70	1.00	NA	NA
NM_014654|SDC3|chr1|-	chr1:31333312-31346224	31342379	NA	0.00	0.00	0.00	NA	NA	NA	0.00	0.00	0.00	0.01	0.01	NA	NA	0.01	NA	0.01	NA	0.01	0.00	NA	0.01	NA
NM_001193617|SCP2|chr1|+	chr1:53516280-53517282	53516631	0.71	0.44	0.58	0.39	0.91	0.85	1.00	0.45	0.58	0.73	0.87	0.80	0.36	1.00	1.00	0.68	0.79	0.57	0.65	0.16	0.96	0.97	0.65
NM_001205228|SORT1|chr1|-	chr1:109852168-109856679	109856526	0.26	0.89	0.56	0.62	0.11	0.54	NA	0.33	0.74	0.66	0.49	0.66	0.55	0.07	0.67	0.77	0.76	0.81	0.58	0.32	0.24	0.32	0.62
NM_005997|VPS72|chr1|-	chr1:151148893-151149507	151149216	0.99	0.82	0.81	0.67	0.99	1.00	1.00	0.85	0.69	0.47	0.90	0.91	0.71	1.00	1.00	0.78	0.84	0.88	0.75	0.42	1.00	0.94	0.91
NM_014455|RNF115|chr1|+	chr1:145688088-145692039	145690620	NA	NA	0.19	0.04	NA	0.08	NA	NA	0.08	0.07	0.14	0.18	0.16	0.03	0.14	0.20	0.12	0.16	0.03	NA	NA	0.07	0.06
NM_178547|ZBTB8OS|chr1|-	chr1:33086431-33087549	33087399	NA	0.35	0.18	0.53	0.25	0.29	0.17	0.29	0.37	0.33	0.31	0.21	0.41	0.17	0.33	0.37	0.24	NA	NA	NA	0.20	0.13	0.30
NM_001198972|KIAA1522|chr1|+	chr1:33238465-33240594	33238668	0.99	0.93	0.96	0.91	0.99	1.00	NA	0.99	0.90	0.94	0.99	0.98	0.93	NA	0.99	0.98	0.98	0.94	0.99	0.88	0.98	0.99	1.00
NM_003748|ALDH4A1|chr1|-	chr1:19197926-19199451	19199126	1.00	0.99	NA	1.00	NA	NA	NA	NA	0.93	NA	NA	NA	0.97	NA	1.00	0.97	NA	0.98	1.00	0.86	NA	1.00	1.00
NM_002074|GNB1|chr1|-	chr1:1716712-1718492	1718335	0.37	0.57	0.49	0.53	0.35	0.58	0.64	0.46	0.53	0.54	0.70	0.58	0.39	0.33	0.61	0.50	0.62	0.62	0.70	0.21	0.48	0.55	0.64
NM_182976|ZNF326|chr1|+	chr1:90492912-90494083	90493093	NA	0.40	0.61	0.45	NA	NA	NA	NA	NA	0.54	0.28	0.20	NA	0.63	0.28	0.21	0.25	NA	NA	0.11	0.68	0.31	NA
NM_005826|HNRNPR|chr1|-	chr1:23636093-23637559	23636919	1.00	1.00	1.00	1.00	NA	NA	NA	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	0.99	1.00	1.00	1.00	0.20	NA	1.00	1.00
NR_026550|BRP44|chr1|-	chr1:167886536-167887597	167887344	0.06	0.08	0.07	0.05	0.04	0.04	0.05	0.04	0.07	0.03	0.05	0.07	0.04	0.04	0.06	0.08	0.07	0.12	0.05	0.08	0.05	0.03	0.07
NM_001042546|ATPAF1|chr1|-	chr1:47098442-47101642	47100752	0.07	0.13	0.04	0.03	0.09	0.08	NA	0.05	0.08	0.05	0.08	0.08	0.03	0.06	0.07	0.07	0.06	0.05	0.09	0.03	0.06	0.04	0.05
NM_022756|MEAF6|chr1|-	chr1:37958180-37959708	37958994	0.26	0.13	0.16	0.11	0.26	0.36	0.31	0.11	0.16	0.12	0.14	0.15	0.10	0.49	0.18	0.13	0.19	0.15	0.19	0.13	0.36	0.17	0.15
