event_id	loci	Proximal_Site	TCGA-CZ-5458-01A-01R-1503-07	TCGA-B2-5636-01A-02R-1541-07	TCGA-CZ-5462-01A-01R-1503-07	TCGA-B0-5696-01A-11R-1541-07	TCGA-CJ-6030-01A-11R-1672-07	TCGA-CJ-5679-01A-11R-1541-07	TCGA-B0-5709-01A-11R-1541-07	TCGA-B0-5705-01A-11R-1541-07	TCGA-CZ-5985-01A-11R-1672-07	TCGA-CZ-5452-01A-01R-1503-07	TCGA-B0-5706-01A-11R-1541-07	TCGA-B0-5701-01A-11R-1541-07	TCGA-CW-5580-01A-01R-1672-07	TCGA-CJ-5680-01A-11R-1541-07	TCGA-B0-5697-01A-11R-1541-07	TCGA-B0-4700-01A-02R-1541-07	TCGA-B8-5552-01B-11R-1672-07	TCGA-CZ-5984-01A-11R-1672-07	TCGA-CZ-5461-01A-01R-1503-07	TCGA-CZ-4865-01A-02R-1503-07	TCGA-B0-4712-01A-01R-1503-07	TCGA-CZ-5463-01A-01R-1503-07	TCGA-CW-5581-01A-02R-1541-07	TCGA-CZ-5456-01A-01R-1503-07	TCGA-CW-6090-01A-11R-1672-07	TCGA-CZ-5987-01A-11R-1672-07	TCGA-CZ-5455-01A-01R-1503-07	TCGA-CZ-5989-01A-11R-1672-07	TCGA-CZ-5453-01A-01R-1503-07	TCGA-CJ-5676-01A-11R-1541-07	TCGA-CW-5585-01A-01R-1541-07	TCGA-CZ-5466-01A-01R-1503-07	TCGA-CZ-5470-01A-01R-1503-07	TCGA-B0-5694-01A-11R-1541-07	TCGA-A3-3387-01A-01R-1541-07	TCGA-CW-6087-01A-11R-1672-07	TCGA-CZ-5451-01A-01R-1503-07	TCGA-A3-3358-01A-01R-1541-07	TCGA-CJ-5678-01A-11R-1541-07	TCGA-B0-5690-01A-11R-1541-07	TCGA-B0-5691-01A-11R-1541-07	TCGA-CJ-5672-01A-11R-1541-07	TCGA-CW-5584-01A-01R-1541-07	TCGA-B8-4620-01A-02R-1325-07	TCGA-B0-5699-01A-11R-1541-07	TCGA-B8-4622-01A-02R-1277-07	TCGA-B0-5402-01A-01R-1503-07	TCGA-CZ-5457-01A-01R-1503-07	TCGA-CZ-5986-01A-11R-1672-07	TCGA-CW-5587-01A-01R-1541-07	TCGA-CZ-4864-01A-01R-1503-07	TCGA-CZ-5988-01A-11R-1672-07	TCGA-B0-5711-01A-11R-1672-07	TCGA-CJ-5689-01A-11R-1541-07	TCGA-B0-5703-01A-11R-1541-07	TCGA-B0-5712-01A-11R-1672-07	TCGA-CZ-5469-01A-01R-1503-07	TCGA-CZ-4863-01A-01R-1503-07	TCGA-B2-5641-01A-01R-1541-07	TCGA-CZ-5465-01A-01R-1503-07	TCGA-CJ-5677-01A-11R-1541-07	TCGA-CZ-5982-01A-11R-1672-07	TCGA-CW-6088-01A-11R-1672-07	TCGA-CZ-5468-01A-01R-1503-07	TCGA-CZ-5467-01A-01R-1503-07	TCGA-CZ-5454-01A-01R-1503-07	TCGA-CJ-5681-01A-11R-1541-07	TCGA-CW-5591-01A-01R-1541-07	TCGA-B8-5549-01A-01R-1541-07	TCGA-B8-4619-01A-02R-1325-07	TCGA-CW-5589-01A-01R-1541-07	TCGA-CJ-6033-01A-11R-1672-07
NM_000396|CTSK|chr1|-	chr1:150768695-150769374	150769031	NA	0.86	0.84	0.86	0.89	1.00	0.76	NA	NA	NA	NA	NA	0.85	NA	0.98	0.93	0.87	NA	0.78	0.91	0.85	NA	NA	0.78	0.85	NA	NA	NA	0.89	1.00	NA	0.89	NA	0.84	0.82	0.82	NA	0.81	NA	0.96	0.74	NA	NA	0.81	NA	NA	0.83	0.87	NA	NA	NA	0.82	0.91	0.87	1.00	NA	0.97	0.79	NA	NA	1.00	NA	0.82	0.90	0.78	0.92	0.87	0.71	NA	0.78	0.76	0.98
NM_001981|EPS15|chr1|-	chr1:51819946-51822518	51820940	0.70	0.68	0.52	0.77	0.66	0.86	0.54	0.61	0.51	0.62	0.44	0.47	0.53	0.68	0.68	0.91	0.59	0.62	0.59	0.80	0.93	0.56	0.54	0.51	0.82	0.84	0.54	0.96	0.70	0.82	0.85	0.57	0.76	0.79	0.50	0.48	0.53	0.56	1.00	0.68	0.60	0.76	0.61	0.59	0.63	0.60	0.62	0.60	0.50	0.46	0.53	0.54	0.56	0.68	0.78	0.85	1.00	0.54	0.50	0.68	0.84	0.50	0.59	0.92	0.70	0.51	0.51	0.44	0.53	0.55	0.67	0.94
NM_001198903|YY1AP1|chr1|-	chr1:155629244-155630704	155630332	1.00	0.99	1.00	1.00	1.00	0.99	1.00	1.00	0.94	1.00	1.00	1.00	0.99	1.00	1.00	1.00	0.98	1.00	1.00	1.00	1.00	0.95	0.97	1.00	1.00	1.00	0.98	0.99	1.00	1.00	1.00	1.00	1.00	1.00	0.98	0.99	1.00	1.00	1.00	1.00	0.97	1.00	0.99	0.99	1.00	0.97	0.95	0.97	0.99	1.00	0.99	0.95	0.99	1.00	0.99	1.00	1.00	1.00	0.97	0.99	1.00	0.96	0.99	1.00	1.00	1.00	1.00	1.00	0.97	0.96	0.99	1.00
NM_006468|POLR3C|chr1|-	chr1:145590677-145592771	145592621	0.15	0.13	0.17	0.13	0.17	0.13	0.20	0.16	0.20	0.17	0.18	0.16	0.17	0.19	0.15	0.11	0.17	0.16	0.18	0.13	0.08	0.19	0.15	0.21	0.11	0.17	0.30	0.51	0.22	0.11	0.13	0.14	0.12	0.11	0.19	0.19	0.15	0.14	0.09	0.15	0.21	0.12	0.14	0.13	0.16	0.12	0.18	0.16	0.22	0.18	0.26	0.17	0.20	0.15	0.12	0.19	0.10	0.16	0.17	0.18	0.09	0.24	0.25	0.16	0.13	0.11	0.12	0.20	0.15	0.15	0.11	0.12
NM_001256165|TMCO1|chr1|-	chr1:165695991-165697358	165696709	0.18	0.27	0.26	0.30	0.26	0.41	0.25	0.26	0.27	0.20	0.34	0.35	0.27	0.32	0.28	0.40	0.31	0.28	0.23	0.25	0.28	0.25	0.20	0.24	0.31	0.36	0.23	0.69	0.20	0.47	0.27	0.27	0.34	0.45	0.28	0.24	0.28	0.30	0.43	0.40	0.27	0.36	0.27	0.28	0.31	0.31	0.24	0.27	0.22	0.32	0.21	0.22	0.26	0.33	0.35	0.28	0.58	0.21	0.24	0.27	0.37	0.26	0.26	0.27	0.23	0.21	0.32	0.22	0.26	0.29	0.28	0.34
NM_004814|SNRNP40|chr1|-	chr1:31732458-31732968	31732760	0.63	0.55	0.60	0.67	0.83	0.90	0.58	0.62	0.68	0.73	0.91	0.76	0.64	0.80	0.62	0.84	0.66	0.72	0.59	0.82	0.74	0.76	0.57	0.75	0.78	0.76	0.73	1.00	0.76	0.82	0.65	0.67	0.65	0.72	0.57	0.84	0.61	0.65	0.80	0.67	0.76	0.67	0.61	0.68	0.65	0.64	0.72	0.79	0.66	0.60	0.73	0.75	0.79	0.64	0.61	0.88	0.82	0.61	0.60	0.83	0.75	0.76	0.73	0.88	0.73	0.67	0.62	0.72	0.57	0.69	0.71	0.91
NM_001441|FAAH|chr1|+	chr1:46879118-46881383	46879491	0.04	0.19	0.05	0.03	0.04	NA	0.07	0.05	0.08	0.05	0.09	0.06	0.07	0.07	0.03	NA	0.09	0.12	0.09	0.04	NA	0.13	0.06	NA	NA	0.06	0.11	NA	0.07	0.05	0.05	0.05	0.04	0.04	0.18	NA	0.05	0.07	0.01	0.07	0.06	0.03	0.10	NA	0.12	0.08	0.07	0.07	0.08	0.06	0.15	0.06	0.07	0.03	0.09	0.08	0.03	0.07	0.04	0.10	0.04	0.11	0.13	0.04	0.06	0.07	0.03	0.08	0.07	0.20	0.07	0.03
NM_015640|SERBP1|chr1|-	chr1:67873830-67878946	67876772	0.13	0.18	0.13	0.13	0.13	0.15	0.18	0.14	0.20	0.13	0.15	0.13	0.17	0.19	0.16	0.09	0.17	0.16	0.15	0.12	0.11	0.19	0.15	0.15	0.20	0.15	0.14	0.16	0.14	0.12	0.14	0.11	0.11	0.14	0.16	0.15	0.15	0.13	0.11	0.14	0.17	0.12	0.14	0.19	0.17	0.18	0.13	0.13	0.22	0.15	0.22	0.16	0.18	0.14	0.16	0.17	0.17	0.16	0.19	0.14	0.10	0.18	0.18	0.13	0.16	0.15	0.11	0.15	0.15	0.16	0.14	0.10
NM_030645|SH3BP5L|chr1|-	chr1:249104660-249106569	249106419	0.95	0.92	0.96	0.92	0.86	0.96	0.94	0.91	0.85	0.93	NA	0.94	0.85	0.94	0.90	0.92	0.89	0.86	0.92	0.93	0.99	0.90	0.93	0.93	NA	0.86	0.94	NA	0.96	0.91	0.94	0.91	0.93	0.88	0.91	0.85	0.93	0.86	0.95	0.94	0.90	0.98	0.88	0.93	0.93	0.88	0.95	0.89	NA	0.90	0.91	NA	0.87	0.92	NA	0.87	NA	0.92	0.95	0.91	0.94	0.92	0.86	0.96	0.94	NA	0.93	0.85	0.83	NA	0.90	0.89
NM_006469|IVNS1ABP|chr1|-	chr1:185265520-185267420	185267111	0.40	0.42	0.40	0.39	0.39	0.35	0.40	0.39	0.38	0.38	0.36	0.38	0.42	0.36	0.37	0.38	0.40	0.39	0.39	0.41	0.44	0.37	0.40	0.39	0.49	0.49	0.41	0.91	0.43	0.35	0.40	0.34	0.36	0.40	0.40	0.44	0.35	0.38	0.51	0.35	0.39	0.35	0.36	0.35	0.40	0.39	0.39	0.50	0.39	0.37	0.41	0.38	0.39	0.38	0.39	0.40	0.45	0.40	0.39	0.41	0.44	0.39	0.41	0.38	0.41	0.42	0.39	0.46	0.38	0.40	0.41	0.44
NM_006625|SRSF10|chr1|-	chr1:24291289-24294213	24292981	0.23	0.27	0.18	0.24	0.20	0.28	0.23	0.19	0.22	0.15	0.23	0.11	0.20	0.25	0.21	0.26	0.24	0.23	0.22	0.25	0.26	0.17	0.17	0.23	0.22	0.23	0.16	0.38	0.18	0.30	0.23	0.19	0.12	0.25	0.18	0.25	0.23	0.21	0.18	0.15	0.19	0.18	0.19	0.20	0.19	0.16	0.18	0.23	0.21	0.18	0.15	0.24	0.21	0.24	0.18	0.25	0.31	0.17	0.18	0.19	0.20	0.26	0.18	0.29	0.19	0.30	0.19	0.18	0.18	0.13	0.19	0.32
NM_001136224|RCOR3|chr1|+	chr1:211486765-211489733	211487233	0.64	0.53	0.72	0.82	0.77	0.74	0.51	0.52	0.59	0.70	0.67	0.62	0.70	0.63	0.72	0.78	0.70	0.72	0.59	0.85	0.85	0.67	0.59	0.54	0.96	0.86	0.67	NA	0.59	NA	0.60	0.63	0.76	0.83	0.54	0.56	0.52	0.62	NA	0.64	0.60	0.56	0.50	0.59	0.58	0.68	0.56	0.74	0.61	0.56	0.53	0.74	0.67	0.74	0.58	0.76	0.93	0.64	0.50	0.82	0.84	0.67	0.56	0.81	0.77	0.83	0.57	0.69	0.52	0.61	0.67	0.87
NM_003820|TNFRSF14|chr1|+	chr1:2494586-2495264	2494794	0.81	0.77	0.88	0.89	0.95	1.00	0.78	0.83	0.89	0.90	0.76	0.81	0.97	0.88	0.79	0.96	0.89	0.92	0.84	0.84	1.00	0.75	0.80	0.80	0.86	0.98	0.72	NA	0.92	1.00	0.93	0.92	0.99	1.00	0.81	0.92	0.90	0.86	1.00	0.93	0.76	1.00	0.87	0.83	0.83	0.82	0.74	0.89	0.29	0.80	0.72	0.31	0.89	0.94	0.96	0.92	1.00	0.79	0.79	0.77	0.99	0.83	0.76	1.00	0.77	0.82	0.80	0.88	0.88	0.91	0.90	0.99
NM_017768|LRRC40|chr1|-	chr1:70610497-70611588	70611310	0.83	0.71	0.80	0.69	0.71	NA	0.65	0.66	0.58	0.89	0.83	0.99	0.64	0.76	0.87	0.89	0.63	0.79	0.70	0.92	0.83	0.77	0.53	0.69	0.80	0.81	0.73	0.92	0.82	0.93	0.88	0.50	0.92	0.88	0.76	0.75	0.48	0.74	0.87	0.85	0.80	0.98	0.71	0.43	0.85	0.62	0.67	0.94	0.63	0.83	0.69	0.77	0.67	0.70	1.00	0.91	0.96	0.74	0.61	0.85	0.93	0.75	0.69	0.94	0.84	0.83	0.74	0.85	0.44	0.43	0.74	0.90
NM_002228|JUN|chr1|-	chr1:59244978-59249785	59247422	0.29	0.25	0.43	0.49	0.43	0.38	0.23	0.33	0.35	0.30	0.36	0.35	0.45	0.29	0.38	0.43	0.32	0.43	0.32	0.53	0.44	0.44	0.26	0.27	0.69	0.59	0.43	NA	0.32	0.36	0.31	0.24	0.37	0.41	0.34	0.37	0.19	0.41	0.65	0.36	0.33	0.36	0.24	0.36	0.24	0.31	0.31	0.49	0.74	0.41	0.30	0.73	0.39	0.46	0.34	0.50	0.37	0.32	0.26	0.51	0.51	0.39	0.40	0.47	0.35	0.40	0.27	0.27	0.28	0.33	0.32	0.47
NM_001142551|WDR47|chr1|-	chr1:109512839-109514194	109513388	NA	0.72	0.84	0.98	0.99	NA	0.74	0.74	0.70	0.99	0.80	0.91	0.80	0.94	0.92	1.00	0.70	0.86	0.74	0.96	NA	0.75	0.77	0.74	1.00	NA	0.77	1.00	0.82	NA	0.89	NA	NA	NA	0.79	NA	0.79	0.73	NA	0.97	0.68	0.91	0.65	0.84	0.91	0.77	0.77	0.89	0.89	0.68	0.55	0.86	0.89	0.87	NA	0.92	NA	0.79	0.64	0.87	NA	0.67	0.82	0.97	0.83	0.94	0.77	0.84	0.84	0.72	0.98	NA
NM_001040874|HIST2H2AA4|chr1|+	chr1:149822627-149823245	149822921	0.97	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	0.98	1.00	1.00	1.00	1.00	NA	1.00	1.00	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	0.92	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.98	1.00	1.00	0.99	1.00	0.99	1.00	1.00
NM_012262|HS2ST1|chr1|+	chr1:87570152-87575697	87573123	0.80	0.67	0.69	1.00	0.72	1.00	0.63	0.74	0.56	NA	0.79	0.70	0.56	0.87	0.89	1.00	0.70	0.73	0.56	0.96	1.00	0.58	0.57	0.57	1.00	0.96	0.56	0.84	0.81	NA	0.84	0.62	0.95	0.99	0.67	0.56	0.70	0.69	NA	0.85	0.73	0.96	0.69	0.66	0.72	0.67	0.58	0.73	0.51	0.67	0.70	0.61	0.68	0.89	0.86	0.93	NA	0.67	0.57	0.78	1.00	0.67	0.57	0.99	0.83	0.79	0.67	0.59	0.51	0.49	0.88	1.00
NM_001201326|PDZK1|chr1|+	chr1:145763569-145764178	145763856	0.76	0.71	0.73	0.77	0.72	0.86	0.76	0.73	0.69	0.79	0.81	0.80	0.73	0.78	0.82	0.87	0.74	0.77	0.74	0.77	0.95	0.67	0.72	0.69	0.80	0.83	0.72	0.84	0.75	0.95	0.79	0.80	0.87	0.91	0.74	NA	0.83	0.77	0.89	0.88	0.76	0.94	0.74	0.69	0.75	0.78	0.73	0.76	0.65	0.78	0.81	0.64	0.65	0.83	0.85	0.80	0.95	0.75	0.66	0.74	0.92	0.72	0.70	0.80	0.73	0.71	0.76	0.68	0.66	NA	0.78	0.89
NM_012316|KPNA6|chr1|+	chr1:32636307-32642242	32636800	0.90	0.89	0.92	0.81	0.86	NA	0.83	0.88	0.90	0.82	0.81	0.88	0.91	0.88	0.91	0.82	0.92	0.91	0.81	0.86	0.72	0.93	0.88	0.88	NA	0.84	0.94	NA	0.90	0.69	0.86	0.92	0.76	0.89	0.90	0.91	0.82	0.93	NA	0.89	0.86	0.88	0.88	0.88	0.88	0.87	0.89	0.86	0.89	0.87	0.88	0.89	0.92	0.85	0.82	0.88	NA	0.89	0.86	0.91	NA	0.91	0.90	0.85	0.87	0.87	0.86	0.90	0.86	0.89	0.89	0.82
NM_001136219|FCGR2A|chr1|+	chr1:161487764-161489416	161488253	0.84	0.92	0.83	0.94	0.96	0.94	0.86	0.89	0.88	0.91	0.96	0.83	0.86	0.93	0.90	0.92	0.91	0.89	0.79	0.97	0.90	0.78	0.89	0.93	0.98	0.94	0.90	0.84	0.95	0.93	0.86	0.91	0.85	0.89	0.88	0.95	0.90	0.89	0.87	0.91	0.91	0.88	0.94	0.88	0.92	0.90	0.86	0.91	0.91	0.80	0.81	0.93	0.98	0.93	0.62	0.98	0.99	0.85	0.89	0.94	0.93	0.89	0.91	0.96	0.97	0.94	0.93	0.83	0.85	0.94	0.89	0.98
NM_016946|F11R|chr1|-	chr1:160965029-160968696	160966055	0.14	0.15	0.20	0.19	0.16	0.27	0.11	0.13	0.17	0.21	0.20	0.15	0.13	0.18	0.20	0.32	0.14	0.20	0.12	0.29	0.20	0.12	0.13	0.11	0.12	0.19	0.13	1.00	0.15	0.31	0.21	0.15	0.31	0.28	0.12	0.12	0.16	0.13	0.56	0.20	0.17	0.26	0.17	0.12	0.14	0.12	0.13	0.15	0.12	0.12	0.13	0.17	0.17	0.30	0.14	0.21	0.49	0.16	0.16	0.13	0.32	0.11	0.14	0.25	0.16	0.14	0.12	0.11	0.16	0.19	0.15	0.30
NM_005099|ADAMTS4|chr1|-	chr1:161158832-161161354	161159575	0.10	0.10	0.15	0.08	0.13	0.08	0.09	0.13	NA	0.07	0.10	0.11	0.10	0.12	0.14	0.13	0.15	0.14	0.11	0.11	0.13	0.08	0.09	0.05	0.25	0.17	0.12	NA	0.10	0.13	0.08	0.08	0.13	0.13	0.13	NA	0.06	0.11	0.22	0.09	0.08	0.09	0.09	0.12	NA	0.10	0.11	0.13	0.11	NA	0.11	0.11	0.14	0.11	0.15	NA	0.10	0.14	0.10	0.15	0.10	0.12	0.16	0.16	0.11	0.13	NA	NA	0.09	0.13	0.13	0.14
