event_id	loci	Proximal_Site	TCGA-GC-A3BM-01A-11R-A22U-07	TCGA-CU-A0YN-01A-21R-A10U-07	TCGA-K4-A3WV-01A-11R-A22U-07	TCGA-GC-A6I3-01A-11R-A31N-07	TCGA-BT-A20R-01A-12R-A16R-07	TCGA-BT-A20W-01A-21R-A14Y-07	TCGA-BL-A13J-01A-11R-A277-07	TCGA-BL-A13J-01A-11R-A10U-07	TCGA-BL-A13J-01B-04R-A277-07	TCGA-K4-A54R-01A-11R-A26T-07	TCGA-BT-A20Q-01A-11R-A14Y-07	TCGA-BT-A2LA-01A-11R-A18C-07	TCGA-K4-A5RI-01A-11R-A28M-07	TCGA-BT-A20U-01A-11R-A14Y-07	TCGA-GD-A3OP-01A-21R-A220-07	TCGA-GD-A3OQ-01A-32R-A220-07	TCGA-CU-A0YR-01A-12R-A10U-07	TCGA-GD-A2C5-01A-12R-A180-07	TCGA-GC-A3WC-01A-31R-A22U-07	TCGA-BT-A20N-01A-11R-A14Y-07	TCGA-BT-A2LB-01A-11R-A18C-07
NM_006472|TXNIP|chr1|+	chr1:145441182-145442643	145441395	0.97	0.99	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00	0.99	1.00	1.00	1.00	0.98	1.00	1.00	1.00	0.98	0.99	1.00
NM_005563|STMN1|chr1|-	chr1:26226631-26227578	26227175	0.19	0.19	0.17	0.37	0.22	0.19	0.19	0.19	0.40	0.22	0.17	0.16	0.23	0.19	0.18	0.18	0.21	0.23	0.17	0.20	0.21
NM_024836|ZNF672|chr1|+	chr1:249141250-249143705	249141561	0.67	0.61	0.82	NA	0.80	0.78	NA	NA	NA	0.78	0.63	0.80	0.69	0.73	0.79	0.64	0.66	0.79	0.70	0.65	0.78
NM_182679|GPATCH4|chr1|-	chr1:156564221-156565640	156565490	0.99	1.00	1.00	1.00	1.00	0.98	NA	0.99	NA	0.99	1.00	1.00	0.99	1.00	0.98	1.00	1.00	1.00	1.00	1.00	1.00
NM_170708|LMNA|chr1|+	chr1:156108870-156110674	156109744	0.04	0.05	0.05	0.20	0.07	0.07	0.08	0.06	0.32	0.04	0.07	0.06	0.05	0.05	0.03	0.04	0.06	0.08	0.04	0.05	0.07
NM_153703|PODN|chr1|+	chr1:53550184-53551173	53550367	NA	NA	NA	NA	1.00	1.00	NA	1.00	NA	1.00	1.00	NA	1.00	1.00	1.00	NA	0.97	1.00	1.00	NA	1.00
NM_000983|RPL22|chr1|-	chr1:6245082-6246876	6246478	0.43	0.31	0.24	0.23	0.40	0.33	0.44	0.35	0.39	0.23	0.41	0.39	0.37	0.46	0.53	0.40	0.44	0.23	0.40	0.29	0.31
NM_002953|RPS6KA1|chr1|+	chr1:26900569-26901518	26900719	0.82	0.82	0.86	1.00	0.94	0.80	NA	0.94	NA	0.96	0.83	0.87	0.95	0.81	0.77	0.80	0.76	0.89	0.84	0.88	0.90
NR_024537|GSTM3|chr1|-	chr1:110278809-110279791	110279635	0.11	0.10	0.11	0.05	0.10	0.14	0.26	0.18	0.30	0.09	0.08	0.11	0.07	0.09	0.17	0.07	0.11	0.09	0.13	0.09	0.09
NM_001035513|SDHC|chr1|+	chr1:161332118-161338804	161332585	0.07	0.05	0.08	0.07	0.07	0.08	0.18	0.10	0.20	0.05	0.07	0.06	0.04	0.08	0.07	0.07	0.11	0.09	0.07	0.07	0.05
NM_032864|PRPF38A|chr1|+	chr1:52882319-52886437	52883798	0.30	0.13	0.11	0.05	0.19	0.19	NA	0.18	NA	0.12	0.20	0.31	0.18	0.32	0.28	0.22	0.19	0.15	0.22	0.14	0.19
NM_020808|SIPA1L2|chr1|-	chr1:232533708-232535019	232534648	0.97	0.88	0.97	NA	1.00	0.89	NA	NA	NA	0.88	0.91	0.99	0.98	0.80	0.82	NA	0.92	0.89	0.84	0.77	NA
NM_080391|PTP4A2|chr1|-	chr1:32372021-32374561	32374304	0.62	0.29	0.16	0.10	0.25	0.33	0.37	0.38	0.47	0.33	0.34	0.52	0.37	0.45	0.57	0.40	0.45	0.30	0.34	0.29	0.28
NM_022731|NUCKS1|chr1|-	chr1:205682171-205687607	205687389	0.47	0.34	0.19	0.04	0.34	0.41	0.50	0.40	0.80	0.20	0.37	0.33	0.32	0.52	0.46	0.46	0.35	0.22	0.44	0.45	0.24
NM_002870|RAB13|chr1|-	chr1:153953920-153954652	153954285	0.21	0.21	0.24	0.31	0.27	0.20	0.24	0.22	0.55	0.24	0.21	0.23	0.31	0.20	0.21	0.21	0.22	0.27	0.22	0.20	0.23
NM_017821|RHBDL2|chr1|-	chr1:39351472-39352355	39351912	NA	0.88	0.92	NA	0.97	0.98	NA	0.76	NA	1.00	1.00	NA	1.00	0.84	0.93	0.86	0.97	0.97	0.86	NA	0.92
NM_006996|SLC19A2|chr1|-	chr1:169433031-169435215	169434823	0.83	NA	NA	NA	0.96	0.92	0.86	0.92	1.00	NA	NA	NA	NA	NA	0.80	NA	0.96	0.98	NA	0.89	0.99
NM_144695|BROX|chr1|+	chr1:222905969-222908548	222906119	0.78	0.78	0.91	NA	0.87	0.78	0.57	0.84	0.78	0.86	0.89	0.89	0.87	0.77	0.80	0.81	0.88	0.83	0.73	0.82	0.85
NM_001127593|FCGR3A|chr1|-	chr1:161511544-161512989	161512505	0.98	0.97	NA	NA	1.00	NA	0.65	0.98	0.94	1.00	1.00	NA	1.00	1.00	0.98	NA	0.98	NA	0.99	NA	1.00
NM_001097613|GPR89A|chr1|-	chr1:145763146-145765225	145764710	0.03	0.05	0.04	0.11	0.06	0.05	0.06	0.04	NA	0.04	0.04	0.04	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.07
NM_001135662|RAB7L1|chr1|-	chr1:205732609-205739581	205737147	0.00	0.01	0.01	NA	0.01	0.01	NA	NA	NA	0.01	0.01	0.01	0.00	NA	0.00	NA	NA	0.01	0.01	NA	0.01
NM_016076|PPPDE1|chr1|+	chr1:244868857-244876842	244872293	0.00	0.00	0.00	NA	0.01	0.00	0.00	0.00	NA	0.01	0.00	0.00	0.01	0.00	NA	0.00	0.00	0.01	0.00	0.00	NA
NM_003368|USP1|chr1|+	chr1:62915916-62917460	62916066	0.82	0.89	0.99	NA	0.99	0.93	0.80	0.86	NA	0.98	0.96	0.99	1.00	0.80	0.85	0.95	0.89	0.99	0.90	0.88	0.98
NM_001918|DBT|chr1|-	chr1:100652480-100661978	100659249	0.24	NA	0.10	NA	0.08	0.14	NA	0.11	NA	NA	0.23	NA	0.13	0.24	0.25	NA	NA	NA	0.21	0.11	NA
NM_004872|TMEM59|chr1|-	chr1:54497363-54497978	54497736	0.59	0.48	0.60	0.41	0.61	0.58	0.48	0.51	0.69	0.52	0.63	0.63	0.53	0.59	0.54	0.49	0.58	0.65	0.43	0.53	0.66
NM_001127660|MFN2|chr1|+	chr1:12071552-12073581	12071864	0.98	0.99	0.98	NA	0.99	0.99	0.97	1.00	NA	0.97	0.99	0.99	0.97	0.99	0.98	0.98	0.98	1.00	0.97	1.00	0.99
NM_001083924|C1orf116|chr1|-	chr1:207191626-207196825	207194095	0.53	0.57	NA	NA	0.26	0.60	NA	NA	NA	NA	0.44	NA	NA	0.28	0.58	0.52	0.57	0.63	NA	0.52	0.45
NM_003198|TCEB3|chr1|+	chr1:24086001-24088563	24086248	0.69	0.38	0.40	0.20	0.44	0.56	0.51	0.49	NA	0.38	0.49	0.50	0.48	0.66	0.72	0.59	0.57	0.37	0.51	0.36	0.50
NM_014110|PPP1R8|chr1|+	chr1:28176603-28178162	28176854	0.77	0.87	0.82	0.81	0.94	0.88	0.65	0.84	NA	0.81	0.84	0.91	0.87	0.86	0.74	0.83	0.85	0.92	0.77	0.88	0.94
NM_003846|PEX11B|chr1|+	chr1:145522513-145523902	145522978	0.98	1.00	NA	0.99	1.00	0.99	0.84	1.00	NA	1.00	1.00	1.00	1.00	0.97	0.99	1.00	1.00	0.99	0.97	1.00	1.00
NM_181715|CRTC2|chr1|-	chr1:153920157-153920805	153920487	0.83	0.87	0.89	1.00	0.94	0.96	NA	0.92	NA	0.90	0.96	0.94	0.91	0.82	0.88	0.86	0.90	0.99	0.83	0.93	0.95
NM_006496|GNAI3|chr1|+	chr1:110134966-110138485	110136107	0.14	0.08	0.21	0.27	0.16	0.13	0.16	0.15	0.31	0.09	0.11	0.16	0.07	0.13	0.10	0.10	0.13	0.13	0.10	0.08	0.10
NM_023009|MARCKSL1|chr1|-	chr1:32799430-32800698	32800483	1.00	1.00	1.00	1.00	1.00	1.00	0.82	1.00	0.91	1.00	1.00	1.00	1.00	1.00	0.99	1.00	1.00	1.00	0.99	1.00	1.00
NM_031420|MRPL9|chr1|-	chr1:151732135-151732657	151732439	0.97	0.91	1.00	1.00	1.00	0.98	1.00	0.97	1.00	0.91	0.93	0.98	0.98	0.93	0.93	0.95	1.00	1.00	0.91	0.91	1.00
NM_012089|ABCB10|chr1|-	chr1:229652325-229654157	229653915	0.87	0.82	0.82	NA	NA	NA	NA	0.70	NA	NA	NA	NA	0.90	0.81	0.81	0.85	0.92	0.93	0.81	0.78	NA
NM_032409|PINK1|chr1|+	chr1:20976926-20978137	20977662	0.36	0.23	0.33	0.54	0.45	0.35	0.29	0.24	NA	0.30	0.36	0.31	0.35	0.31	0.34	0.28	0.28	0.41	0.35	0.38	0.31
NM_032449|CC2D1B|chr1|-	chr1:52815803-52819319	52818232	0.53	0.13	0.09	0.11	0.10	NA	NA	NA	NA	0.10	0.28	0.24	0.21	0.25	0.29	0.31	NA	0.27	0.27	NA	0.13
NM_178547|ZBTB8OS|chr1|-	chr1:33086429-33087549	33087399	0.47	0.16	0.23	0.09	0.22	0.29	0.23	0.38	NA	0.21	0.31	0.34	0.36	0.35	0.51	0.28	0.23	0.26	0.33	0.27	0.19
NM_001253853|AP4B1|chr1|-	chr1:114437467-114438114	114437796	0.39	0.40	0.40	0.45	0.48	0.41	NA	0.39	NA	0.34	0.39	0.38	0.36	0.33	0.28	0.37	NA	0.43	0.32	NA	0.38
NM_006845|KIF2C|chr1|+	chr1:45232768-45233462	45233102	0.78	0.79	0.86	1.00	1.00	0.77	0.73	0.90	NA	0.83	0.77	0.84	0.76	0.62	NA	0.65	0.79	1.00	0.68	0.88	0.88
NM_016287|HP1BP3|chr1|-	chr1:21069149-21071584	21071422	0.83	0.78	0.81	0.69	0.87	0.84	0.46	0.78	0.85	0.88	0.87	0.91	0.91	0.76	0.82	0.80	0.77	0.89	0.73	0.76	0.94
NM_001110781|SLC35E2B|chr1|-	chr1:1586935-1597458	1592963	0.05	0.07	0.05	NA	NA	0.08	NA	NA	NA	NA	0.06	0.14	NA	0.04	0.05	0.04	NA	0.05	0.09	0.07	NA
NM_014851|KLHL21|chr1|-	chr1:6650423-6653718	6653568	0.92	0.93	0.94	NA	NA	1.00	0.76	0.89	NA	0.95	0.98	NA	1.00	0.87	0.94	0.95	0.93	0.96	0.92	0.87	NA
NM_001256604|C1orf85|chr1|-	chr1:156262498-156263000	156262798	0.90	0.88	0.94	1.00	0.98	0.95	0.93	0.89	1.00	0.89	0.91	0.91	0.93	0.95	0.86	0.93	0.94	0.98	0.94	0.93	0.93
NM_194315|UBE2J2|chr1|-	chr1:1188877-1190867	1190322	0.22	0.18	0.26	0.24	0.27	0.30	0.16	0.13	NA	0.20	0.25	0.27	0.28	0.26	0.23	0.24	0.22	0.23	0.19	0.19	0.22
NM_031921|ATAD3B|chr1|+	chr1:1430864-1431582	1431238	0.80	0.78	0.81	1.00	0.96	0.94	NA	0.80	NA	0.69	0.91	0.84	0.85	0.74	0.84	0.71	0.93	0.72	0.76	0.83	0.94
NM_177424|STX12|chr1|+	chr1:28148741-28150955	28150239	0.67	0.46	NA	NA	0.88	0.86	0.53	0.71	NA	0.87	0.78	1.00	1.00	0.89	0.81	0.80	0.64	0.90	0.82	0.74	0.97
NM_001010935|RAP1A|chr1|+	chr1:112255052-112257143	112255690	0.07	0.03	0.05	0.10	0.07	0.05	0.11	0.06	0.13	0.03	0.05	0.08	0.06	0.08	0.07	0.05	0.06	0.06	0.08	0.05	0.06
NM_052941|GBP4|chr1|-	chr1:89646811-89651152	89650919	0.66	0.67	NA	NA	NA	0.68	NA	NA	NA	0.68	0.73	NA	NA	0.72	0.67	0.68	0.73	NA	0.70	NA	0.73
NM_001160184|PLEKHN1|chr1|+	chr1:909821-911560	909971	0.64	0.71	0.75	NA	NA	0.74	NA	NA	NA	0.70	0.73	NA	NA	0.72	0.69	0.70	0.72	NA	NA	0.65	0.78
NM_006621|AHCYL1|chr1|+	chr1:110564295-110570874	110566323	0.00	0.00	0.00	NA	0.01	0.01	0.01	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
NM_001184766|ODF2L|chr1|-	chr1:86813642-86814561	86814411	0.20	0.19	0.16	0.05	0.21	0.14	NA	NA	NA	NA	0.26	NA	0.18	NA	NA	0.20	NA	0.17	NA	0.11	0.15
NM_018845|SLC50A1|chr1|+	chr1:155110655-155111334	155110925	0.59	0.68	0.69	0.98	0.68	0.81	0.52	0.60	0.41	0.78	0.74	0.77	0.86	0.62	0.68	0.55	0.62	0.72	0.63	0.67	0.68
NM_020197|SMYD2|chr1|+	chr1:214510046-214511707	214510400	0.05	0.03	0.04	0.03	0.04	0.06	0.06	0.05	0.17	0.03	0.02	0.03	0.03	0.05	0.05	0.05	0.03	0.04	0.05	0.05	0.03
NM_005101|ISG15|chr1|+	chr1:949363-949920	949608	0.96	0.99	0.96	1.00	1.00	0.99	0.99	0.98	NA	1.00	0.98	0.88	0.99	0.99	0.97	0.99	0.98	1.00	0.99	0.98	0.99
NM_018208|ETNK2|chr1|-	chr1:204100180-204101384	204101145	0.94	NA	0.98	NA	NA	NA	NA	NA	NA	0.90	0.97	0.97	0.96	0.96	0.93	NA	0.82	NA	0.99	NA	0.97
NR_036605|GGPS1|chr1|+	chr1:235505325-235507978	235506387	0.22	0.19	0.23	0.33	0.20	0.21	0.18	0.21	NA	0.14	0.22	0.22	0.24	0.22	0.30	0.17	0.23	0.16	0.18	0.25	0.23
NM_006314|CNKSR1|chr1|+	chr1:26515769-26516375	26516054	0.97	1.00	0.98	1.00	1.00	1.00	NA	0.99	NA	0.93	0.97	0.96	1.00	0.92	0.99	0.99	0.98	1.00	0.93	0.95	0.96
NM_024408|NOTCH2|chr1|-	chr1:120449709-120459317	120454693	0.06	0.07	0.05	NA	0.11	0.08	0.03	0.03	NA	NA	0.06	NA	0.15	0.03	0.06	0.04	0.08	NA	0.03	0.02	NA
NM_001077397|IRF2BP2|chr1|-	chr1:234739996-234743598	234742715	0.44	0.43	0.41	0.71	0.61	0.41	0.66	0.44	0.98	0.36	0.48	0.44	0.47	0.58	0.39	0.54	0.45	0.45	0.43	0.43	0.53
NM_173854|SLC41A1|chr1|-	chr1:205758208-205760846	205760696	0.99	0.97	1.00	NA	NA	1.00	NA	NA	NA	0.88	0.91	1.00	NA	NA	0.97	NA	0.95	1.00	0.96	0.93	1.00
NM_001100910|FAM72B|chr1|+	chr1:120854491-120855679	120854641	NA	1.00	1.00	NA	1.00	1.00	NA	1.00	NA	1.00	NA	1.00	1.00	0.99	NA	NA	1.00	NA	1.00	1.00	NA
NM_017891|C1orf159|chr1|-	chr1:1017177-1018367	1017668	0.99	1.00	1.00	1.00	1.00	0.93	NA	NA	NA	0.92	0.93	0.97	0.98	0.93	0.98	0.91	0.96	1.00	0.91	NA	1.00
NM_001202554|PIGV|chr1|+	chr1:27124053-27124862	27124500	0.60	0.63	0.88	1.00	0.96	0.82	NA	0.58	NA	0.86	0.82	0.84	0.83	0.95	0.68	0.65	0.74	0.86	0.57	0.75	0.81
NM_001688|ATP5F1|chr1|+	chr1:112003538-112004050	112003748	0.57	0.67	0.67	0.77	0.81	0.71	0.68	0.67	0.92	0.64	0.65	0.67	0.71	0.66	0.57	0.60	0.65	0.81	0.58	0.64	0.70
NM_001145210|ANKRD65|chr1|-	chr1:1353794-1354929	1354739	NA	1.00	0.97	NA	0.97	0.98	0.86	0.98	NA	1.00	1.00	NA	0.97	0.89	0.98	0.92	1.00	0.99	0.92	1.00	0.99
NM_001145862|MTMR11|chr1|-	chr1:149900145-149901209	149900572	NA	0.04	0.05	NA	NA	NA	NA	0.12	0.25	0.10	0.04	NA	NA	NA	0.10	0.03	0.11	0.07	NA	0.10	0.08
NM_183413|FBXO44|chr1|+	chr1:11721186-11723376	11722242	0.33	0.13	0.17	0.68	NA	0.27	NA	NA	NA	0.19	0.14	0.19	0.21	0.21	0.21	NA	0.31	NA	0.38	0.33	0.14
NM_001043351|TPM3|chr1|-	chr1:154128828-154130197	154130026	0.88	0.93	0.94	0.99	0.98	0.94	0.79	0.91	1.00	0.96	0.93	0.95	0.96	0.91	0.90	0.90	0.92	0.97	0.91	0.93	0.97
NM_007259|VPS45|chr1|+	chr1:150116886-150117507	150117183	0.81	0.93	0.97	1.00	1.00	0.99	0.71	0.85	NA	0.85	0.96	0.90	0.97	0.85	0.87	0.76	0.90	1.00	0.87	0.91	0.99
NM_004582|RABGGTB|chr1|+	chr1:76260194-76260780	76260417	0.11	0.11	0.12	0.10	0.14	0.07	0.11	0.13	0.47	0.16	0.13	0.20	0.12	0.14	0.13	0.13	0.14	0.10	0.13	0.13	0.19
NM_173638|NBPF15|chr1|+	chr1:148594396-148596310	148594675	0.98	0.95	0.97	NA	NA	0.99	0.96	0.95	NA	1.00	0.96	1.00	0.99	0.98	0.95	1.00	NA	0.99	0.98	1.00	0.98
NM_001145036|COG2|chr1|+	chr1:230829037-230829730	230829326	0.58	0.51	0.57	0.90	0.63	0.54	NA	0.49	NA	0.53	0.65	0.63	0.61	0.63	0.54	0.56	0.68	0.68	0.63	0.59	0.71
NM_005105|RBM8A|chr1|+	chr1:145509165-145513535	145509339	0.25	0.12	0.16	0.03	0.15	0.14	0.26	0.19	0.33	0.10	0.24	0.26	0.14	0.23	0.33	0.21	0.25	0.11	0.24	0.16	0.11
NM_002585|PBX1|chr1|+	chr1:164815820-164821097	164816203	0.84	NA	0.41	0.12	0.55	0.61	0.73	0.76	0.92	0.63	0.82	0.87	0.77	0.75	0.83	0.79	0.81	0.72	0.72	0.84	0.59
NR_028327|LOC100133331|chr1|-	chr1:657981-665184	661294	0.12	NA	0.12	NA	0.11	0.12	NA	0.10	NA	0.08	0.17	0.46	0.11	0.19	0.16	NA	NA	0.12	0.13	0.10	0.07
NM_018982|YIPF1|chr1|-	chr1:54317401-54317943	54317778	0.98	0.99	0.99	1.00	1.00	0.99	0.98	1.00	NA	0.87	0.98	0.99	0.99	0.98	0.98	0.97	1.00	1.00	0.99	1.00	1.00
NM_004958|MTOR|chr1|-	chr1:11166595-11167557	11167407	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
NM_017898|MARC2|chr1|+	chr1:220957260-220958147	220957433	0.45	NA	0.32	0.58	0.60	NA	NA	0.48	NA	0.41	NA	0.56	0.53	0.40	0.58	NA	0.53	0.44	NA	0.37	0.51
NM_133177|PTPRU|chr1|+	chr1:29652110-29653322	29652304	0.95	0.95	0.98	1.00	0.93	0.98	0.83	0.96	NA	0.94	0.93	1.00	1.00	0.95	0.94	0.91	1.00	0.97	NA	0.95	0.98
NM_139156|AMPD2|chr1|+	chr1:110173564-110174675	110173944	0.91	0.93	0.96	1.00	0.97	0.99	NA	0.94	NA	0.95	0.98	0.97	0.97	0.89	0.93	0.92	0.93	0.97	0.94	0.97	0.96
NM_015640|SERBP1|chr1|-	chr1:67873765-67878946	67876772	0.15	0.10	0.08	0.06	0.11	0.14	0.18	0.13	0.23	0.08	0.12	0.09	0.10	0.12	0.18	0.12	0.13	0.09	0.14	0.11	0.11
NM_032360|ACBD6|chr1|-	chr1:180257024-180257652	180257410	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.18	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.04
NM_152663|RALGPS2|chr1|+	chr1:178885464-178891011	178885869	0.78	NA	NA	NA	0.59	NA	0.52	0.65	0.77	NA	NA	NA	NA	0.65	0.72	0.70	0.69	0.65	NA	0.65	NA
NM_003594|TTF2|chr1|+	chr1:117644001-117646125	117645151	0.13	0.13	0.11	0.11	NA	0.11	NA	NA	NA	0.10	NA	0.10	0.10	0.15	NA	0.09	0.13	0.14	0.13	0.13	0.08
NM_147161|ACOT11|chr1|+	chr1:55074629-55077084	55075760	NA	0.25	0.37	NA	0.31	0.47	NA	NA	NA	0.18	0.25	NA	0.37	0.24	0.32	0.28	0.21	0.36	NA	NA	0.28
NM_005547|IVL|chr1|+	chr1:152882254-152884444	152882860	0.87	0.66	NA	1.00	NA	0.76	0.63	0.87	NA	0.97	0.93	NA	NA	0.95	0.85	0.84	0.67	0.95	NA	0.83	0.90
NM_003145|SSR2|chr1|-	chr1:155978839-155979441	155979159	0.91	0.87	0.95	1.00	0.98	0.95	0.83	0.90	1.00	0.88	0.92	0.92	0.87	0.93	0.86	0.89	0.89	1.00	0.89	0.89	0.95
NM_018198|DNAJC11|chr1|-	chr1:6694191-6695760	6695610	0.99	0.86	1.00	1.00	1.00	0.99	NA	0.94	NA	1.00	1.00	1.00	1.00	1.00	0.96	0.94	0.95	0.99	0.99	0.90	1.00
NM_018122|DARS2|chr1|+	chr1:173826655-173830590	173827513	0.13	0.11	0.10	0.15	0.12	0.11	0.11	0.08	0.21	0.08	0.12	0.15	0.12	0.12	0.13	0.11	0.10	0.08	0.08	0.08	0.12
NM_003272|GPR137B|chr1|+	chr1:236371349-236372203	236371531	0.59	0.69	0.68	0.59	0.66	0.48	0.53	0.74	0.62	0.70	0.71	0.53	0.69	0.69	0.60	0.63	0.52	0.75	0.60	0.72	0.68
NM_001048183|PHACTR4|chr1|+	chr1:28823045-28826901	28823681	0.77	0.77	0.85	NA	0.74	0.85	NA	0.74	NA	0.93	0.77	0.88	0.96	0.77	0.82	0.79	0.83	0.86	0.67	0.71	0.83
NM_138794|LYPLAL1|chr1|+	chr1:219384833-219386200	219385129	0.17	0.07	0.04	0.03	0.12	0.06	NA	0.20	NA	0.09	0.14	0.16	0.14	0.14	0.17	0.16	0.18	0.06	0.08	0.07	0.10
NM_016361|ACP6|chr1|-	chr1:147118554-147119368	147119204	0.06	NA	0.05	0.02	0.01	0.04	NA	0.05	0.64	0.04	0.08	NA	0.02	0.05	0.05	0.03	0.04	0.03	0.08	0.07	0.03
NM_004437|EPB41|chr1|+	chr1:29443330-29447988	29446536	0.34	1.00	NA	NA	0.49	0.22	0.24	0.44	NA	0.75	0.28	0.39	NA	0.33	0.71	0.22	0.76	0.32	0.24	1.00	0.63
NM_013296|GPSM2|chr1|+	chr1:109472322-109473506	109472951	0.64	0.17	0.30	0.30	0.27	0.37	0.30	0.20	0.40	0.55	0.90	0.18	0.35	0.38	0.60	0.24	0.47	0.46	0.35	0.27	0.32
NM_001102396|SIKE1|chr1|-	chr1:115312101-115316993	115316802	0.69	0.50	0.32	0.04	0.35	0.53	0.53	0.56	0.80	0.39	0.60	0.54	0.38	0.68	0.58	0.53	0.60	0.42	0.58	0.60	NA
NM_001039703|NBPF10|chr1|+	chr1:145368440-145370411	145368611	0.98	0.97	0.99	NA	0.97	0.97	0.93	0.99	0.99	0.99	0.95	0.98	1.00	0.97	0.97	0.98	0.96	0.99	0.98	0.97	0.98
NM_001145658|RAP1GAP|chr1|-	chr1:21922711-21923757	21923607	NA	NA	1.00	1.00	NA	1.00	NA	1.00	NA	1.00	NA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	NA	1.00
NM_020770|CGN|chr1|+	chr1:151509680-151511166	151509859	0.88	NA	0.94	NA	0.91	0.88	0.74	0.90	0.80	0.94	0.90	NA	NA	0.85	0.90	0.88	0.84	0.94	NA	0.94	0.91
NM_207418|FAM72D|chr1|-	chr1:143895949-143897641	143896579	NA	0.07	0.14	NA	0.11	0.09	NA	0.07	0.15	0.11	NA	0.10	0.13	0.06	NA	NA	0.15	NA	0.07	0.07	NA
NM_003115|UAP1|chr1|+	chr1:162569060-162570294	162569471	0.10	0.09	0.11	0.25	0.12	0.09	0.11	0.09	0.27	0.11	0.12	0.10	0.11	0.11	0.11	0.13	0.10	0.13	0.09	0.11	0.13
