event_id	loci	Proximal_Site	TCGA-77-8008-01A-21R-2187-07	TCGA-51-4081-01A-01R-1100-07	TCGA-90-6837-01A-11R-1949-07	TCGA-56-8201-01A-11R-2247-07	TCGA-77-7138-01A-41R-2045-07	TCGA-22-5482-01A-01R-1635-07	TCGA-51-4079-01A-01R-1100-07	TCGA-56-8083-01A-11R-2247-07	TCGA-77-7338-01A-11R-2045-07	TCGA-56-7731-01A-11R-2125-07	TCGA-77-7335-01A-11R-2045-07	TCGA-33-6737-01A-11R-1820-07	TCGA-58-8386-01A-11R-2296-07	TCGA-56-8623-01A-11R-A28V-07	TCGA-85-7710-01A-11R-2125-07	TCGA-22-4609-01A-21R-2125-07	TCGA-43-6647-01A-11R-1820-07	TCGA-22-5472-01A-01R-1635-07	TCGA-77-7337-01A-21R-2045-07	TCGA-43-7657-01A-31R-2125-07	TCGA-22-5481-01A-31R-1949-07	TCGA-22-5478-01A-01R-1635-07	TCGA-22-5483-01A-01R-1820-07	TCGA-22-5489-01A-01R-1635-07	TCGA-77-7142-01A-11R-2045-07	TCGA-43-7658-01A-11R-2125-07	TCGA-56-7582-01A-11R-2045-07	TCGA-43-6143-01A-11R-1820-07	TCGA-39-5040-01A-21R-2125-07	TCGA-43-3394-01A-01R-0980-07	TCGA-56-8309-01A-11R-2296-07	TCGA-22-5491-01A-01R-1635-07	TCGA-90-7767-01A-11R-2125-07	TCGA-92-7340-01A-21R-2045-07	TCGA-43-6773-01A-41R-1949-07	TCGA-56-7730-01A-11R-2125-07	TCGA-34-8454-01A-11R-2326-07	TCGA-33-4587-01A-11R-2125-07	TCGA-43-6771-01A-11R-1820-07	TCGA-60-2709-01A-21R-1820-07	TCGA-56-7580-01A-11R-2045-07	TCGA-77-8007-01A-11R-2187-07	TCGA-56-7823-01B-11R-2247-07	TCGA-51-4080-01A-01R-1100-07	TCGA-43-5670-01A-21R-2125-07	TCGA-22-4593-01A-21R-1820-07	TCGA-56-7579-01A-11R-2045-07	TCGA-22-5471-01A-01R-1635-07	TCGA-34-7107-01A-11R-1949-07	TCGA-56-8082-01A-11R-2247-07	TCGA-56-7222-01A-11R-2045-07
NM_001136497|BTF3L4|chr1|+	chr1:52552383-52555571	52553970	0.28	0.27	0.30	0.26	0.22	0.20	0.22	0.19	0.28	0.24	0.24	0.29	0.25	0.26	0.21	0.21	0.35	0.34	0.24	0.33	0.26	0.23	0.12	0.27	0.26	0.24	0.29	0.22	0.20	0.16	0.30	0.22	0.23	0.40	0.28	0.22	0.37	0.23	0.20	0.29	0.33	0.30	0.24	0.20	0.14	0.33	0.25	0.30	0.33	0.38	0.31
NM_032960|MAPKAPK2|chr1|+	chr1:206905919-206907612	206906793	0.92	0.83	0.89	0.89	0.95	0.87	0.83	0.75	0.85	0.99	0.97	0.90	0.83	0.93	0.83	0.90	0.78	0.86	0.72	0.94	0.93	0.87	0.80	0.83	0.79	0.93	0.79	0.71	0.84	0.81	0.92	0.84	0.86	0.94	0.91	0.99	0.88	0.89	0.87	0.85	0.94	0.91	0.85	0.81	0.98	0.83	0.93	0.94	0.84	0.88	0.89
NM_013319|UBIAD1|chr1|+	chr1:11345700-11348466	11346205	0.34	0.68	0.34	0.42	0.39	0.40	0.45	0.44	0.55	0.36	0.41	0.22	0.39	0.52	0.34	0.46	0.45	0.44	0.35	0.57	0.71	0.30	0.36	0.36	0.43	0.68	0.46	0.28	0.58	0.45	0.43	0.29	0.43	0.43	0.36	0.39	0.34	0.73	0.34	0.41	0.46	0.38	0.37	0.64	0.28	0.38	0.37	0.25	0.37	0.38	0.46
NM_016456|TMEM9|chr1|-	chr1:201103908-201104943	201104481	0.93	0.96	0.95	0.90	0.92	0.94	0.87	0.84	0.82	1.00	1.00	1.00	0.84	0.89	0.82	0.88	0.84	0.94	0.81	0.93	0.98	0.92	0.85	0.90	0.96	0.90	0.82	0.84	0.88	0.87	0.87	0.86	0.83	1.00	0.83	0.97	0.90	0.89	0.96	0.85	0.98	0.86	0.94	0.89	0.96	0.96	0.91	1.00	0.89	0.81	0.89
NM_032283|ZDHHC18|chr1|+	chr1:27180216-27182219	27180652	0.84	0.84	0.87	0.91	0.99	0.89	0.87	0.80	0.93	0.96	0.96	0.92	0.75	0.96	0.76	0.90	0.78	0.84	0.92	0.91	0.90	0.89	0.90	0.81	0.79	0.93	0.89	0.76	0.88	0.87	0.96	0.84	0.93	0.89	0.84	1.00	0.87	0.86	0.83	0.84	0.94	0.84	0.88	0.80	0.98	0.77	0.97	0.94	0.77	0.89	0.93
NM_001195156|ZMYM6NB|chr1|-	chr1:35447134-35447720	35447452	0.83	0.67	0.68	0.62	0.85	0.59	0.73	0.59	0.89	0.87	0.85	0.83	0.58	0.77	0.60	0.78	0.55	0.61	0.67	0.85	0.57	0.59	0.63	0.57	0.80	0.80	0.71	0.56	0.73	0.68	0.68	0.65	0.77	0.89	0.70	0.73	0.60	0.83	0.50	0.59	0.82	0.73	0.69	0.84	0.88	0.67	0.93	0.70	0.56	0.58	0.80
NM_024066|ERI3|chr1|-	chr1:44686750-44687312	44687120	0.99	0.75	0.95	0.88	0.80	0.88	0.84	0.80	0.77	1.00	0.99	0.89	0.85	0.89	0.82	0.94	0.76	0.89	0.67	0.89	0.88	0.87	0.73	0.85	0.79	0.85	0.76	0.84	0.84	0.77	0.89	0.85	0.81	0.96	0.94	0.96	0.86	0.85	0.91	0.80	0.88	0.96	0.81	0.79	0.93	0.81	0.88	0.91	0.86	0.86	0.87
NM_014777|URB2|chr1|+	chr1:229794846-229796644	229795661	NA	0.25	NA	0.26	0.25	NA	0.39	0.27	0.30	0.24	NA	0.21	NA	NA	0.17	0.24	NA	0.19	0.26	0.22	0.16	0.15	0.21	0.20	0.27	0.29	0.36	0.19	0.29	0.22	NA	0.17	0.21	NA	0.19	0.30	0.27	0.21	NA	0.26	0.32	NA	0.30	0.24	NA	0.20	0.26	0.24	0.16	0.18	0.24
NM_021639|GPBP1L1|chr1|-	chr1:46092987-46094080	46093554	0.67	0.66	0.46	0.89	0.85	0.50	0.72	0.81	0.78	0.78	0.97	0.56	0.58	0.77	0.53	0.61	0.68	0.68	0.83	0.65	0.43	0.50	0.53	0.51	0.85	0.68	0.79	0.48	0.63	0.66	0.72	0.55	0.71	0.75	0.71	0.67	0.68	0.62	0.54	0.70	0.84	0.66	0.78	0.62	0.83	0.53	0.70	0.60	0.53	0.86	0.74
NM_001134479|LRRC8D|chr1|+	chr1:90398625-90401940	90399017	0.97	0.97	0.96	0.99	NA	0.98	0.99	0.97	1.00	0.99	1.00	NA	0.89	0.99	0.96	0.96	0.94	0.98	1.00	1.00	0.98	0.98	0.95	0.97	1.00	0.99	0.99	0.93	0.97	0.99	0.98	0.96	0.99	0.99	0.96	0.99	0.95	0.98	0.93	0.97	0.99	0.94	1.00	0.99	NA	0.94	1.00	0.99	0.90	0.99	1.00
NM_002585|PBX1|chr1|+	chr1:164815820-164821086	164816203	0.65	0.69	0.73	0.60	NA	0.69	0.71	0.66	0.93	0.58	0.34	0.58	0.64	0.91	0.80	0.74	0.66	0.75	0.72	0.73	0.34	0.53	0.73	0.71	0.42	0.87	0.73	0.49	0.69	0.49	0.83	0.41	0.61	NA	0.63	0.62	0.78	0.90	0.61	0.74	0.68	NA	0.40	0.62	0.53	0.81	NA	0.32	0.57	0.63	0.80
NM_000646|AGL|chr1|+	chr1:100387089-100389584	100387274	NA	0.74	NA	0.84	0.91	0.45	0.84	0.83	0.85	0.67	NA	NA	0.75	NA	NA	0.51	0.62	0.64	0.72	NA	NA	0.45	0.78	NA	0.82	NA	0.77	0.62	0.59	0.75	0.82	0.49	NA	0.81	0.74	NA	0.72	0.65	NA	0.72	0.89	0.63	0.82	0.64	NA	0.60	NA	NA	NA	0.84	0.88
NM_004632|DAP3|chr1|+	chr1:155707947-155708747	155708208	0.08	0.11	0.11	0.12	0.13	0.11	0.11	0.16	0.16	0.10	0.15	0.09	0.13	0.16	0.10	0.12	0.11	0.12	0.10	0.13	0.16	0.09	0.10	0.12	0.12	0.16	0.11	0.08	0.11	0.14	0.12	0.11	0.12	0.10	0.10	0.11	0.16	0.11	0.09	0.15	0.15	0.11	0.09	0.13	0.16	0.10	0.12	0.11	0.10	0.12	0.08
NR_037636|GJA9-MYCBP|chr1|-	chr1:39328292-39330386	39329317	0.23	0.20	0.33	0.23	0.22	0.32	0.23	0.20	0.24	0.27	0.33	0.22	0.30	0.28	0.22	0.24	0.21	0.26	0.15	0.26	0.33	0.32	0.18	0.21	0.29	0.26	0.26	0.19	0.25	0.19	0.28	0.17	0.21	0.23	0.24	0.31	0.22	0.20	0.24	0.22	0.35	0.21	0.21	0.27	0.24	0.24	0.22	0.23	0.29	0.24	0.21
NM_032348|MXRA8|chr1|-	chr1:1287137-1289009	1288104	0.02	0.04	0.06	0.02	0.13	0.05	0.01	0.01	0.02	0.02	0.03	0.02	0.09	0.05	0.16	0.02	0.01	0.04	0.02	0.02	0.07	0.02	0.02	0.01	0.05	0.22	0.08	0.06	0.15	0.04	0.04	NA	0.03	0.01	0.02	0.22	0.04	0.13	0.04	0.01	0.02	0.03	0.02	NA	0.02	0.02	0.04	0.02	0.02	0.05	0.05
NM_006559|KHDRBS1|chr1|+	chr1:32508127-32509488	32508389	0.88	0.94	0.79	0.99	0.99	0.87	0.95	0.96	0.95	0.92	1.00	0.82	0.76	0.94	0.87	0.86	0.89	0.89	0.98	0.91	0.82	0.87	0.84	0.79	0.97	0.88	0.98	0.79	0.84	0.94	0.92	0.87	0.93	0.95	0.87	0.89	0.89	0.89	0.78	0.90	0.99	0.85	0.94	0.96	0.93	0.80	0.95	0.92	0.81	0.97	0.98
NM_017761|PNRC2|chr1|+	chr1:24287929-24289951	24288130	0.94	0.94	0.89	0.99	0.98	0.92	0.99	0.95	0.96	0.96	1.00	0.98	0.84	0.97	0.91	0.94	0.89	0.96	0.97	0.97	0.90	0.92	0.92	0.90	0.98	0.97	0.98	0.87	0.90	0.97	0.96	0.93	0.97	0.98	0.96	0.98	0.94	0.95	0.95	0.94	0.99	0.93	0.97	0.98	0.98	0.90	0.97	0.98	0.90	0.97	0.98
NM_006556|PMVK|chr1|-	chr1:154897215-154897741	154897591	0.66	0.46	0.55	0.43	0.91	0.49	0.37	0.30	0.83	0.74	0.97	0.50	0.46	0.59	0.70	0.61	0.35	0.43	0.94	0.73	0.43	0.49	0.63	0.41	0.97	0.66	0.85	0.42	0.68	0.35	0.54	0.46	0.70	0.90	0.46	0.79	0.40	0.66	0.50	0.42	0.72	0.69	0.40	0.43	0.80	0.43	0.90	0.54	0.47	0.43	0.70
NM_014283|C1orf9|chr1|+	chr1:172578955-172581234	172579387	0.88	0.94	0.85	0.94	1.00	0.89	0.94	0.92	0.96	0.97	NA	0.98	0.92	0.99	0.88	0.90	0.90	0.93	0.97	0.94	0.73	0.89	0.94	0.91	0.97	0.96	0.95	0.91	0.89	0.95	0.94	0.91	0.93	0.96	0.96	0.92	0.96	0.95	0.94	0.87	1.00	0.87	0.98	0.93	0.99	0.91	1.00	0.94	0.91	0.94	0.97
NM_015047|KIAA0090|chr1|-	chr1:19541451-19545976	19545525	0.09	0.19	0.15	0.19	0.21	0.20	0.20	0.15	0.24	0.14	0.11	0.10	0.22	0.21	0.14	0.23	0.18	0.23	0.15	0.15	0.17	0.12	0.16	0.17	0.24	0.21	0.26	0.13	0.18	0.13	0.12	0.15	0.16	0.18	0.19	0.18	0.18	0.14	0.11	0.19	0.29	0.18	0.22	0.26	0.15	0.17	0.16	0.11	0.18	0.14	0.21
NM_018066|GPN2|chr1|-	chr1:27202628-27206240	27205912	0.26	0.19	0.21	0.21	0.16	0.23	0.12	0.27	0.31	0.15	0.08	0.13	0.26	0.32	0.24	0.26	0.18	0.27	0.16	0.14	0.15	0.15	0.22	0.13	0.28	0.32	0.21	0.17	0.18	0.14	0.31	0.09	0.13	0.13	0.15	0.10	0.34	0.30	0.11	0.17	0.18	0.24	0.13	0.09	0.12	0.21	0.17	0.06	0.15	0.16	0.14
NM_002870|RAB13|chr1|-	chr1:153954141-153954652	153954455	0.48	0.51	0.55	0.62	0.46	0.57	0.46	0.56	0.56	0.57	0.43	0.54	0.60	0.63	0.49	0.46	0.65	0.50	0.53	0.55	0.50	0.56	0.49	0.57	0.49	0.50	0.54	0.46	0.52	0.49	0.66	0.54	0.47	0.45	0.52	0.50	0.60	0.47	0.51	0.66	0.58	0.56	0.52	0.49	0.52	0.50	0.40	0.56	0.53	0.73	0.47
NM_018216|PANK4|chr1|-	chr1:2439961-2440499	2440269	0.86	0.80	0.87	0.70	NA	0.79	NA	0.59	NA	0.82	1.00	0.87	0.83	0.88	0.86	0.87	0.71	0.82	0.95	NA	0.77	0.83	0.80	0.78	NA	0.88	NA	0.83	0.88	0.83	0.82	0.73	0.86	0.95	0.77	0.89	0.87	0.86	0.73	0.71	0.91	0.84	0.74	0.88	0.93	0.78	0.89	0.77	0.80	0.73	NA
NM_016274|PLEKHO1|chr1|+	chr1:150131013-150132072	150131660	0.53	0.54	0.63	0.52	0.62	0.54	0.47	0.49	0.57	0.58	0.54	0.63	0.53	0.54	0.54	0.51	0.56	0.56	0.41	0.54	0.56	0.58	0.54	0.49	0.41	0.52	0.46	0.56	0.50	0.57	0.51	0.53	0.49	0.56	0.57	0.52	0.54	0.50	0.61	0.55	0.60	0.52	0.47	0.55	0.59	0.54	0.65	0.59	0.56	0.48	0.45
NM_152902|TIPRL|chr1|+	chr1:168169140-168171343	168169339	0.25	0.35	0.23	0.26	0.21	0.35	0.50	0.40	0.35	0.21	0.31	0.14	0.38	0.46	0.35	0.41	0.27	0.39	0.23	0.27	0.26	0.27	0.35	0.33	0.26	0.53	0.48	0.16	0.29	0.32	0.42	0.29	0.30	0.31	0.47	0.39	0.40	0.47	0.32	0.48	0.33	0.32	0.22	0.55	0.20	0.45	0.25	0.39	0.31	0.37	0.37
NM_024482|GMEB1|chr1|+	chr1:29040584-29045869	29041290	0.40	NA	0.34	0.54	NA	0.42	0.46	0.36	0.58	NA	NA	0.29	0.37	0.46	0.42	0.50	0.34	0.50	0.50	NA	0.53	0.40	0.38	0.40	0.57	0.64	NA	0.28	0.47	0.42	0.49	NA	0.54	NA	0.37	NA	0.46	0.50	0.26	0.50	0.49	0.27	0.33	NA	NA	0.31	NA	NA	0.40	0.41	0.51
NM_020205|OTUD7B|chr1|-	chr1:149909689-149916964	149913166	0.31	0.30	NA	NA	NA	NA	0.34	0.20	0.51	0.40	NA	NA	NA	0.28	0.23	0.22	0.21	0.27	NA	0.22	NA	0.28	0.26	0.15	NA	0.70	NA	0.16	0.20	0.26	0.29	NA	0.19	NA	0.30	0.52	0.24	0.29	NA	0.35	NA	0.19	0.16	0.34	NA	NA	NA	NA	0.23	0.23	0.20
NM_005099|ADAMTS4|chr1|-	chr1:161159130-161161354	161160856	0.77	0.80	0.81	0.86	NA	NA	0.91	NA	0.76	0.81	0.89	0.82	0.71	0.87	NA	0.68	0.75	NA	0.89	NA	0.78	0.84	0.84	0.79	NA	0.76	NA	NA	NA	NA	NA	NA	0.79	0.87	0.82	NA	0.77	0.84	0.72	0.76	NA	0.74	0.82	NA	NA	0.70	0.90	0.90	0.71	0.84	0.84
NM_001135662|RAB7L1|chr1|-	chr1:205737111-205739581	205738009	0.90	0.91	0.89	0.96	1.00	0.93	1.00	0.90	0.84	NA	NA	NA	0.80	0.96	0.62	0.91	0.86	0.94	0.93	0.96	0.97	0.93	0.83	0.82	0.93	0.88	0.88	0.75	NA	0.96	0.91	0.92	0.87	0.93	0.92	NA	0.92	0.90	NA	0.94	0.99	0.93	0.95	0.88	NA	0.90	NA	NA	0.84	0.96	NA
NM_018202|TMEM57|chr1|+	chr1:25824754-25826692	25825021	0.28	0.30	0.26	0.36	0.27	0.30	0.36	0.37	0.37	0.32	0.32	0.28	0.29	0.37	0.37	0.27	0.23	0.29	0.34	0.38	0.21	0.28	0.28	0.27	0.41	0.33	0.30	0.21	0.36	0.37	0.27	0.27	0.32	0.33	0.32	0.31	0.25	0.42	0.23	0.32	0.33	0.21	0.28	0.29	0.35	0.29	0.32	0.31	0.28	0.36	0.32
NM_032315|SLC25A33|chr1|+	chr1:9642356-9642889	9642567	0.57	0.55	0.41	0.59	0.62	0.50	0.55	0.49	0.63	0.54	0.70	0.44	0.45	0.78	0.50	0.51	0.50	0.53	0.57	0.59	0.45	0.48	0.46	0.48	0.73	0.62	0.61	0.50	0.60	0.55	0.50	0.52	0.52	0.52	0.48	0.53	0.59	0.66	0.47	0.46	0.59	0.42	0.53	0.57	0.71	0.43	0.63	0.47	0.36	0.63	0.60
NM_003748|ALDH4A1|chr1|-	chr1:19197931-19199451	19199301	0.97	0.98	1.00	1.00	0.99	0.99	1.00	0.93	1.00	0.99	NA	NA	0.95	0.97	0.94	0.97	0.98	0.99	0.99	0.99	1.00	1.00	0.95	1.00	NA	0.94	0.98	0.99	0.99	0.98	1.00	0.96	0.96	0.99	1.00	0.99	0.97	0.95	0.99	0.98	NA	0.98	0.93	NA	0.98	1.00	1.00	1.00	0.99	0.99	0.99
NM_015441|OLFML2B|chr1|-	chr1:161952987-161954066	161953403	0.86	0.99	0.91	0.96	NA	0.99	1.00	0.74	0.98	0.97	1.00	0.80	0.68	0.91	NA	0.88	0.70	0.96	0.96	0.96	0.76	0.76	0.72	0.79	1.00	NA	0.95	0.65	NA	0.98	0.91	NA	0.88	0.99	0.93	NA	0.74	0.97	0.77	0.72	1.00	0.80	0.98	NA	NA	0.72	0.98	0.97	0.80	NA	NA
NM_002524|NRAS|chr1|-	chr1:115247071-115250671	115250321	0.73	0.82	0.67	0.84	0.90	0.76	0.84	0.76	0.87	0.87	0.95	0.66	0.65	0.92	0.77	0.81	0.70	0.83	0.83	0.80	NA	0.71	0.78	0.69	0.86	NA	0.90	0.65	0.76	0.70	0.77	0.67	0.92	0.91	0.77	0.93	0.75	0.83	0.63	0.77	0.96	0.67	0.89	0.85	0.88	0.69	0.75	0.85	0.73	0.85	0.87
NM_014873|LPGAT1|chr1|-	chr1:211916790-211923392	211918638	0.68	0.68	0.84	0.82	0.76	0.79	NA	0.65	0.72	0.82	NA	0.78	0.67	NA	0.67	0.67	0.66	0.67	0.63	0.92	NA	0.76	0.69	0.67	0.69	0.75	0.69	0.60	NA	0.90	0.82	0.58	0.70	0.72	0.89	NA	0.73	0.71	0.67	0.75	NA	0.72	0.68	0.77	NA	0.81	NA	NA	0.62	0.72	0.77
NM_022716|PRRX1|chr1|+	chr1:170705188-170708564	170705491	0.80	0.86	0.77	0.85	NA	0.78	0.92	0.79	0.91	0.88	0.95	0.84	0.74	0.85	NA	0.86	0.75	0.76	0.81	0.89	NA	0.77	0.79	0.76	NA	NA	0.85	0.75	NA	0.85	0.87	NA	0.83	0.92	0.87	NA	0.77	NA	0.78	0.81	0.90	0.77	NA	0.83	NA	0.78	NA	0.84	0.76	0.81	NA
NM_004964|HDAC1|chr1|+	chr1:32798617-32799220	32798899	1.00	0.97	1.00	0.98	1.00	1.00	0.93	0.91	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.90	1.00	1.00	1.00	1.00	1.00	0.98	1.00	0.89	1.00	0.99	0.94	1.00	1.00	0.97	1.00	1.00	1.00	1.00	0.98	1.00	1.00	0.95	1.00	0.89	0.96	1.00	1.00	0.98	1.00	1.00	0.98	0.93
NM_000396|CTSK|chr1|-	chr1:150768694-150769374	150769030	0.82	0.88	0.89	0.72	0.86	0.88	0.82	0.68	0.85	0.87	0.99	0.90	0.78	0.81	0.81	0.76	0.78	0.85	0.74	0.88	0.91	0.86	0.79	0.82	0.85	0.84	0.68	0.78	0.68	0.89	0.86	0.82	0.76	0.89	0.89	NA	0.86	0.86	0.87	0.83	0.91	0.79	0.73	0.71	0.93	0.85	0.90	0.92	0.86	0.83	0.82
NM_015484|SYF2|chr1|-	chr1:25549186-25549922	25549646	0.31	0.34	0.28	0.42	0.37	0.33	0.43	0.33	0.41	0.39	0.45	0.28	0.33	0.39	0.37	0.29	0.38	0.42	0.38	0.29	0.35	0.35	0.38	0.32	0.35	0.40	0.41	0.28	0.29	0.35	0.39	0.36	0.37	0.36	0.39	0.38	0.32	0.36	0.30	0.34	0.46	0.28	0.44	0.40	0.40	0.33	0.41	0.37	0.32	0.45	0.37
NR_033393|TROVE2|chr1|+	chr1:193053708-193064115	193054732	0.49	0.53	NA	0.51	0.41	0.46	0.46	0.28	0.57	0.40	0.33	0.39	0.43	NA	0.58	0.50	0.45	0.60	0.25	0.49	0.32	0.47	0.43	0.42	0.34	0.60	0.55	0.19	0.54	0.41	0.57	0.27	0.30	0.41	0.63	0.47	0.59	0.55	0.37	0.49	0.56	0.51	0.35	0.33	0.24	0.52	0.46	0.33	0.36	0.42	0.44
